Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
011eb806f7782fc048072fabfb035b54f5d71e67,Jan,2019,auto,hold,Sioux Falls,644.5925925925926,741.2962962962963,639.2222222222222,100.0,False,False,False
045e533587d8a51c00e08e459243ce7ec3cbaaf9,Jan,2019,heat,auto,Rapid City,687.1066666666667,759.88,690.3333333333334,70.0,True,False,False
05b6a87c2c20aa57b357426c9107705c0bd7ec20,Jan,2019,heat,hold,Sioux Falls,695.9009900990098,696.3861386138614,693.2871287128713,15.0,True,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,Jan,2019,auto,auto,Sioux Falls,694.1371428571429,815.8,695.7314285714285,0.0,False,False,False
0968b16b919c5e8b72ff8de3bda124068f7f322d,Jan,2019,auto,hold,Sioux Falls,677.4283305227656,793.7942664418213,678.2006745362563,0.0,False,False,False
13794e9c34d4c507a43e319612e223759e0d327f,Jan,2019,heat,auto,Brookings,685.0,690.0,690.0,5.0,False,False,False
13794e9c34d4c507a43e319612e223759e0d327f,Jan,2019,heat,hold,Brookings,682.875,694.9375,688.9375,5.0,False,False,False
15a7bb14eda221a156a3e03592139ccd285d7bf2,Jan,2019,auto,hold,Sioux Falls,610.4947368421052,750.0,679.9684210526316,5.0,False,False,False
15a7bb14eda221a156a3e03592139ccd285d7bf2,Jan,2019,heat,auto,Sioux Falls,633.0,681.1481481481482,679.6666666666666,5.0,False,False,False
18cd13efb32ea1f3caa01bc30656d0afbe3d1413,Jan,2019,heat,hold,Sioux Falls,697.9338175948345,700.8845843422115,700.8845843422115,16.0,False,False,False
1e2c9cf3efb7cfef2a5beabdc964a31e7fd51fc1,Jan,2019,heat,auto,Sioux Falls,684.0105263157894,686.0526315789474,685.9824561403509,0.0,True,False,False
1e2c9cf3efb7cfef2a5beabdc964a31e7fd51fc1,Jan,2019,heat,hold,Sioux Falls,684.6731843575419,696.2709497206704,675.6229050279329,0.0,True,False,False
1e4743e67aa7bdf1aac8a257b298b7d514329fcb,Jan,2019,heat,hold,Brookings,699.5,708.1296296296297,698.574074074074,5.0,True,False,False
20f09a9c1d296b532e398fdefb4a44700a36a621,Jan,2019,auto,auto,Mitchell,642.3181818181819,790.0,650.0,40.0,False,False,False
217f82385aba5f1ef9dab06f1f59f06467f31658,Jan,2019,heat,auto,Sioux Falls,723.7175572519084,731.5954198473282,729.4045801526718,65.0,False,False,False
288a69b9b81fd1b686e3aec3675dc5ddc8a69641,Jan,2019,heat,auto,Rapid City,699.2842356687898,709.8885350318471,699.6926751592357,15.0,False,False,True
288a69b9b81fd1b686e3aec3675dc5ddc8a69641,Jan,2019,heat,hold,Rapid City,713.2029488291414,714.1751951431049,714.1665221162185,15.0,False,False,True
289aeea3605d404fe8a25798b2b2252505cd8d8f,Jan,2019,heat,auto,Pierre,671.9029126213592,744.1005547850208,672.0429958391123,40.0,False,False,False
289aeea3605d404fe8a25798b2b2252505cd8d8f,Jan,2019,heat,hold,Pierre,685.6165191740413,691.7227138643068,690.4660766961651,40.0,False,False,False
29821fb5f84f8a985543e886c07d5df89e0ff431,Jan,2019,heat,auto,Rapid City,681.6826923076923,731.7596153846154,683.4182692307693,5.0,False,False,False
29821fb5f84f8a985543e886c07d5df89e0ff431,Jan,2019,heat,hold,Rapid City,655.3076923076923,658.9230769230769,656.3076923076923,5.0,False,False,False
2f9a16dd49a7a56c5d2e1747bad9d2569792cc33,Jan,2019,heat,auto,Sioux Falls,703.3709677419355,718.516129032258,697.5064516129032,5.0,False,False,False
2f9a16dd49a7a56c5d2e1747bad9d2569792cc33,Jan,2019,heat,hold,Sioux Falls,700.5620437956204,704.4160583941606,702.992700729927,5.0,False,False,False
30a50f3df07d56b578fdf38b93291e6860f389ad,Jan,2019,auto,auto,Sioux Falls,690.2739726027397,764.8493150684932,694.4109589041096,45.0,False,False,False
30a50f3df07d56b578fdf38b93291e6860f389ad,Jan,2019,auto,hold,Sioux Falls,697.591304347826,769.8826086956522,709.104347826087,45.0,False,False,False
328bca1050aa07835f0bab2868d5eefde6e06ae2,Jan,2019,heat,hold,Sioux Falls,682.0,686.625,674.875,80.0,False,False,False
3a6d34c0a5f6664f14043d1ec1f90525eb6a72aa,Jan,2019,heat,hold,Rapid City,698.0423059042306,692.1227336122734,692.1227336122734,0.0,False,False,False
3cb5cd50805e286cf3cd45001f0c9e54f6fed6c3,Jan,2019,heat,hold,Sioux Falls,676.5555555555555,675.8888888888889,667.4444444444445,20.0,False,False,False
3ed0e9cb7b0043eaf232cd07b55d33cb67e0debe,Jan,2019,heat,auto,Mitchell,696.7283950617284,705.8271604938271,705.6543209876543,15.0,True,False,True
431feca8dbf15f07c25ba7065d5935bf21d4cfd6,Jan,2019,heat,auto,Sioux Falls,729.4362934362935,734.6563706563707,734.6563706563707,5.0,True,False,False
431feca8dbf15f07c25ba7065d5935bf21d4cfd6,Jan,2019,heat,hold,Sioux Falls,728.8200787401574,732.2917322834645,732.2917322834645,5.0,True,False,False
442bbae1b4d42fdbfed83178e3a7f95b0e305c58,Jan,2019,heat,auto,Sioux Falls,678.9801324503311,679.3509933774834,682.4556291390728,75.0,False,False,False
442bbae1b4d42fdbfed83178e3a7f95b0e305c58,Jan,2019,heat,hold,Sioux Falls,669.36,675.9428571428572,667.3371428571429,75.0,False,False,False
49e91e8df5ec4323dfe01dcc99a1809c297e5f50,Jan,2019,heat,auto,Sioux Falls,705.5,701.0,674.5,5.0,True,False,False
4a2f71c8dace61eeb7806b1c4aabd4f7980dc760,Jan,2019,heat,hold,Rapid City,700.5336134453781,700.0773109243697,700.0638655462185,0.0,False,False,False
4e7b788a2f69451599ec411fc3d8f934ca333be7,Jan,2019,heat,auto,Sioux Falls,699.8717948717949,700.6794871794872,700.6794871794872,30.0,False,False,False
4e7b788a2f69451599ec411fc3d8f934ca333be7,Jan,2019,heat,hold,Sioux Falls,732.7647058823529,740.0,740.0,30.0,False,False,False
51e6bafa5298e3366ba871e35aed1d974abe184e,Jan,2019,heat,hold,Sioux Falls,696.4437819420783,700.3390119250425,700.3390119250425,19.0,True,False,False
55c8c84126bfbaa3b1f52953f3a6c41ce2e88e8e,Jan,2019,heat,auto,Brookings,669.8913043478261,660.2101449275362,660.0507246376811,30.0,False,False,False
5b46550b3fd8c9ccb723859a242b258e490d15d3,Jan,2019,auto,hold,Yankton,695.3333333333334,775.3333333333334,724.0,10.0,True,False,True
5ea1c0a7cd268a906cded2c8487eee85713feb0e,Jan,2019,heat,auto,Tea,721.0,751.8,724.0,8.0,False,False,False
5ea1c0a7cd268a906cded2c8487eee85713feb0e,Jan,2019,heat,hold,Tea,735.1210762331839,738.847533632287,738.762331838565,8.0,False,False,False
659aaa917beb2054d8a407f0b0e716aff9acb4d4,Jan,2019,auto,auto,Sioux Falls,660.36,731.8,662.92,60.0,False,False,False
659aaa917beb2054d8a407f0b0e716aff9acb4d4,Jan,2019,auto,hold,Sioux Falls,666.0877192982456,730.0,675.7543859649123,60.0,False,False,False
670be188eade7b0b203dd0cbe52b8512daf30941,Jan,2019,auxHeatOnly,hold,Tea,631.9222222222222,650.0,650.0,40.0,True,False,True
670be188eade7b0b203dd0cbe52b8512daf30941,Jan,2019,heat,auto,Tea,651.54375,660.0,657.075,40.0,True,False,True
670be188eade7b0b203dd0cbe52b8512daf30941,Jan,2019,heat,hold,Tea,654.9234125060591,663.4774600096946,663.3669413475521,40.0,True,False,True
769d58e58cf28ed36633f09f0bfe730fccc69040,Jan,2019,heat,hold,Sioux Falls,694.7226890756302,725.5294117647059,725.5294117647059,68.0,False,False,False
8056f7851f2860fec55c8ffaf094efff7a46ada7,Jan,2019,heat,hold,Sioux Falls,712.9000853970965,716.3048676345004,716.3048676345004,0.0,False,False,False
880406a81fa4bf281a21e6e7788c6d32b611ec04,Jan,2019,heat,auto,Sioux Falls,665.1238095238095,700.0,700.0,0.0,False,False,False
8930281824f3ef2ac371723900928c198a63c348,Jan,2019,heat,auto,Sioux Falls,705.0295358649789,706.873417721519,706.873417721519,10.0,False,False,False
8930281824f3ef2ac371723900928c198a63c348,Jan,2019,heat,hold,Sioux Falls,709.9570459683497,711.619442351168,711.619442351168,10.0,False,False,False
89c72f65d234f95357466f70532bce6def19cc8f,Jan,2019,heat,auto,Deadwood,651.511396011396,663.3333333333334,663.3333333333334,20.0,True,False,True
89c72f65d234f95357466f70532bce6def19cc8f,Jan,2019,heat,hold,Deadwood,573.5798403193613,657.877245508982,574.3792415169661,20.0,True,False,True
8c172a33b834bb76e457626c4e1c02eeb8f19e34,Jan,2019,heat,auto,Rapid City,664.1143617021277,667.2978723404256,664.0,70.0,False,False,False
8c172a33b834bb76e457626c4e1c02eeb8f19e34,Jan,2019,heat,hold,Rapid City,663.7575757575758,663.5757575757576,663.5757575757576,70.0,False,False,False
90e121dfbbf74b90bdeeba661458add0a7e5b5ba,Jan,2019,heat,auto,Sioux Falls,679.8125,700.625,697.375,10.0,False,False,False
95b51ea81feb0853f1dcfc2b280cd4163701ab68,Jan,2019,heat,auto,Spearfish,632.2443857331572,652.4002642007925,634.1704095112285,25.0,False,False,False
95b51ea81feb0853f1dcfc2b280cd4163701ab68,Jan,2019,heat,hold,Spearfish,670.3760631834751,669.1846901579587,669.1846901579587,25.0,False,False,False
9890e8311a56a9abe9923f5fc2c000c196edf928,Jan,2019,auto,auto,Sioux Falls,696.6739130434783,745.6304347826087,695.6304347826087,25.0,False,False,False
9890e8311a56a9abe9923f5fc2c000c196edf928,Jan,2019,auto,hold,Sioux Falls,694.1739130434783,760.0,710.0,25.0,False,False,False
