Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00acc682e6fcdd8bb3564978f6baaf6e2d720a41,dec,2020,heat,auto,Nashville,654.6894841269841,660.0,660.0,0.0,False,False,False
00acc682e6fcdd8bb3564978f6baaf6e2d720a41,dec,2020,heat,hold,Nashville,660.1850376272687,662.8946436476317,662.8946436476317,0.0,False,False,False
00b911e88b5a688129d6de33769f73019819a655,dec,2020,auto,hold,Ashland City,676.542735042735,696.0,646.0,0.0,True,False,True
00b911e88b5a688129d6de33769f73019819a655,dec,2020,heat,hold,Ashland City,667.4444444444445,696.0,646.0,0.0,True,False,True
00d762465f20f9432cfd998744ab841e82cb15bd,dec,2020,auto,auto,Cleveland,697.9094202898551,750.0,700.0,20.0,False,False,False
00d762465f20f9432cfd998744ab841e82cb15bd,dec,2020,auto,hold,Cleveland,703.2426778242677,760.0418410041841,707.7824267782427,20.0,False,False,False
00e8c6016f9b964ba4879e9492a8390610872ddb,dec,2020,auto,hold,Franklin,680.485,738.2,681.165,20.0,False,False,False
0113bf09dfae09204aefa3924186bc90a90264e0,dec,2020,heat,hold,Collierville,677.5389830508475,695.1322033898305,659.9796610169492,30.0,False,False,False
0128e6e11c4494679cab12987ad31d4c257f1204,dec,2020,cool,auto,Cleveland,693.0,720.0,720.0,5.0,True,False,False
0128e6e11c4494679cab12987ad31d4c257f1204,dec,2020,heat,auto,Cleveland,692.0769230769231,701.6538461538462,701.5384615384615,5.0,True,False,False
013f1898bcca8fa1f9ddeaf77916019122d83119,dec,2020,auto,auto,Nashville,668.187037037037,748.8888888888889,669.4444444444445,99.0,False,False,False
013f1898bcca8fa1f9ddeaf77916019122d83119,dec,2020,auto,hold,Nashville,673.0962962962963,734.4444444444445,675.5555555555555,99.0,False,False,False
015d7f68100176b6915fedf97d080a8fea24176d,dec,2020,auto,auto,Clarksville,653.440366972477,750.0,642.3853211009174,0.0,False,False,False
016043b4cef7d9cf219756241447f11ff865413b,dec,2020,auto,hold,Nashville,691.6666666666666,756.2745098039215,693.7647058823529,15.0,False,False,False
016043b4cef7d9cf219756241447f11ff865413b,dec,2020,heat,hold,Nashville,686.75,740.0,690.0,15.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,dec,2020,heat,auto,Collierville,653.6093189964158,711.9390681003584,697.3870967741935,20.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,dec,2020,heat,hold,Collierville,673.7661365762394,677.935453695042,677.9055191768008,20.0,False,False,False
01b244c6278bc022e1b13b3826143b733278d6bb,dec,2020,heat,hold,Knoxville,668.9638554216867,672.5301204819277,660.722891566265,15.0,False,False,False
02292b52e205c2f06336b3c700c83f767b08294d,dec,2020,heat,auto,Lakeland,680.2519083969465,682.5458015267176,682.5458015267176,25.0,False,False,False
02292b52e205c2f06336b3c700c83f767b08294d,dec,2020,heat,hold,Lakeland,677.9705505761843,679.2932138284251,679.2932138284251,25.0,False,False,False
02370fdc66401fdf85a5f4c0281bc6b3f70ce6bb,dec,2020,auto,auto,Clarksville,687.769291964996,728.2832140015911,678.2832140015911,20.0,True,False,False
025d0536636686b956df8dfbe0fe6c8a9ddcfa7b,dec,2020,auto,auto,Ooltewah,691.313209494324,770.0,690.0,0.0,True,False,False
025d0536636686b956df8dfbe0fe6c8a9ddcfa7b,dec,2020,auto,hold,Ooltewah,691.593137254902,765.0,695.0,0.0,True,False,False
