Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00acc682e6fcdd8bb3564978f6baaf6e2d720a41,feb,2019,auto,auto,Nashville,732.5833333333334,740.0,670.0,0.0,False,False,False
00acc682e6fcdd8bb3564978f6baaf6e2d720a41,feb,2019,heat,auto,Nashville,694.3176100628931,685.6603773584906,685.6603773584906,0.0,False,False,False
00acc682e6fcdd8bb3564978f6baaf6e2d720a41,feb,2019,heat,hold,Nashville,681.971334971335,674.029484029484,674.029484029484,0.0,False,False,False
00e8c6016f9b964ba4879e9492a8390610872ddb,feb,2019,heat,hold,Franklin,684.7741935483871,673.8709677419355,673.8709677419355,20.0,False,False,False
0113bf09dfae09204aefa3924186bc90a90264e0,feb,2019,heat,hold,Collierville,688.5882352941177,701.4705882352941,689.4117647058823,30.0,False,False,False
0128e6e11c4494679cab12987ad31d4c257f1204,feb,2019,heat,auto,Cleveland,643.7161572052402,650.0,640.0,5.0,True,False,False
016043b4cef7d9cf219756241447f11ff865413b,feb,2019,auto,auto,Nashville,668.8429118773946,740.0,670.0,15.0,False,False,False
016043b4cef7d9cf219756241447f11ff865413b,feb,2019,auto,hold,Nashville,675.7108167770419,740.066225165563,675.9602649006622,15.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,feb,2019,heat,auto,Collierville,687.375415282392,666.578073089701,690.1328903654485,20.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,feb,2019,heat,hold,Collierville,681.4062937062937,678.4804195804196,678.4951048951049,20.0,False,False,False
01b244c6278bc022e1b13b3826143b733278d6bb,feb,2019,heat,auto,Knoxville,682.140625,670.0,659.21875,15.0,False,False,False
01b244c6278bc022e1b13b3826143b733278d6bb,feb,2019,heat,hold,Knoxville,679.7481751824818,670.0,657.5656934306569,15.0,False,False,False
01d5ca597550d7a713af8da3cebe25800ee5481f,feb,2019,heat,auto,Hermitage,696.64,760.88,695.72,20.0,True,False,False
01d5ca597550d7a713af8da3cebe25800ee5481f,feb,2019,heat,hold,Hermitage,690.75,691.4583333333334,689.5833333333334,20.0,True,False,False
02292b52e205c2f06336b3c700c83f767b08294d,feb,2019,heat,auto,Lakeland,670.4705882352941,760.0,650.4470588235295,25.0,False,False,False
02292b52e205c2f06336b3c700c83f767b08294d,feb,2019,heat,hold,Lakeland,673.6153846153846,666.1538461538462,664.7692307692307,25.0,False,False,False
02370fdc66401fdf85a5f4c0281bc6b3f70ce6bb,feb,2019,auto,auto,Clarksville,711.7260348583878,733.0887799564271,683.0887799564271,20.0,True,False,False
025d0536636686b956df8dfbe0fe6c8a9ddcfa7b,feb,2019,auto,hold,Ooltewah,668.2302405498282,780.0,660.9155621011291,0.0,True,False,False
02d67bf123b3642cad0b2711fe076b40a2348c13,feb,2019,heat,auto,Morristown,698.6216216216217,700.009009009009,700.003003003003,90.0,False,False,False
02d67bf123b3642cad0b2711fe076b40a2348c13,feb,2019,heat,hold,Morristown,696.4469696969697,695.6954545454546,695.6560606060606,90.0,False,False,False
02e778eac80ff7d57ad6c0c13a2084e07faa5f01,feb,2019,heat,hold,Memphis,705.0461056401074,710.0,710.0,30.0,False,False,False
030867a50beb225586edd533b8c403284d5657a7,feb,2019,heat,auto,Morristown,665.0219072164948,663.4226804123712,663.4226804123712,10.0,True,False,True
