Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00a7c25884405a6da411f2e0769bec3bcec752c1,Jan,2021,auto,hold,Hendersonville,683.6428571428571,740.0,690.0,20.0,False,False,False
00acc682e6fcdd8bb3564978f6baaf6e2d720a41,Jan,2021,heat,hold,Nashville,662.1570844358913,665.4794322828964,665.4794322828964,0.0,False,False,False
00e8c6016f9b964ba4879e9492a8390610872ddb,Jan,2021,auto,hold,Franklin,678.7669172932331,741.015037593985,681.5413533834586,20.0,False,False,False
015d7f68100176b6915fedf97d080a8fea24176d,Jan,2021,auto,hold,Clarksville,686.0875,751.8392857142857,693.5714285714286,0.0,False,False,False
016043b4cef7d9cf219756241447f11ff865413b,Jan,2021,auto,hold,Nashville,696.8245614035088,760.0,700.0,15.0,False,False,False
01691a75c606f8718e28a6b747c4cb9675a9060b,Jan,2021,heat,hold,Collierville,680.0855263157895,686.0032894736842,686.0082236842105,20.0,False,False,False
02292b52e205c2f06336b3c700c83f767b08294d,Jan,2021,heat,hold,Lakeland,677.4584980237154,678.9749670619236,678.9565217391304,25.0,False,False,False
02d67bf123b3642cad0b2711fe076b40a2348c13,Jan,2021,heat,hold,Morristown,682.5797468354431,686.2905063291139,686.2905063291139,90.0,False,False,False
030867a50beb225586edd533b8c403284d5657a7,Jan,2021,heat,hold,Morristown,705.6889589905363,708.3589905362776,708.3589905362776,10.0,True,False,True
032768699aaf4fc665024f2cc95dab4576c6444b,Jan,2021,heat,hold,Brentwood,724.0853658536586,717.8414634146342,626.4634146341464,20.0,False,False,False
0327e2f6416912c7320bedd41df16f269d02da62,Jan,2021,auto,hold,Maryville,682.1060606060606,720.0,700.0,27.0,True,False,True
034d7ac5a5dc0d458221303365d8de9b1192acc7,Jan,2021,heat,hold,Collierville,719.4528301886793,720.0,720.0,17.0,False,False,False
03528fd0510ac074f319f4d196f87f0d2b19fc26,Jan,2021,heat,hold,Clarksville,694.6116504854369,706.1165048543689,706.1165048543689,10.0,False,False,True
04077184a016eb0b19fecc12c3bbc55fa45accf0,Jan,2021,heat,hold,Thompsons Station,665.04375,700.0,700.0,0.0,True,False,True
0425901f9c00bc6ecefd973691303b410730ed97,Jan,2021,cool,hold,Spring Hill,647.7291666666666,675.0,675.0,5.0,False,False,False
0425901f9c00bc6ecefd973691303b410730ed97,Jan,2021,heat,hold,Spring Hill,637.2947368421053,641.8947368421053,641.8947368421053,5.0,False,False,False
048e7b27c1fe63183c1c00a97b897b26fbb28119,Jan,2021,auto,hold,Knoxville,661.1222050886662,682.3484965304549,662.3484965304549,40.0,False,False,True
04adebc254991a86381911de7c9d269f2c498bbf,Jan,2021,heat,hold,Thompsons Station,716.081081081081,718.7567567567568,718.7567567567568,9.0,False,False,False
04d359daf78eac9e808f55994aec0733a0f1028a,Jan,2021,auto,hold,Johnson City,694.8793103448276,760.0,699.9568965517242,20.0,False,False,True
04e126bb90445ebda938f7e5e1ee20cf68020c05,Jan,2021,auto,hold,Goodlettsville,680.5384615384615,742.0307692307692,701.6615384615385,30.0,False,False,True
04fd9ae082e8206a49d31bcfc1a94af53bed78c7,Jan,2021,heat,hold,Fairview,627.1111111111111,660.0,660.0,9.0,True,False,False
0595a0cca77c13f5405c88dbdcf9edbc64df7169,Jan,2021,heat,hold,Thompsons Station,688.153301007087,685.7795598657217,685.0261096605744,5.0,False,False,False
059d5b61a58fce8fe2a2d671283ba942855e3638,Jan,2021,auto,hold,Powell,691.1789473684211,726.9473684210526,692.8421052631579,15.0,False,False,False
05f74336ffabc62ca59f8e22ba1beaba965840f5,Jan,2021,heat,hold,Gallatin,677.8785310734463,682.499192897498,675.6428571428571,15.0,False,False,False
05f90ff784a704fba3dfd2bf4e2569a1fa9ea30a,Jan,2021,heat,hold,Germantown,651.8333333333334,676.5,667.0,10.0,False,False,False
0679e7a0477a1ae753442288c7052966e3e2c22c,Jan,2021,auto,hold,Nolensville,701.4760705289673,750.6549118387909,698.7657430730478,8.0,False,False,False
0679e7a0477a1ae753442288c7052966e3e2c22c,Jan,2021,heat,hold,Nolensville,701.6184210526316,704.671052631579,704.671052631579,8.0,False,False,False
0690b029bfd4163170d208c79d454753a87c43c9,Jan,2021,heat,hold,Rockvale,673.0,650.0,630.0,0.0,False,False,True
069f0472dce0dfc8cac8e59c5e6fd7177edb5db1,Jan,2021,cool,hold,Franklin,661.925925925926,690.0,690.0,29.0,False,False,False
069f0472dce0dfc8cac8e59c5e6fd7177edb5db1,Jan,2021,heat,hold,Franklin,684.0714285714286,690.0,690.0,29.0,False,False,False
06c3079e0a2586972b4331e320998edd392b6985,Jan,2021,heat,hold,Mount Juliet,680.7058823529412,690.0,690.0,0.0,True,False,False
06cb2fb35a5a6827f60f9188c443d2ca3de24ce7,Jan,2021,heat,hold,Memphis,625.2291666666666,651.75,629.5625,0.0,True,False,False
06e44928e286c31032e99523e06f1e3ba9b3b502,Jan,2021,heat,hold,East Memphis,629.2570694087403,651.6002570694087,627.4241645244216,70.0,True,False,False
06e5760fca31163b2373edb5a60b1d8774b3cf6d,Jan,2021,cool,hold,Germantown,683.071129707113,698.0334728033473,698.0334728033473,20.0,False,False,False
06e5760fca31163b2373edb5a60b1d8774b3cf6d,Jan,2021,heat,hold,Germantown,670.4571428571429,650.0,620.0,20.0,False,False,False
0772d0b46eec25fd5feda6e26c98cc4d4280da80,Jan,2021,auto,hold,Clarksville,732.4994656216601,767.1107944424652,737.1107944424652,5.0,True,False,True
077be0077c6e0e887d5e44769efab2122fe73739,Jan,2021,auto,hold,Nashville,727.7777777777778,786.0,736.0,0.0,False,False,False
0789b4d0c3fa4714eb559e429b8fba5734f8b2e1,Jan,2021,auto,hold,Mt. Juliet,679.9345238095239,718.5267857142857,686.4434523809524,0.0,False,False,False
07d086589ee9c7258e970872b92e63d22fadd3a4,Jan,2021,heat,hold,Clarksville,706.8538461538461,706.6615384615385,706.6615384615385,0.0,True,False,True
081d8a660ef5d2ba0f9128717d3b202a1f26de69,Jan,2021,auto,hold,Franklin,686.8207547169811,714.877358490566,661.566037735849,10.0,False,False,False
0823de1239874f68484168baa44d0d1a10d2cc91,Jan,2021,heat,hold,Sevierville,715.7114445219819,670.0,670.0,50.0,True,False,True
08e7fddf323c5568b50359ef7de9430e300a50a0,Jan,2021,heat,hold,College Grove,687.343137254902,688.9264705882352,688.3382352941177,0.0,False,False,False
0943a5084a65d9cdde2ae459bea8f3bde388e230,Jan,2021,auto,hold,Murfreesboro,667.639751552795,776.3664596273292,673.472049689441,5.0,False,False,True
0982bf296c227860d9466a95f1d9b883a0fd2535,Jan,2021,auto,hold,Louisville,648.2319164802386,750.0,650.0,5.0,True,False,True
09b1f76b7ed1946b7874bda018bdf169b60eb6d9,Jan,2021,auto,hold,Spring Hill,680.9254571026723,739.620253164557,680.0576652601969,15.0,False,False,False
09b8a3baec3494235163f342904f31c2ad31ab2f,Jan,2021,auto,hold,Nashville,666.0857142857143,770.0,658.8571428571429,30.0,True,False,True
09c39605981eb65e0fc8bf95d16e5e4503834d92,Jan,2021,heat,hold,Lebanon,683.5638848622904,688.9124042244771,688.9124042244771,30.0,False,False,True
0a2c1a307aa3c8a34138d555ff4ad62c3fff7bc8,Jan,2021,auto,hold,Nashville,659.6944444444445,742.0,660.1111111111111,0.0,False,False,True
0a4c659470d1b3b151bc25d09634bcb37b09264f,Jan,2021,auto,hold,Hermitage,674.6471061093248,707.5418006430868,675.427652733119,0.0,False,False,True
0ab1ca5e8899a81effc4da3c4cce2cf67dc4d69a,Jan,2021,auto,hold,Clinton,699.2562711864407,780.0,701.1328813559322,10.0,False,False,False
0ac2e19580313ecf210d59d236ce6527f34f8906,Jan,2021,heat,hold,Ooltewah,710.8888888888889,713.4777777777778,713.1333333333333,0.0,False,False,True
0b16a1b4b8a88bda9d2cc4cbb3c18a1192482c32,Jan,2021,heat,hold,Franklin,677.0856256463288,680.0,680.0,0.0,False,False,True
0b4ba9f470746073f8b9f9a6772dd91d215b30d9,Jan,2021,auto,hold,Nashville,637.9698113207547,762.656603773585,639.6301886792453,0.0,True,False,True
0c77d72ad97b801de3a6d95a360b16b884a95d12,Jan,2021,auto,hold,Bartlett,707.046052631579,770.5855263157895,714.0065789473684,40.0,False,False,False
0c77d72ad97b801de3a6d95a360b16b884a95d12,Jan,2021,heat,hold,Bartlett,718.9166666666666,729.9666666666667,729.1166666666667,40.0,False,False,False
0cc26b2ca9e6a007917dee64d2a6a9f7b689bd76,Jan,2021,heat,hold,Sparta,673.9615894039736,680.0198675496689,679.9933774834437,5.0,False,False,False
0ce88b644065d94c3c98627513001b372ef063f3,Jan,2021,auto,hold,Nashville,711.3166666666667,750.0,690.0,15.0,False,False,False
0d1fcd1e69fdfef9486feb1cd0f36bd4479cfbd6,Jan,2021,heat,hold,Murfreesboro,658.8321554770318,660.497644287397,660.497644287397,70.0,False,False,False
0d41cb98666e02affcab0f1fdf03ea2b1a2cfb5d,Jan,2021,auto,hold,Louisville,698.7991360691145,770.0,700.2591792656588,17.0,True,False,False
0d4a29d5fe247541f8b9a18082f8f0737d881ae6,Jan,2021,auto,hold,Brentwood,708.4717416378317,769.4405997693195,713.3391003460208,15.0,False,False,False
0d66862bda093a5036fccf660497b6b8a77e265a,Jan,2021,heat,hold,Bartlett,673.5111111111111,672.7888888888889,672.7888888888889,30.0,False,False,False
0d6687cfabdd39ff27b796881e27007c137d7ef9,Jan,2021,heat,hold,Nashville,717.6958333333333,718.9347222222223,718.9347222222223,10.0,True,False,False
0da6c237b69443f75147683f0b8431dbcb82b87a,Jan,2021,auto,hold,Knoxville,674.75,730.0,680.0,40.0,False,False,False
0da6c237b69443f75147683f0b8431dbcb82b87a,Jan,2021,heat,hold,Knoxville,664.7142857142857,674.0,671.1428571428571,40.0,False,False,False
0daf9a1ddfe7496203fd38cb008ee8009ebaeb32,Jan,2021,auto,hold,Memphis,691.5483870967741,770.0,695.0602150537634,0.0,False,False,False
0ddcb0ed60672553b25cd7cc0365dc51ce3f9682,Jan,2021,auto,hold,Bristol,686.69140625,744.9609375,690.0,60.0,True,False,True
0e1caee510bd3d98fbbbdf54ab3fdeb218a16b82,Jan,2021,auto,hold,Morristown,651.9889094269871,719.4288354898337,652.7911275415896,60.0,True,False,True
0e28279fcfd5ccefceac283092d565a69ce9bb57,Jan,2021,heat,hold,Knoxville,657.2315789473685,659.9543859649123,659.9543859649123,55.0,True,False,True
0f0b166dd12e5c0f802e40224c0348814b1e0a7d,Jan,2021,heat,hold,Hermitage,715.520737327189,722.405529953917,721.63133640553,5.0,False,False,False
0f190fc522fe69ad6be0cb30e6b44f99576ae9dd,Jan,2021,heat,hold,Brentwood,689.4109589041096,665.1643835616438,657.6849315068494,10.0,False,False,False
0f406492dcb5117c45f35e5a93de4f1b2d281f40,Jan,2021,auto,hold,Nashville,701.0,760.0,710.0,0.0,False,False,False
0f58b5c59edf053ee6f6067179a6f91772816cc1,Jan,2021,heat,hold,Nashville,661.0666666666667,706.6666666666666,706.6666666666666,5.0,False,False,True
0f5b783863e0b355601c004b1797f17ec457ccc0,Jan,2021,auto,hold,Munford,716.4301759640584,788.2560838637214,717.5600898539873,0.0,False,False,False
10261da1ee75575ca07c1632a1802b1c3dcd2dd0,Jan,2021,heat,hold,Nashville,686.8728179551122,693.4177057356609,692.0224438902743,10.0,False,False,False
10697dd045f3597b008b0dcb7acee3e8115aad89,Jan,2021,auto,hold,Sevierville,678.9946524064171,785.6109625668449,686.2874331550802,10.0,True,False,True
1071f633a61b821aaa4989aa41f0c3449ed8ad5b,Jan,2021,auto,hold,Kingsport,661.3891625615763,774.6305418719212,646.871921182266,27.0,True,False,True
11255b0440b363f3e10efadcdc4b1e3b460a6aa0,Jan,2021,heat,hold,Cleveland,691.7866323907455,689.853470437018,689.4164524421594,50.0,True,False,False
11e15f5cb1df637781cda988b726fc32722ab286,Jan,2021,heat,hold,Greenback,701.2044444444444,702.7911111111111,702.7911111111111,30.0,False,False,True
120742c46feb77b061bc9c92f5c8d74d39e6d803,Jan,2021,heat,hold,Bartlett,697.0425179458863,696.4417448923247,696.4417448923247,7.0,False,False,False
127a2b6bb90351e14439107431584db05d22badb,Jan,2021,auto,hold,Gallatin,704.3306990881459,764.019452887538,706.9677811550152,15.0,False,False,False
12bb2be4a087f6eb1ad7f462bdf366bef7c31a9b,Jan,2021,auto,hold,Finger,690.2201834862385,755.8623853211009,693.7522935779816,15.0,False,False,True
12bb2be4a087f6eb1ad7f462bdf366bef7c31a9b,Jan,2021,heat,hold,Finger,694.8412698412699,700.0,700.0,15.0,False,False,True
1327017a07847cb92878ae679b7158ca12daa7e1,Jan,2021,heat,hold,Knoxville,706.1851851851852,710.0,710.0,40.0,False,False,True
13516a1b38e9551ef0cea8b4136dd72c1d1c75b8,Jan,2021,heat,hold,Greenback,696.4893111638955,700.083135391924,700.083135391924,30.0,False,False,True
13800781936dc4c6e7f720d4702bd782d516888f,Jan,2021,heat,hold,Brentwood,766.8181818181819,720.0,620.0,20.0,False,False,False
14d908ac667474aafacf94a57da1398b220973d2,Jan,2021,heat,hold,Cleveland,675.6739130434783,707.1739130434783,707.1739130434783,10.0,False,False,True
1518e869f2de2c6343692ae7e4018d2b80c72782,Jan,2021,auto,hold,Sevierville,700.1604754829124,754.6686478454681,704.258543833581,25.0,True,False,False
151b6e97575fc62e749f2cda398a9fe126f1693d,Jan,2021,auto,hold,Franklin,638.8219178082192,740.0,600.0,20.0,True,False,True
1560c066e9fab3dcfd7e040fdc09e7f1a63d415b,Jan,2021,auto,hold,Gallatin,707.2433628318585,759.5457227138643,709.5066371681415,15.0,False,False,False
156d90fef4e7ab292f6adcf2604b29328eb38762,Jan,2021,heat,hold,Franklin,710.15,712.0,712.0,17.0,False,False,False
1582e73f8b497b55070ba5fd728fabde63ef9290,Jan,2021,auto,hold,Spring Hill,704.3045089561458,764.9141445336628,705.8956145768993,5.0,False,False,True
1618c082825f9a2355fdebecf150d5a64c94b7b7,Jan,2021,heat,hold,Memphis,691.1263736263736,696.0439560439561,696.0439560439561,50.0,False,False,False
16424b126ec62c327f7203d1c2a86f1987d215fb,Jan,2021,auto,hold,Brighton,671.9026548672566,733.7168141592921,676.4690265486726,5.0,False,False,False
16a2fe256adef8dab9386d6c36ba73eea234b765,Jan,2021,heat,hold,Nashville,717.7352941176471,720.0,720.0,10.0,False,False,False
16ac844e3f875ac361cd8c779e58e2e76019d0b3,Jan,2021,heat,hold,Millington,643.7508305647841,695.0,646.5116279069767,60.0,False,False,False
174168a0275eb2e2b71c1145543a2cbc54c7f714,Jan,2021,auto,hold,Collierville,691.7142857142857,698.9285714285714,639.4642857142857,0.0,False,False,False
17767d97cccacfd4b549914d05bc31d868a85191,Jan,2021,heat,hold,Murfreesboro,654.0369344413666,650.0,635.0,5.0,False,False,True
17a13c03097ce1b43a2f92a7a98a16cc224b2d1d,Jan,2021,cool,hold,Collierville,652.6764705882352,690.0,690.0,10.0,False,False,False
17a13c03097ce1b43a2f92a7a98a16cc224b2d1d,Jan,2021,heat,hold,Collierville,697.6196741854636,700.3690476190476,700.3690476190476,10.0,False,False,False
17a8fad604a32ba93133e28ac5143b14c8f97d8f,Jan,2021,auto,hold,Nashville,703.2100840336135,790.6722689075631,704.9579831932773,79.0,False,False,False
17c0daa5b055b00d730a269f8e20514463649bdd,Jan,2021,heat,hold,Arlington,706.3015873015873,712.2142857142857,711.5714285714286,10.0,False,False,False
17c22104ed3c5432de5da8660bf7bfeb4a576562,Jan,2021,auto,hold,Knoxville,706.2083333333334,770.0,718.75,40.0,False,False,False
17c8fab24c8a8be41ea931608acc66b7581a9a8c,Jan,2021,auto,hold,Lockeland Springs,671.9594703049759,740.0,675.0766452648475,95.0,False,False,False
17ceae4e13331627c4bcb5da50e7a42b10a8a248,Jan,2021,auto,hold,Sevierville,700.5470085470085,750.0,700.0,15.0,True,False,True
17e31b762dc526a0bef004d3ef6ffab8edf25841,Jan,2021,heat,hold,Nashville,665.3359073359073,708.1853281853282,674.1544401544402,10.0,True,False,True
1802f264accd5128b307f8806dc9fa10abff1693,Jan,2021,heat,hold,Nashville,693.7106918238994,695.0817610062893,695.0817610062893,50.0,False,False,False
180aca44934d417e386d76860df6972ef7cb7276,Jan,2021,auto,hold,Smyrna,678.0024213075061,750.0,677.820823244552,0.0,True,False,True
181d67242f8f657e2c49dc7583d6a96c6ee007ed,Jan,2021,heat,hold,Collierville,704.013342228152,739.0,706.3455637091395,10.0,False,False,False
183d52cfccb62951c622ba6b8b16f1b1ea623744,Jan,2021,auto,hold,Sevierville,670.5728395061728,706.2765432098765,656.2765432098765,10.0,False,False,True
183d52cfccb62951c622ba6b8b16f1b1ea623744,Jan,2021,heat,hold,Sevierville,673.814455231931,678.8960805465659,676.0402732829917,10.0,False,False,True
184513200f71c06afc0ca2b603fd0904c5af5360,Jan,2021,auto,hold,Nashville,699.6392405063291,789.7848101265823,712.7848101265823,59.0,False,False,False
184a45265c9ab31d453fac719ad5944baa965358,Jan,2021,auto,hold,Clarksville,663.2722222222222,750.0,670.0,0.0,False,False,True
184a45265c9ab31d453fac719ad5944baa965358,Jan,2021,heat,hold,Clarksville,697.8746666666667,707.0,707.0,0.0,False,False,True
18a926d10a7576a6f1a7dfae77ed57cc82e270f0,Jan,2021,heat,hold,Chattanooga,647.403162055336,651.9090909090909,650.695652173913,70.0,True,False,True
1972ac3eea6fa26b0d9ee999d33579b949a0fcd1,Jan,2021,auto,hold,Smyrna,640.9805555555556,693.4194444444445,643.4194444444445,50.0,True,False,False
1b5e59ffba79b70928bcff1d65b1e3fb7469dcef,Jan,2021,auto,hold,Pleasant View,714.3809523809524,770.0,720.0,8.0,True,False,True
1b604a709aacec4cc72b649d3d7fa0d9b0a28abd,Jan,2021,auto,hold,Mount Juliet,684.6078291814947,743.6725978647687,686.9729537366549,9.0,True,False,True
