Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0003961bf7be0178033b8555171c5f824c7de641,dec,2017,auto,auto,McKinney,696.2535211267606,744.9295774647887,694.9295774647887,15.0,False,False,False
0003961bf7be0178033b8555171c5f824c7de641,dec,2017,auto,hold,McKinney,706.7247899159664,758.1449579831933,708.1449579831933,15.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,dec,2017,cool,auto,Tomball,715.3333333333334,711.0,711.0,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,dec,2017,cool,hold,Tomball,700.3703703703703,713.6190476190476,713.6190476190476,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,dec,2017,heat,auto,Tomball,716.243628950051,717.6901121304791,717.6901121304791,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,dec,2017,heat,hold,Tomball,709.5621414913958,710.4034416826004,710.4034416826004,66.0,False,False,False
000b62ee679be720c7e29287671df330984fc4dc,dec,2017,auto,auto,Frisco,713.4639175257732,790.6185567010309,710.1546391752578,30.0,False,False,False
001b181c7fc1aa0a6346da41ff48a00542854475,dec,2017,heat,auto,Southlake,728.0,740.0,740.0,20.0,False,False,False
001b181c7fc1aa0a6346da41ff48a00542854475,dec,2017,heat,hold,Southlake,724.4242424242424,720.0,720.0,20.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,dec,2017,auto,auto,Porter,726.5222929936306,784.0254777070064,673.8535031847134,5.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,dec,2017,auto,hold,Porter,724.9559412550067,775.1748998664887,725.13217623498,5.0,False,False,False
001e1a9a33f4046317bed2dfe295421d45e055e9,dec,2017,auto,auto,Houston,679.625,739.7291666666666,686.6041666666666,5.0,False,False,False
001e1a9a33f4046317bed2dfe295421d45e055e9,dec,2017,auto,hold,Houston,677.5430107526881,757.5,687.3387096774194,5.0,False,False,False
002c3bc36965ccbff63b9fb9cd605afcc5e3c704,dec,2017,auxHeatOnly,auto,Plano,665.9508196721312,816.0,653.1803278688525,15.0,False,False,True
003a3253400c47cbd28f2606555a592a0666c299,dec,2017,auto,auto,Prosper,738.9545454545455,792.7840909090909,722.1704545454545,5.0,False,False,False
003a3253400c47cbd28f2606555a592a0666c299,dec,2017,auto,hold,Prosper,725.2666666666667,740.6857142857143,651.952380952381,5.0,False,False,False
003f759511dfef93ead09684ba0a956b61012b2f,dec,2017,auto,auto,Flower Mound,654.624060150376,800.0,630.0,25.0,False,False,False
003f759511dfef93ead09684ba0a956b61012b2f,dec,2017,auto,hold,Flower Mound,717.744939271255,780.0,720.0,25.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,dec,2017,heat,auto,Houston,684.2295081967213,690.0,690.0,80.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,dec,2017,heat,hold,Houston,640.24,652.08,623.64,80.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,dec,2017,auto,auto,San Antonio,748.9111111111112,760.0,680.0,15.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,dec,2017,auto,hold,San Antonio,691.3923076923077,749.4153846153846,686.8269230769231,15.0,False,False,False
00576cfc1fae22ab39f297afabe55e9d7240e57c,dec,2017,auto,auto,Southlake,715.0095238095238,738.5904761904762,677.4285714285714,5.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,dec,2017,auto,auto,Austin,684.5238095238095,701.6666666666666,650.7142857142857,5.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,dec,2017,auto,hold,Austin,691.3333333333334,745.0,675.0,5.0,False,False,False
00b4896dd89c61c8cd6aeb8f62a3938c2752e7dc,dec,2017,heat,auto,KELLER,680.2107526881721,664.0731182795699,664.0731182795699,5.0,False,False,False
00e545f1f0dbe614686f95caa395dd185fd746a7,dec,2017,auto,auto,Dallas,648.1428571428571,747.7619047619048,622.1904761904761,10.0,False,False,False
00e545f1f0dbe614686f95caa395dd185fd746a7,dec,2017,auto,hold,Dallas,672.9270833333334,726.5104166666666,670.3333333333334,10.0,False,False,False
0119aea2dd260593a714aef81229c33b881b1802,dec,2017,auto,auto,San Antonio,740.3076923076923,778.0,721.0769230769231,35.0,False,False,False
0119aea2dd260593a714aef81229c33b881b1802,dec,2017,auto,hold,San Antonio,731.8360655737705,745.7377049180328,685.3852459016393,35.0,False,False,False
014672709f4f5d30ee2b811af9f2d3c41204b71d,dec,2017,auto,auto,Celina,677.9519230769231,749.5064102564103,679.0961538461538,5.0,False,False,False
014672709f4f5d30ee2b811af9f2d3c41204b71d,dec,2017,cool,auto,Celina,731.25,730.0,650.0,5.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,dec,2017,auto,auto,Porter,684.1130952380952,736.9047619047619,675.3571428571429,10.0,False,False,False
