Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0003961bf7be0178033b8555171c5f824c7de641,dec,2020,auto,hold,McKinney,694.1536748329621,746.8329621380847,696.8329621380847,15.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,dec,2020,cool,hold,Tomball,657.7611336032388,680.0631578947368,680.0631578947368,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,dec,2020,heat,hold,Tomball,666.1113477334956,670.1673258290234,669.3136598722239,66.0,False,False,False
000cd769eabc6d52d94bad16a47650a0e2bbb65f,dec,2020,auto,hold,Kennedale,659.1428571428571,752.1428571428571,644.1428571428571,0.0,False,False,False
0012a9ee0fd69c8c186fc1513ef8a5caae74cac3,dec,2020,auto,hold,Dallas,717.804081632653,771.5734693877552,720.3653061224489,50.0,False,False,False
00133b4cfd43110da9c312414ea4ec65c8d158cb,dec,2020,auto,auto,Oak Ridge North,691.6555555555556,733.5191919191919,683.5191919191919,30.0,True,False,False
00133b4cfd43110da9c312414ea4ec65c8d158cb,dec,2020,auto,hold,Oak Ridge North,690.6077777777778,740.0,690.0,30.0,True,False,False
0015a19a9fe2683ba82bfd16884819d83b39404c,dec,2020,heat,auto,Austin,677.1064301552107,760.0044345898004,658.350332594235,0.0,False,False,False
0015a19a9fe2683ba82bfd16884819d83b39404c,dec,2020,heat,hold,Austin,679.4470802919708,680.7554744525547,680.1970802919708,0.0,False,False,False
001e1a9a33f4046317bed2dfe295421d45e055e9,dec,2020,auto,hold,Houston,693.0138888888889,770.0,699.2083333333334,5.0,False,False,False
003a3253400c47cbd28f2606555a592a0666c299,dec,2020,auto,auto,Prosper,739.5512820512821,794.6153846153846,744.6153846153846,5.0,False,False,False
003a3253400c47cbd28f2606555a592a0666c299,dec,2020,auto,hold,Prosper,725.1142857142858,785.0,735.0,5.0,False,False,False
003f759511dfef93ead09684ba0a956b61012b2f,dec,2020,auto,auto,Flower Mound,706.9090909090909,770.0,690.0,25.0,False,False,False
003f759511dfef93ead09684ba0a956b61012b2f,dec,2020,auto,hold,Flower Mound,706.7254901960785,770.0,710.0,25.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,dec,2020,cool,hold,Houston,692.1075268817204,697.6881720430108,697.6881720430108,80.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,dec,2020,heat,hold,Houston,670.2886363636363,665.8204545454546,665.8204545454546,80.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,dec,2020,auto,hold,San Antonio,697.5110294117648,777.4742647058823,695.6764705882352,15.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,dec,2020,auto,auto,Austin,731.8689655172413,766.24350132626,734.5246684350133,38.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,dec,2020,auto,hold,Austin,717.6502115655853,733.9139633286319,703.9139633286319,38.0,False,False,False
00637f200823923ffa73a8c38fb64eef03c01840,dec,2020,heat,auto,Round Rock,679.7640211640212,672.6518518518518,672.6518518518518,20.0,False,False,False
0064ad05725baef92c6fdfcd4ae0aeedcd13c428,dec,2020,heat,auto,Eastland,702.6888888888889,700.0,700.0,5.0,False,False,False
0072aaa82c4c777631570e53c15ad3e394d918e3,dec,2020,heat,auto,Houston,682.3029126213593,750.0,688.0213592233009,0.0,True,False,False
0072aaa82c4c777631570e53c15ad3e394d918e3,dec,2020,heat,hold,Houston,702.4814814814815,722.0,722.0,0.0,True,False,False
00750e99807a0bc47c7038664baba4d58ddae71f,dec,2020,heat,auto,Keller,693.0666666666667,760.0,699.2666666666667,0.0,False,False,False
00750e99807a0bc47c7038664baba4d58ddae71f,dec,2020,heat,hold,Keller,698.4070981210856,700.0939457202505,700.0939457202505,0.0,False,False,False
00801f83e4a176a35a440e424c84f48c0b212714,dec,2020,auto,auto,Frisco,734.8541666666666,799.4375,739.4375,15.0,False,False,False
008b5e917ccaeb423c76d27072795a41f7a941af,dec,2020,heat,auto,Tyler,646.0222222222222,651.5005847953216,644.8713450292398,30.0,False,False,False
008b5e917ccaeb423c76d27072795a41f7a941af,dec,2020,heat,hold,Tyler,672.1193181818181,668.9886363636364,668.9886363636364,30.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,dec,2020,heat,auto,Austin,695.7837837837837,720.0,699.972972972973,5.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,dec,2020,heat,hold,Austin,715.5061728395061,713.6296296296297,713.2592592592592,5.0,False,False,False
00b4896dd89c61c8cd6aeb8f62a3938c2752e7dc,dec,2020,heat,hold,KELLER,659.775,650.0,650.0,5.0,False,False,False
00e30feadf3b17ac7434c83b71e2fcc634ad312e,dec,2020,heat,auto,murphy,702.0674846625767,666.3680981595093,666.3680981595093,15.0,False,False,False
00e30feadf3b17ac7434c83b71e2fcc634ad312e,dec,2020,heat,hold,murphy,696.7816901408451,663.0985915492957,663.0985915492957,15.0,False,False,False
00e545f1f0dbe614686f95caa395dd185fd746a7,dec,2020,auto,auto,Dallas,651.75,736.5,620.0,10.0,False,False,False
00e545f1f0dbe614686f95caa395dd185fd746a7,dec,2020,auto,hold,Dallas,684.6875,736.5625,694.0625,10.0,False,False,False
00f0685e7e2478cc1cd02e9c9a12c48de02f8e45,dec,2020,heat,auto,Garland,739.4545454545455,749.1766723842195,749.1766723842195,0.0,True,False,False
00f0685e7e2478cc1cd02e9c9a12c48de02f8e45,dec,2020,heat,hold,Garland,739.2162162162163,748.5510026155188,748.5510026155188,0.0,True,False,False
010e3cbd005add1f552332fee3d2482f80f66e1a,dec,2020,heat,auto,El Paso,670.7701149425287,667.7241379310345,667.7241379310345,9.0,True,False,False
010e3cbd005add1f552332fee3d2482f80f66e1a,dec,2020,heat,hold,El Paso,673.1504117902037,672.170784568704,668.0086692674469,9.0,True,False,False
01188397ac1ce82f31685b40bc7a235212e3fac4,dec,2020,auto,auto,Kerrville,711.7111111111111,770.0,720.0,40.0,False,False,False
01188397ac1ce82f31685b40bc7a235212e3fac4,dec,2020,auto,hold,Kerrville,715.4426229508197,760.0,710.0,40.0,False,False,False
0119aea2dd260593a714aef81229c33b881b1802,dec,2020,auto,hold,San Antonio,733.8227848101266,820.253164556962,739.5569620253165,35.0,False,False,False
014672709f4f5d30ee2b811af9f2d3c41204b71d,dec,2020,heat,auto,Celina,723.1222222222223,770.0,720.0,5.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,dec,2020,auto,auto,Porter,663.4969696969697,720.0,650.0,10.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,dec,2020,auto,hold,Porter,662.5,720.0,650.0,10.0,False,False,False
0150677854030b9e6701b6f959ceae091751f3a5,dec,2020,auto,auto,Houston,708.1578947368421,780.0,710.0,5.0,True,False,False
0150677854030b9e6701b6f959ceae091751f3a5,dec,2020,auto,hold,Houston,710.4820582261341,766.2058226134055,710.6059580230196,5.0,True,False,False
01512913ebd64f53154ad94e55f57253acb6d898,dec,2020,heat,auto,Colleyville,672.2274247491639,669.3846153846154,669.3511705685619,20.0,False,False,False
01512913ebd64f53154ad94e55f57253acb6d898,dec,2020,heat,hold,Colleyville,668.4993788819876,661.8608695652174,658.9751552795032,20.0,False,False,False
0166c84083e62e34f0d5547abee2aeb46eefdbca,dec,2020,auto,auto,Arlington,681.1853281853282,736.3320463320464,641.8996138996139,30.0,True,False,False
0166c84083e62e34f0d5547abee2aeb46eefdbca,dec,2020,auto,hold,Arlington,665.0223713646533,750.2203579418344,668.562639821029,30.0,True,False,False
0169ec7ee4dc79ba847fe28d96d6dae794f88e12,dec,2020,auto,auto,Dallas,682.0,780.0,660.0,10.0,True,False,False
0169ec7ee4dc79ba847fe28d96d6dae794f88e12,dec,2020,auto,hold,Dallas,691.8409090909091,792.3304195804196,695.0961538461538,10.0,True,False,False
016ac8686714d762a23d16066931ed618bd5565e,dec,2020,auto,auto,Wylie,739.84375,797.8125,747.8125,5.0,False,False,False
016fe23c0069629aacd20cd1024d170bd7874240,dec,2020,heat,hold,Grand Prairie,773.6065573770492,777.2459016393443,777.2459016393443,5.0,False,False,False
01707848affa8430b849d63a29c10e23a2d68380,dec,2020,auto,hold,Manor,710.9430894308944,767.3821138211382,717.3821138211382,45.0,False,False,False
017086baabfb1386b8b5f2c23884b302b269048e,dec,2020,heat,auto,Sansom Park,691.1,645.0,620.0,65.0,True,False,False
017086baabfb1386b8b5f2c23884b302b269048e,dec,2020,heat,hold,Sansom Park,690.5873015873016,660.7777777777778,660.2222222222222,65.0,True,False,False
0172eb4c67a4220aa94af6fadb379f0f0f7f6a99,dec,2020,heat,hold,Carrollton,706.6279069767442,713.3178294573644,713.3178294573644,30.0,False,False,False
017d4d6dec0d566b3093606c1fb6bde645a57413,dec,2020,auto,auto,Klondike,712.2153846153847,772.0,716.0,0.0,False,False,False
017d4d6dec0d566b3093606c1fb6bde645a57413,dec,2020,auto,hold,Klondike,724.4965034965035,775.2333916083916,725.2333916083916,0.0,False,False,False
017d4d6dec0d566b3093606c1fb6bde645a57413,dec,2020,heat,hold,Klondike,707.9486652977413,710.0,710.0,0.0,False,False,False
0184e6661d20c5fe6d13229bde018d0141a8ce1a,dec,2020,auto,auto,Houston,695.1428571428571,770.0,694.5535714285714,19.0,True,False,False
0184e6661d20c5fe6d13229bde018d0141a8ce1a,dec,2020,auto,hold,Houston,688.5526802218114,770.0,690.6709796672828,19.0,True,False,False
019cafdd5fba22e85570d7754d17a2ed721be0d9,dec,2020,heat,auto,Austin,784.5888157894736,771.4144736842105,787.7993421052631,0.0,False,False,False
019cafdd5fba22e85570d7754d17a2ed721be0d9,dec,2020,heat,hold,Austin,771.4312730627306,771.7389298892989,771.7389298892989,0.0,False,False,False
019d0c92fd4e982926d7ced36f0bbbf991272e2f,dec,2020,auto,auto,El Paso,708.3055555555555,769.1666666666666,713.75,0.0,False,False,False
019d0c92fd4e982926d7ced36f0bbbf991272e2f,dec,2020,auto,hold,El Paso,705.1964769647697,760.0,709.349593495935,0.0,False,False,False
01a06f33c4367e31eef1001e4f2cd90357d9667e,dec,2020,cool,auto,San Antonio,654.4444444444445,678.1141975308642,678.104938271605,15.0,False,False,True
01a06f33c4367e31eef1001e4f2cd90357d9667e,dec,2020,cool,hold,San Antonio,674.0,680.0,680.0,15.0,False,False,True
01a06f33c4367e31eef1001e4f2cd90357d9667e,dec,2020,heat,auto,San Antonio,656.673434856176,655.68358714044,654.8274111675127,15.0,False,False,True
01a06f33c4367e31eef1001e4f2cd90357d9667e,dec,2020,heat,hold,San Antonio,643.8684210526316,659.6315789473684,659.5526315789474,15.0,False,False,True
01a122abb2a440cac1b15bf5905eda9886e3f8dd,dec,2020,auto,auto,Lancaster,711.9505703422053,782.9201520912547,710.8022813688212,30.0,False,False,False
01a122abb2a440cac1b15bf5905eda9886e3f8dd,dec,2020,auto,hold,Lancaster,710.0652173913044,780.0108695652174,707.7572463768116,30.0,False,False,False
