Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0003961bf7be0178033b8555171c5f824c7de641,feb,2018,auto,hold,McKinney,701.4183123877917,752.721723518851,702.721723518851,15.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,feb,2018,cool,auto,Tomball,703.7246376811594,717.2270531400966,730.8019323671498,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,feb,2018,cool,hold,Tomball,709.5202205882352,721.8933823529412,721.9044117647059,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,feb,2018,heat,auto,Tomball,725.0880503144654,728.1509433962265,725.8930817610063,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,feb,2018,heat,hold,Tomball,716.2670906200318,715.3537360890302,715.3537360890302,66.0,False,False,False
000b62ee679be720c7e29287671df330984fc4dc,feb,2018,auto,auto,Frisco,714.079936051159,800.0,714.6187050359712,30.0,False,False,False
001b181c7fc1aa0a6346da41ff48a00542854475,feb,2018,heat,auto,Southlake,717.9117647058823,718.2058823529412,717.1764705882352,20.0,False,False,False
001b181c7fc1aa0a6346da41ff48a00542854475,feb,2018,heat,hold,Southlake,688.6760563380282,660.0,660.0,20.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,feb,2018,auto,auto,Porter,717.734375,770.0,720.0,5.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,feb,2018,auto,hold,Porter,738.4220532319391,759.6882129277567,709.6882129277567,5.0,False,False,False
001e1a9a33f4046317bed2dfe295421d45e055e9,feb,2018,auto,auto,Houston,693.1125,739.7125,689.625,5.0,False,False,False
002c3bc36965ccbff63b9fb9cd605afcc5e3c704,feb,2018,auxHeatOnly,auto,Plano,703.875,820.0,650.0,15.0,False,False,True
003a3253400c47cbd28f2606555a592a0666c299,feb,2018,auto,auto,Prosper,761.6875,815.0,765.0,5.0,False,False,False
003a3253400c47cbd28f2606555a592a0666c299,feb,2018,auto,hold,Prosper,709.032,711.752,659.6,5.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,feb,2018,cool,auto,Houston,696.0769230769231,700.0,646.9230769230769,80.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,feb,2018,cool,hold,Houston,728.3333333333334,741.3333333333334,733.3333333333334,80.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,feb,2018,heat,auto,Houston,668.625,670.0,670.0,80.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,feb,2018,heat,hold,Houston,669.6125,675.75,673.575,80.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,feb,2018,auto,hold,San Antonio,698.7,746.0,683.75,15.0,False,False,False
00576cfc1fae22ab39f297afabe55e9d7240e57c,feb,2018,auto,auto,Southlake,672.4285714285714,740.1020408163265,640.7142857142857,5.0,False,False,False
00576cfc1fae22ab39f297afabe55e9d7240e57c,feb,2018,auto,hold,Southlake,698.472972972973,750.0,700.0,5.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,feb,2018,auto,auto,Austin,715.4666666666667,750.0,673.5,38.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,feb,2018,auto,hold,Austin,680.6923076923077,750.7863247863248,671.0769230769231,38.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,feb,2018,heat,auto,Austin,747.9734513274336,751.8761061946902,752.0,38.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,feb,2018,heat,hold,Austin,705.7888888888889,698.0,698.0,38.0,False,False,False
00801f83e4a176a35a440e424c84f48c0b212714,feb,2018,auto,auto,Frisco,670.3768115942029,799.5217391304348,620.5652173913044,15.0,False,False,False
00801f83e4a176a35a440e424c84f48c0b212714,feb,2018,heat,auto,Frisco,649.25,800.0,620.0,15.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,feb,2018,heat,auto,Austin,706.7346278317152,730.6148867313916,674.789644012945,5.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,feb,2018,heat,hold,Austin,705.9672131147541,710.983606557377,702.688524590164,5.0,False,False,False
00b4896dd89c61c8cd6aeb8f62a3938c2752e7dc,feb,2018,heat,auto,KELLER,681.6446428571429,664.2553571428572,664.2553571428572,5.0,False,False,False
00b77a5c89067c581cef326f25b4ed6b6ef7f1e4,feb,2018,cool,auto,Hutto,708.8333333333334,720.0,720.0,0.0,True,False,True
00b77a5c89067c581cef326f25b4ed6b6ef7f1e4,feb,2018,heat,auto,Hutto,719.7797202797203,712.3111888111888,712.2972027972028,0.0,True,False,True
00b77a5c89067c581cef326f25b4ed6b6ef7f1e4,feb,2018,heat,hold,Hutto,713.6309523809524,722.7142857142857,722.7142857142857,0.0,True,False,True
00e545f1f0dbe614686f95caa395dd185fd746a7,feb,2018,auto,hold,Dallas,677.0746268656717,745.6567164179105,681.0149253731344,10.0,False,False,False
0119aea2dd260593a714aef81229c33b881b1802,feb,2018,auto,auto,San Antonio,722.0680473372781,766.7662721893491,716.7041420118343,35.0,False,False,False
0119aea2dd260593a714aef81229c33b881b1802,feb,2018,auto,hold,San Antonio,721.718820861678,749.8616780045352,699.8616780045352,35.0,False,False,False
014672709f4f5d30ee2b811af9f2d3c41204b71d,feb,2018,auto,auto,Celina,703.9909619109103,746.0664945125887,696.0658489347967,5.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,feb,2018,auto,auto,Porter,682.8888888888889,689.4444444444445,639.4444444444445,10.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,feb,2018,auto,hold,Porter,685.9080459770115,730.0,680.0,10.0,False,False,False
01512913ebd64f53154ad94e55f57253acb6d898,feb,2018,heat,hold,Colleyville,669.8142686329215,660.4846552411319,660.4846552411319,20.0,False,False,False
0172eb4c67a4220aa94af6fadb379f0f0f7f6a99,feb,2018,auto,auto,Carrollton,689.7692307692307,759.6923076923077,680.9230769230769,30.0,False,False,False
0172eb4c67a4220aa94af6fadb379f0f0f7f6a99,feb,2018,auto,hold,Carrollton,722.1467576791808,777.9249146757679,726.7559726962457,30.0,False,False,False
01a06f33c4367e31eef1001e4f2cd90357d9667e,feb,2018,cool,auto,San Antonio,675.5354330708661,675.7637795275591,653.4645669291339,15.0,False,False,True
01a06f33c4367e31eef1001e4f2cd90357d9667e,feb,2018,cool,hold,San Antonio,662.7777777777778,650.3333333333334,650.0,15.0,False,False,True
01a06f33c4367e31eef1001e4f2cd90357d9667e,feb,2018,heat,auto,San Antonio,669.0668896321071,666.4548494983278,666.4548494983278,15.0,False,False,True
01aa7b54d0273300584a6f6b942fea1bf6a38a55,feb,2018,heat,auto,Euless,693.6666666666666,740.0,680.0,7.0,False,False,False
01aa7b54d0273300584a6f6b942fea1bf6a38a55,feb,2018,heat,hold,Euless,691.6507936507936,704.2380952380952,692.4285714285714,7.0,False,False,False
01df6f63365bb1b6b39cc3398476b90a41fd76ef,feb,2018,heat,auto,Austin,697.3333333333334,700.0,700.0,57.0,False,False,False
01df6f63365bb1b6b39cc3398476b90a41fd76ef,feb,2018,heat,hold,Austin,677.0555555555555,680.0,680.0,57.0,False,False,False
01edd9fec8c0ef49b2926bb6dbd148fa5b95be30,feb,2018,auto,auto,Grandview,699.4708737864078,770.0,703.2038834951456,65.0,False,False,False
01edd9fec8c0ef49b2926bb6dbd148fa5b95be30,feb,2018,auto,hold,Grandview,695.7594654788419,770.0,698.9755011135858,65.0,False,False,False
01f9ac8acc1e522e1308483126457d2ec09ba55a,feb,2018,auto,auto,Richardson,713.0879629629629,770.6481481481482,715.0104166666666,0.0,False,False,False
01f9ac8acc1e522e1308483126457d2ec09ba55a,feb,2018,auto,hold,Richardson,713.1224783861671,770.3962536023055,703.5461095100865,0.0,False,False,False
0214eee39e8ed4fc9875c0ab39f9eb0298e751bb,feb,2018,heat,auto,Greenville,742.6730769230769,797.6634615384615,747.7884615384615,35.0,False,False,False
0214eee39e8ed4fc9875c0ab39f9eb0298e751bb,feb,2018,heat,hold,Greenville,707.1785714285714,697.5238095238095,697.1785714285714,35.0,False,False,False
021546c5a2aeec40af3701ea1d2133c678acdb17,feb,2018,cool,auto,Dallas,727.64,710.0,720.0,15.0,True,False,False
021546c5a2aeec40af3701ea1d2133c678acdb17,feb,2018,cool,hold,Dallas,751.48,712.16,710.8,15.0,True,False,False
021546c5a2aeec40af3701ea1d2133c678acdb17,feb,2018,heat,auto,Dallas,719.0555555555555,701.3765432098766,701.4197530864197,15.0,True,False,False
021546c5a2aeec40af3701ea1d2133c678acdb17,feb,2018,heat,hold,Dallas,726.1052631578947,735.3815789473684,733.8157894736842,15.0,True,False,False
021ceb53e4a71c5b9533734ab4b8301dc332e2e6,feb,2018,cool,auto,Dallas,690.5222222222222,700.0,690.0,50.0,False,False,False
021ceb53e4a71c5b9533734ab4b8301dc332e2e6,feb,2018,cool,hold,Dallas,680.4,687.8260869565217,687.8260869565217,50.0,False,False,False
021ceb53e4a71c5b9533734ab4b8301dc332e2e6,feb,2018,heat,auto,Dallas,678.2024242424243,680.84,680.84,50.0,False,False,False
021ceb53e4a71c5b9533734ab4b8301dc332e2e6,feb,2018,heat,hold,Dallas,689.9391371340524,691.2411402157165,691.2411402157165,50.0,False,False,False
