Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0003961bf7be0178033b8555171c5f824c7de641,Jan,2021,auto,hold,McKinney,698.3297297297297,752.8810810810811,701.2594594594594,15.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,Jan,2021,cool,hold,Tomball,660.9790419161677,677.6646706586827,677.6646706586827,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,Jan,2021,heat,hold,Tomball,658.8963646228974,662.7409115572436,662.7143244709713,66.0,False,False,False
000cd769eabc6d52d94bad16a47650a0e2bbb65f,Jan,2021,auto,hold,Kennedale,635.75,750.0,629.9285714285714,0.0,False,False,False
0012a9ee0fd69c8c186fc1513ef8a5caae74cac3,Jan,2021,auto,hold,Dallas,720.807100591716,776.2094674556213,725.4011834319526,50.0,False,False,False
00133b4cfd43110da9c312414ea4ec65c8d158cb,Jan,2021,auto,hold,Oak Ridge North,688.5007473841555,760.0,690.0,30.0,True,False,False
0015a19a9fe2683ba82bfd16884819d83b39404c,Jan,2021,heat,hold,Austin,686.8458149779735,690.7687224669603,690.579295154185,0.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,Jan,2021,auto,hold,Porter,698.8333333333334,770.0,700.0,5.0,False,False,False
001e1a9a33f4046317bed2dfe295421d45e055e9,Jan,2021,auto,hold,Houston,698.261744966443,768.6241610738255,704.3489932885906,5.0,False,False,False
002e0c72087c39e6feedf01ea3cf09874dcd33c5,Jan,2021,auto,hold,Katy,705.7571428571429,706.2857142857143,656.2857142857143,5.0,False,False,False
003a3253400c47cbd28f2606555a592a0666c299,Jan,2021,auto,hold,Prosper,728.9545454545455,785.0,735.0,5.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,Jan,2021,cool,hold,Houston,698.5892857142857,708.7321428571429,708.7321428571429,80.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,Jan,2021,heat,hold,Houston,678.5885286783042,676.3653366583541,676.3653366583541,80.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,Jan,2021,auto,hold,San Antonio,704.2893081761006,787.3647798742138,706.6729559748428,15.0,False,False,False
0054f2799074d07728ade76e0a439dd598d055bb,Jan,2021,cool,hold,Dallas,670.5,757.5,752.5,90.0,True,False,True
0054f2799074d07728ade76e0a439dd598d055bb,Jan,2021,heat,hold,Dallas,684.3333333333334,670.0,653.3333333333334,90.0,True,False,True
005d43fbccdf701b56cc89e0f741a74238463bf8,Jan,2021,auto,hold,Austin,731.1788743253662,765.4710871241326,730.5165767154973,38.0,False,False,False
0072aaa82c4c777631570e53c15ad3e394d918e3,Jan,2021,heat,hold,Houston,655.5,750.0,747.25,0.0,True,False,False
00750e99807a0bc47c7038664baba4d58ddae71f,Jan,2021,heat,hold,Keller,700.0631001371742,701.9080932784636,701.9080932784636,0.0,False,False,False
00801f83e4a176a35a440e424c84f48c0b212714,Jan,2021,auto,hold,Frisco,713.4166666666666,777.5416666666666,717.2986111111111,15.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,Jan,2021,heat,hold,Austin,714.7962962962963,720.0,719.6666666666666,5.0,False,False,False
00b4896dd89c61c8cd6aeb8f62a3938c2752e7dc,Jan,2021,heat,hold,KELLER,657.4074074074074,650.0,650.0,5.0,False,False,False
00e30feadf3b17ac7434c83b71e2fcc634ad312e,Jan,2021,heat,hold,murphy,707.2206572769953,704.7699530516431,704.7699530516431,15.0,False,False,False
00e545f1f0dbe614686f95caa395dd185fd746a7,Jan,2021,auto,hold,Dallas,662.0,730.0,679.0,10.0,False,False,False
00f0685e7e2478cc1cd02e9c9a12c48de02f8e45,Jan,2021,heat,hold,Garland,740.1841359773371,747.4995278564684,747.4995278564684,0.0,True,False,False
010e3cbd005add1f552332fee3d2482f80f66e1a,Jan,2021,heat,hold,El Paso,672.0831307729703,670.880894506563,669.3753038405445,9.0,True,False,False
01188397ac1ce82f31685b40bc7a235212e3fac4,Jan,2021,heat,hold,Kerrville,732.8387096774194,742.9274193548387,742.233870967742,40.0,False,False,False
0119aea2dd260593a714aef81229c33b881b1802,Jan,2021,auto,hold,San Antonio,730.1612903225806,820.0,740.0,35.0,False,False,False
01512913ebd64f53154ad94e55f57253acb6d898,Jan,2021,heat,hold,Colleyville,675.7098214285714,677.2827380952381,677.2827380952381,20.0,False,False,False
0166c84083e62e34f0d5547abee2aeb46eefdbca,Jan,2021,auto,hold,Arlington,681.8343634116193,758.2459826946848,683.8121137206427,30.0,True,False,False
0169ec7ee4dc79ba847fe28d96d6dae794f88e12,Jan,2021,auto,hold,Dallas,694.5071521456437,781.9843953185956,697.9414824447334,10.0,True,False,False
01707848affa8430b849d63a29c10e23a2d68380,Jan,2021,auto,hold,Manor,715.7173913043479,762.1413043478261,712.1413043478261,45.0,False,False,False
017086baabfb1386b8b5f2c23884b302b269048e,Jan,2021,heat,hold,Sansom Park,705.986301369863,706.027397260274,706.027397260274,65.0,True,False,False
0172eb4c67a4220aa94af6fadb379f0f0f7f6a99,Jan,2021,heat,hold,Carrollton,708.4937343358396,715.0,715.0,30.0,False,False,False
017d4d6dec0d566b3093606c1fb6bde645a57413,Jan,2021,auto,hold,Klondike,722.6381263616557,778.7076252723311,725.2779956427015,0.0,False,False,False
017d4d6dec0d566b3093606c1fb6bde645a57413,Jan,2021,heat,hold,Klondike,684.6730769230769,680.9487179487179,680.9487179487179,0.0,False,False,False
0184e6661d20c5fe6d13229bde018d0141a8ce1a,Jan,2021,auto,hold,Houston,693.6708333333333,770.0,696.5625,19.0,True,False,False
019d0c92fd4e982926d7ced36f0bbbf991272e2f,Jan,2021,auto,hold,El Paso,719.0692275221612,772.8197551709582,722.8197551709582,0.0,False,False,False
01a06f33c4367e31eef1001e4f2cd90357d9667e,Jan,2021,cool,hold,San Antonio,659.3928571428571,660.5357142857143,660.5357142857143,15.0,False,False,True
01a06f33c4367e31eef1001e4f2cd90357d9667e,Jan,2021,heat,hold,San Antonio,651.404181184669,653.0278745644599,652.8571428571429,15.0,False,False,True
01a122abb2a440cac1b15bf5905eda9886e3f8dd,Jan,2021,auto,hold,Lancaster,691.9130434782609,745.0,685.0,30.0,False,False,False
01a122abb2a440cac1b15bf5905eda9886e3f8dd,Jan,2021,heat,hold,Lancaster,718.0340909090909,710.6818181818181,710.3181818181819,30.0,False,False,False
01bde070de75615cc84b0820216385c4e1e1b729,Jan,2021,heat,hold,Austin,737.4166666666666,740.6666666666666,739.8333333333334,25.0,True,False,True
01df6f63365bb1b6b39cc3398476b90a41fd76ef,Jan,2021,heat,hold,Austin,693.6439393939394,685.6742424242424,685.3560606060606,57.0,False,False,False
01ec3a7838bb91d29e2e71198f9ae332faebba67,Jan,2021,auto,hold,Tyler,653.794964028777,684.9496402877697,634.8992805755396,20.0,False,False,False
01edd9fec8c0ef49b2926bb6dbd148fa5b95be30,Jan,2021,auto,hold,Grandview,710.1333333333333,766.7466666666667,716.4,65.0,False,False,False
01f3877e5a640c923b3525ca25dca7d2750ae8f5,Jan,2021,auto,hold,Austin,711.0384615384615,785.7692307692307,705.9230769230769,10.0,False,False,False
01f3877e5a640c923b3525ca25dca7d2750ae8f5,Jan,2021,heat,hold,Austin,733.5,720.75,699.25,10.0,False,False,False
