Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0003961bf7be0178033b8555171c5f824c7de641,jun,2018,auto,auto,McKinney,719.8717948717949,718.8461538461538,668.8461538461538,15.0,False,False,False
0003961bf7be0178033b8555171c5f824c7de641,jun,2018,auto,hold,McKinney,726.9826923076923,726.3846153846154,676.3846153846154,15.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,jun,2018,cool,auto,Tomball,722.0,721.7354409317803,721.7354409317803,66.0,False,False,False
00087f776cf219678a74f8888db34d3bcdd94fa1,jun,2018,cool,hold,Tomball,722.0286488579171,721.4939992257065,721.4939992257065,66.0,False,False,False
000b62ee679be720c7e29287671df330984fc4dc,jun,2018,auto,auto,Frisco,751.4230769230769,750.0,680.3076923076923,30.0,False,False,False
000cd769eabc6d52d94bad16a47650a0e2bbb65f,jun,2018,cool,auto,Kennedale,770.4347826086956,846.1304347826087,690.0,0.0,False,False,False
0012a9ee0fd69c8c186fc1513ef8a5caae74cac3,jun,2018,cool,auto,Dallas,786.2222222222222,803.8095238095239,695.8730158730159,50.0,False,False,False
0012a9ee0fd69c8c186fc1513ef8a5caae74cac3,jun,2018,cool,hold,Dallas,774.8985507246376,770.0,770.0,50.0,False,False,False
001b181c7fc1aa0a6346da41ff48a00542854475,jun,2018,cool,auto,Southlake,828.0969773299748,849.11838790932,790.0,20.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,jun,2018,auto,auto,Porter,745.5753424657535,740.1917808219179,690.1917808219179,5.0,False,False,False
001db38ade08bc342513c1e41559019fede8d022,jun,2018,auto,hold,Porter,745.9918699186992,739.8373983739838,689.8373983739838,5.0,False,False,False
001e1a9a33f4046317bed2dfe295421d45e055e9,jun,2018,auto,hold,Houston,744.3783783783783,750.1621621621622,670.5135135135135,5.0,False,False,False
002c3bc36965ccbff63b9fb9cd605afcc5e3c704,jun,2018,cool,auto,Plano,812.5,800.0217391304348,680.0217391304348,15.0,False,False,True
003a3253400c47cbd28f2606555a592a0666c299,jun,2018,auto,auto,Prosper,756.8648648648649,760.1981981981982,710.1981981981982,5.0,False,False,False
003a3253400c47cbd28f2606555a592a0666c299,jun,2018,auto,hold,Prosper,761.6153846153846,748.1538461538462,694.8571428571429,5.0,False,False,False
003f759511dfef93ead09684ba0a956b61012b2f,jun,2018,auto,auto,Flower Mound,801.7222222222222,800.8888888888889,631.7777777777778,25.0,False,False,False
0044990ecbca92afa073e9fc7bd364448f9186aa,jun,2018,cool,hold,Houston,777.5850840336135,777.4485294117648,773.0997899159664,80.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,jun,2018,auto,auto,San Antonio,773.76,779.96,680.0,15.0,False,False,False
00518d8bcc4ec41f3dd331909ab294c04ec0726a,jun,2018,auto,hold,San Antonio,761.6493506493506,760.0,680.0,15.0,False,False,False
0054f2799074d07728ade76e0a439dd598d055bb,jun,2018,cool,hold,Dallas,752.5555555555555,750.2222222222222,749.3333333333334,90.0,True,False,True
005d43fbccdf701b56cc89e0f741a74238463bf8,jun,2018,auto,auto,Austin,784.7291841883936,787.5231286795627,642.8637510513037,38.0,False,False,False
005d43fbccdf701b56cc89e0f741a74238463bf8,jun,2018,auto,hold,Austin,718.2718651211802,714.6016859852476,647.9915700737619,38.0,False,False,False
00801f83e4a176a35a440e424c84f48c0b212714,jun,2018,auto,hold,Frisco,795.4761904761905,810.0,680.0,15.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,jun,2018,auto,auto,Austin,715.3548387096774,710.1612903225806,660.1612903225806,5.0,False,False,False
00a3059e4dd77ee8d6fb049da255f3239cabc2ae,jun,2018,auto,hold,Austin,728.7297297297297,711.8918918918919,652.1621621621622,5.0,False,False,False
00b4896dd89c61c8cd6aeb8f62a3938c2752e7dc,jun,2018,cool,auto,KELLER,768.527027027027,780.0,620.0,5.0,False,False,False
00b4896dd89c61c8cd6aeb8f62a3938c2752e7dc,jun,2018,cool,hold,KELLER,719.4166666666666,730.0,730.0,5.0,False,False,False
00b77a5c89067c581cef326f25b4ed6b6ef7f1e4,jun,2018,cool,auto,Hutto,762.3266129032259,793.5322580645161,638.9354838709677,0.0,True,False,True
00b77a5c89067c581cef326f25b4ed6b6ef7f1e4,jun,2018,cool,hold,Hutto,733.859649122807,732.8771929824561,732.8771929824561,0.0,True,False,True
00be6b965d034b7443ab8383c05947356de30c90,jun,2018,auto,auto,Fort Worth,724.0446428571429,724.1428571428571,675.125,0.0,False,False,False
00be6b965d034b7443ab8383c05947356de30c90,jun,2018,auto,hold,Fort Worth,728.8032786885246,728.9016393442623,660.5,0.0,False,False,False
00be6b965d034b7443ab8383c05947356de30c90,jun,2018,cool,auto,Fort Worth,702.4130434782609,700.0,700.0,0.0,False,False,False
00e545f1f0dbe614686f95caa395dd185fd746a7,jun,2018,auto,auto,Dallas,691.2333333333333,767.2,683.4666666666667,10.0,False,False,False
010e3cbd005add1f552332fee3d2482f80f66e1a,jun,2018,cool,auto,El Paso,766.4795180722891,771.0915662650602,779.9855421686747,9.0,True,False,False
010e3cbd005add1f552332fee3d2482f80f66e1a,jun,2018,cool,hold,El Paso,783.4061020515518,785.1504471330878,784.5733824302998,9.0,True,False,False
01188397ac1ce82f31685b40bc7a235212e3fac4,jun,2018,auto,auto,Kerrville,728.5833333333334,720.0,670.0,40.0,False,False,False
01188397ac1ce82f31685b40bc7a235212e3fac4,jun,2018,auto,hold,Kerrville,719.3106796116505,720.0,670.0,40.0,False,False,False
014672709f4f5d30ee2b811af9f2d3c41204b71d,jun,2018,auto,auto,Celina,754.0985915492957,750.0,700.0,5.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,jun,2018,auto,auto,Porter,701.7234432234433,700.8791208791209,650.0,10.0,False,False,False
014b8d26b9b9c4d6869dfbf00cf42ea9cffe607d,jun,2018,auto,hold,Porter,712.7916666666666,713.3333333333334,650.0,10.0,False,False,False
01512913ebd64f53154ad94e55f57253acb6d898,jun,2018,cool,auto,Colleyville,792.7800175284838,793.9193689745837,765.293602103418,20.0,False,False,False
01512913ebd64f53154ad94e55f57253acb6d898,jun,2018,cool,hold,Colleyville,727.8113738738739,729.4780405405405,729.4780405405405,20.0,False,False,False
