Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0017ec961a942d1e69395d45dde5af94c4ea52eb,jun,2019,auto,auto,Saratoga Springs,695.1,696.325,642.575,0.0,False,False,False
0017ec961a942d1e69395d45dde5af94c4ea52eb,jun,2019,auto,hold,Saratoga Springs,718.8333333333334,715.5416666666666,665.5416666666666,0.0,False,False,False
0042e2ecdbaeaf75adc185886abc85a3a85a9872,jun,2019,cool,auto,Ivins,693.3333333333334,690.0,690.0,15.0,False,False,False
0042e2ecdbaeaf75adc185886abc85a3a85a9872,jun,2019,cool,hold,Ivins,713.0050251256281,733.4623115577889,732.1507537688442,15.0,False,False,False
005c537d772a7a0638fad7a834048796466b3e57,jun,2019,auto,auto,Highland,754.7692307692307,780.0,670.0,0.0,True,False,False
006819101bcb86ccbd55cc0558edf9c18560ca34,jun,2019,cool,hold,Centerville,703.3188405797101,699.8550724637681,699.8550724637681,46.0,False,False,False
00c5ee12719f2bf4360b90a0f70e1b0580488c22,jun,2019,auto,auto,Salt Lake City,719.5535714285714,761.125,670.9107142857143,45.0,False,False,False
00c5ee12719f2bf4360b90a0f70e1b0580488c22,jun,2019,auto,hold,Salt Lake City,739.2908680947013,754.3089064261555,670.0,45.0,False,False,False
018f26dd7111dd572d7fefd31be35bc35fd77e56,jun,2019,auto,hold,Santaquin,675.0,710.3157894736842,660.3157894736842,0.0,False,False,False
01c5b60faae8c36c6200411f3cf21fe3387bc45a,jun,2019,cool,auto,Midvale,718.5555555555555,740.3835978835979,737.558201058201,7.0,True,False,False
01c5b60faae8c36c6200411f3cf21fe3387bc45a,jun,2019,cool,hold,Midvale,727.5185185185185,734.2222222222222,734.2222222222222,7.0,True,False,False
01d42ee6a1d8d2f8904122d41923fb3ce7999cad,jun,2019,auto,auto,Perry,700.3872502378687,705.4215033301617,626.4376784015224,0.0,False,False,False
01d42ee6a1d8d2f8904122d41923fb3ce7999cad,jun,2019,auto,hold,Perry,703.5119617224881,722.1459330143541,626.0287081339712,0.0,False,False,False
01e3e5e93947e6ec280c727cc4d0b58902d0fde5,jun,2019,heat,hold,Cottonwood Heights,726.0410958904109,733.972602739726,732.8630136986301,27.0,False,False,False
0227c3b3d3907758978bcbe11aef93bff69ddff2,jun,2019,auto,hold,Salt Lake City,736.5833333333334,760.0,620.0,25.0,False,False,False
02469ef0d28d33c6622c12fd6dbe915057f59581,jun,2019,cool,hold,Hurricane,747.614547537228,747.3270332187858,743.6002290950745,25.0,False,False,False
0264e6183b5e86ad6defcd6783397d26fa3b5e52,jun,2019,cool,hold,American Fork,738.2074074074075,747.074074074074,696.7481481481482,5.0,False,False,False
029aaa288c96c1816eaadbcc9f92372dc7568eda,jun,2019,cool,hold,Clinton,716.1401098901099,710.0,710.0,0.0,True,False,False
029aaa288c96c1816eaadbcc9f92372dc7568eda,jun,2019,heat,hold,Clinton,722.8280346820809,710.0,710.0,0.0,True,False,False
02d1bad9676d2d93609f94a08e96bf66feee82df,jun,2019,auto,hold,Provo,717.7825925925926,735.0192592592592,667.2437037037037,57.0,True,False,False
033920385c93e3614e3f6435e9d5029362c74bb3,jun,2019,cool,auto,St. George,722.5413105413105,735.403133903134,735.403133903134,0.0,False,False,False
033920385c93e3614e3f6435e9d5029362c74bb3,jun,2019,cool,hold,St. George,725.3558558558559,740.1706706706707,740.1706706706707,0.0,False,False,False
03ab728885781cd630f896ba19bdd1ed0c355605,jun,2019,auto,auto,Orem,691.3111111111111,740.0,690.0,0.0,False,False,False
03ab728885781cd630f896ba19bdd1ed0c355605,jun,2019,cool,auto,Orem,701.9979797979798,705.4545454545455,705.4545454545455,0.0,False,False,False
03ab728885781cd630f896ba19bdd1ed0c355605,jun,2019,cool,hold,Orem,700.6765432098765,701.6666666666666,701.6666666666666,0.0,False,False,False
03d5b9f187237adca89981dd4c1279e9d98ec385,jun,2019,cool,auto,Hooper,745.3333333333334,760.0,740.0,5.0,False,False,False
03d5b9f187237adca89981dd4c1279e9d98ec385,jun,2019,cool,hold,Hooper,733.5,728.3033707865169,727.9943820224719,5.0,False,False,False
040950758c02b70d5451e503d7a76dde4fb4bf27,jun,2019,cool,auto,Layton,711.9444444444445,722.1111111111111,644.2222222222222,15.0,True,False,False
040950758c02b70d5451e503d7a76dde4fb4bf27,jun,2019,cool,hold,Layton,719.3153153153153,721.6216216216217,721.6216216216217,15.0,True,False,False
052159407f9ac11e09e37b528d0d1898c9b446b2,jun,2019,cool,hold,South Jordan,769.0240963855422,801.843373493976,797.1987951807229,15.0,False,False,False
052159407f9ac11e09e37b528d0d1898c9b446b2,jun,2019,heat,hold,South Jordan,700.7708333333334,721.1875,699.0,15.0,False,False,False
052fa881326dfaece50b9462a8b69367e1ab7d81,jun,2019,cool,auto,Salt Lake City,721.7916666666666,800.0,600.0,0.0,False,False,False
052fa881326dfaece50b9462a8b69367e1ab7d81,jun,2019,cool,hold,Salt Lake City,719.9545454545455,712.3636363636364,708.5454545454545,0.0,False,False,False
054a673ce2869ec92e8ceed43333ccb6e92926d1,jun,2019,cool,auto,South Jordan,749.4234848484848,767.7924242424242,678.0719696969697,0.0,False,False,False
054a673ce2869ec92e8ceed43333ccb6e92926d1,jun,2019,cool,hold,South Jordan,732.1971830985915,733.6219421793921,733.5693106004447,0.0,False,False,False
05511b15e97689442b8f025d1ed2265a3073bef4,jun,2019,cool,auto,Provo,691.2203389830509,720.4406779661017,720.0,0.0,False,False,False
05511b15e97689442b8f025d1ed2265a3073bef4,jun,2019,cool,hold,Provo,678.9690189328744,688.0160642570281,688.0126219162364,0.0,False,False,False
05511b15e97689442b8f025d1ed2265a3073bef4,jun,2019,heat,auto,Provo,678.5,677.1666666666666,677.1666666666666,0.0,False,False,False
05511b15e97689442b8f025d1ed2265a3073bef4,jun,2019,heat,hold,Provo,688.2977528089888,660.1179775280899,660.1179775280899,0.0,False,False,False
05919c721d048d44e4102d758203275cf33ce0a4,jun,2019,auto,auto,Lehi,724.4160583941606,746.6423357664233,686.5693430656934,0.0,False,False,False
05919c721d048d44e4102d758203275cf33ce0a4,jun,2019,auto,hold,Lehi,719.6041666666666,745.0,660.1458333333334,0.0,False,False,False
05927666dd44f750a7be50a3aecfd0efe11a47ad,jun,2019,cool,hold,South Jordan,752.9411764705883,780.0,780.0,15.0,False,False,False
0599562d16d1dc31e397230efc39b2a80b39d04b,jun,2019,heat,hold,Logan,706.740990990991,650.0,500.0,60.0,False,False,False
05b4f8f6771ed758763ae974a4d249c4a96c8d9f,jun,2019,auto,auto,West Valley City,713.878453038674,717.857044198895,667.857044198895,40.0,False,False,False
05b4f8f6771ed758763ae974a4d249c4a96c8d9f,jun,2019,auto,hold,West Valley City,708.8412698412699,710.5665976535541,660.5665976535541,40.0,False,False,False
05b4f8f6771ed758763ae974a4d249c4a96c8d9f,jun,2019,cool,hold,West Valley City,723.9320388349514,716.0582524271845,709.747572815534,40.0,False,False,False
05c878c194426e003e237f2260396f1d104d3f50,jun,2019,cool,auto,Bountiful,731.75,730.0,740.0,35.0,True,False,False
05fb79a863e7a4d0108b24c13e4d8e304cb7a1c3,jun,2019,cool,auto,Saint George,739.9137931034483,740.0,740.0,9.0,False,False,False
05fb79a863e7a4d0108b24c13e4d8e304cb7a1c3,jun,2019,cool,hold,Saint George,731.7085714285714,732.9771428571429,729.2685714285715,9.0,False,False,False
0627fa45a59388c82c707a6696d10f79e3db0282,jun,2019,cool,auto,Morgan,701.3333333333334,735.0,665.0,0.0,True,False,False
06944a800803d20bb5d02e5a49e4ac38801a30cb,jun,2019,cool,hold,Sandy,720.1714285714286,707.7142857142857,707.7142857142857,20.0,False,False,False
06a67c21e77b6707f4a474e68c829b7c6a604617,jun,2019,heat,hold,Cedar City,720.0,738.0,684.0,20.0,False,False,False
07651cf25d33ec8ffee5298969c26322c403ec83,jun,2019,cool,auto,Ogden,763.75,760.0,760.0,60.0,False,False,False
07651cf25d33ec8ffee5298969c26322c403ec83,jun,2019,cool,hold,Ogden,744.6,740.0,740.0,60.0,False,False,False
077f6bea4d98cd1ac47acad88b4c1d82c25fc2be,jun,2019,cool,hold,South Jordan,720.2345537757437,726.3421052631579,726.2151029748284,5.0,False,False,False
0781dce39cec6bc7ed2c79c3a2f289f6cfae8c6a,jun,2019,auto,auto,Salt Lake City,716.5499549954995,739.7542754275428,686.4572457245724,39.0,True,False,False
0781dce39cec6bc7ed2c79c3a2f289f6cfae8c6a,jun,2019,auto,hold,Salt Lake City,728.6964285714286,743.5714285714286,683.5714285714286,39.0,True,False,False
0781dce39cec6bc7ed2c79c3a2f289f6cfae8c6a,jun,2019,cool,auto,Salt Lake City,722.0407407407407,760.0,630.0,39.0,True,False,False
07df0d1073b21d8cddc801eeb77f87235056e974,jun,2019,auto,hold,Ogden,762.9898148148148,795.0,665.0,0.0,True,False,False
07df0d1073b21d8cddc801eeb77f87235056e974,jun,2019,cool,auto,Ogden,764.4880952380952,797.5952380952381,766.1904761904761,0.0,True,False,False
07df0d1073b21d8cddc801eeb77f87235056e974,jun,2019,cool,hold,Ogden,784.7853658536585,793.8585365853659,785.4634146341464,0.0,True,False,False
07df0d1073b21d8cddc801eeb77f87235056e974,jun,2019,heat,auto,Ogden,742.6870748299319,795.0,720.0,0.0,True,False,False
07df0d1073b21d8cddc801eeb77f87235056e974,jun,2019,heat,hold,Ogden,772.3400936037441,680.3588143525741,680.0124804992199,0.0,True,False,False
08204d8279976bd9d1a95ada932456294ba3e429,jun,2019,cool,auto,Bluffdale,712.28,739.8571428571429,660.28,5.0,False,False,False
086246e091bf728e05fae4f122b15510d911d18f,jun,2019,auto,hold,Provo,688.2055109070035,699.4902411021814,572.752009184845,60.0,False,False,False
08a8ccd93d9bc21a0252fefa426538c10136ea10,jun,2019,heat,hold,Sandy,665.8481811432814,660.0,660.0,20.0,False,False,False
08b128bfde1615a3cfdd4a580bc3b32fd94ce9f4,jun,2019,cool,hold,Cedar City,741.75,713.125,711.25,0.0,False,False,False
08b128bfde1615a3cfdd4a580bc3b32fd94ce9f4,jun,2019,heat,hold,Cedar City,722.8888888888889,735.0,735.0,0.0,False,False,False
08b7a0b76eb6941a86398af070d2a41ce0d30f2d,jun,2019,cool,auto,Lindon,700.3075657894736,721.1052631578947,721.1052631578947,0.0,False,False,False
08b7a0b76eb6941a86398af070d2a41ce0d30f2d,jun,2019,cool,hold,Lindon,690.609547123623,690.0024479804162,690.0,0.0,False,False,False
08cf5850f388822b64d8bc42070121213189f6e1,jun,2019,auto,auto,Pleasant Grove,686.2307692307693,680.0,630.0,10.0,False,False,False
08cf5850f388822b64d8bc42070121213189f6e1,jun,2019,cool,auto,Pleasant Grove,708.675,703.5,701.6,10.0,False,False,False
08df0fc288a3d4847deba8b09f31073894524f78,jun,2019,cool,hold,Salt Lake City,703.4285714285714,740.0,700.0,60.0,True,False,False
08e1e400aab1b8ceaf70b52ec12d6723a705154d,jun,2019,auto,hold,Lehi,742.0208333333334,740.1666666666666,700.1666666666666,15.0,False,False,False
08ed71bb3ee73cadba9c65dd83c0e759eca24432,jun,2019,auto,hold,Bountiful,704.5,700.4444444444445,650.4444444444445,45.0,False,False,False
08ed71bb3ee73cadba9c65dd83c0e759eca24432,jun,2019,cool,hold,Bountiful,738.9805194805194,728.7077922077922,728.4805194805194,45.0,False,False,False
090fce00ce363b56a8518b4225c24db9e87231ca,jun,2019,cool,hold,Syracuse,739.0,740.0,740.0,0.0,False,False,False
09281747799128689edeb2c43e4590fe1a90ee5b,jun,2019,cool,hold,Riverton,705.0882352941177,731.0,731.0,20.0,False,False,False
0929642fae71a56538c7b2e36364d0f738dd6bb9,jun,2019,cool,auto,St. George,733.195652173913,726.2173913043479,695.5434782608696,48.0,False,False,True
0929642fae71a56538c7b2e36364d0f738dd6bb9,jun,2019,cool,hold,St. George,744.05,743.0,740.0,48.0,False,False,True
09402400804ab2dd1e10d192807cc80af27e2bfa,jun,2019,auto,auto,Salt Lake City,768.5684257602862,766.0912343470483,659.9932915921288,20.0,False,False,False
09a3bd836399708f55bfe33980c0df45dbe43906,jun,2019,auto,hold,Salt Lake City,730.8,780.0,700.0,0.0,False,False,False
09a3bd836399708f55bfe33980c0df45dbe43906,jun,2019,cool,hold,Salt Lake City,748.2673267326733,767.7722772277227,724.8613861386139,0.0,False,False,False
0b080caa378247b06046fea79740eed60d4e01c4,jun,2019,cool,auto,Syracuse,710.7222222222222,730.0,730.0,10.0,False,False,False
0b080caa378247b06046fea79740eed60d4e01c4,jun,2019,cool,hold,Syracuse,726.2455716586152,743.5185185185185,743.5185185185185,10.0,False,False,False
0bc0e215f51caabd625a638399be6f8323eb145b,jun,2019,heat,auto,South Jordan,738.5585585585585,800.022759601707,689.9658605974396,17.0,False,False,False
0c11d81a1197c22032eff010ac8d7f115fda1c75,jun,2019,heat,hold,Highland,728.4166666666666,730.2083333333334,729.9583333333334,17.0,False,False,False
0c2853b916c1523812a5c79e33ba00de961c5e85,jun,2019,auto,auto,Kaysville,711.3888888888889,710.1388888888889,640.0,0.0,False,False,False
0c3b93689b79c200c1f318f469d1b2ee54616533,jun,2019,auto,auto,Salt Lake City,700.3519256308101,728.5856573705179,636.8924302788845,40.0,True,False,False
0c3b93689b79c200c1f318f469d1b2ee54616533,jun,2019,auto,hold,Salt Lake City,693.4599250936329,708.710861423221,639.3033707865169,40.0,True,False,False
0c3b93689b79c200c1f318f469d1b2ee54616533,jun,2019,cool,auto,Salt Lake City,706.4855072463768,720.0,720.0,40.0,True,False,False
0c3b93689b79c200c1f318f469d1b2ee54616533,jun,2019,cool,hold,Salt Lake City,711.5861111111111,715.0,715.0,40.0,True,False,False
