Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0016bed1f442f68c95953235bdf372789869d27f,Jan,2020,heat,auto,Richmond,669.6666666666666,670.9166666666666,669.875,120.0,False,False,False
003e3d294e76d7a136203a3b222046f8e20cc1ee,Jan,2020,auto,auto,Stephens City,672.421875,760.625,661.875,5.0,False,False,False
003e3d294e76d7a136203a3b222046f8e20cc1ee,Jan,2020,auto,hold,Stephens City,667.9327731092437,746.3025210084033,662.1008403361344,5.0,False,False,False
0071062a9d7cf61a15599e4818290e802f205631,Jan,2020,heat,hold,Arlington,739.3221476510067,739.6644295302013,739.6644295302013,10.0,False,False,True
00a80b7651daeb021a619256a237cba1d0a29ed8,Jan,2020,heat,auto,Centreville,664.2560975609756,756.8536585365854,651.5731707317074,25.0,False,False,False
00a80b7651daeb021a619256a237cba1d0a29ed8,Jan,2020,heat,hold,Centreville,693.176674364896,695.8706697459585,695.8614318706698,25.0,False,False,False
00db1184e14d612d3956b8316bcb57dd28a25202,Jan,2020,cool,auto,Burke,688.0784313725491,690.0,690.0,0.0,False,False,True
00db1184e14d612d3956b8316bcb57dd28a25202,Jan,2020,heat,auto,Burke,687.0482352941176,690.0,690.0,0.0,False,False,True
00db1184e14d612d3956b8316bcb57dd28a25202,Jan,2020,heat,hold,Burke,667.4508196721312,670.0,670.0,0.0,False,False,True
00e589f5d474350ddeaa47e2e29fccdac67a3314,Jan,2020,heat,hold,Ashburn,654.5,678.5,667.5,19.0,False,False,True
00e6fa301b2ce8163c0122b419f864442dd204c6,Jan,2020,heat,hold,Chesapeake,669.9537929330368,679.5305164319249,679.5305164319249,60.0,True,False,True
013bde73b282eb562672e35c07b392999caf539f,Jan,2020,auto,auto,Midlothian,674.2630069643589,718.2204014748054,668.2204014748054,0.0,True,False,True
013bde73b282eb562672e35c07b392999caf539f,Jan,2020,auto,hold,Midlothian,666.1470588235294,717.1428571428571,667.1428571428571,0.0,True,False,True
0141868cb029f021bdff4ed39c5b06a294275609,Jan,2020,cool,hold,Norfolk,685.4631578947368,690.0,690.0,48.0,True,False,True
0141868cb029f021bdff4ed39c5b06a294275609,Jan,2020,heat,auto,Norfolk,698.4607843137255,690.0,700.0,48.0,True,False,True
0141868cb029f021bdff4ed39c5b06a294275609,Jan,2020,heat,hold,Norfolk,692.8999098286745,691.839495040577,691.839495040577,48.0,True,False,True
0168c1c736b0059f33da59f095604baa3719be1e,Jan,2020,heat,hold,Leesburg,708.8156985871271,710.640502354788,710.640502354788,48.0,False,False,False
01a6b04763af15daa3148d044cba9c383355ba9d,Jan,2020,auto,hold,Annandale,677.8045977011494,780.0,680.0,50.0,False,False,False
01bba16e1858d06db819dbecc644cab8eea85382,Jan,2020,heat,auto,Centreville,714.7442922374429,719.0106544901065,719.0106544901065,20.0,True,False,False
01bba16e1858d06db819dbecc644cab8eea85382,Jan,2020,heat,hold,Centreville,705.726,720.0,708.704,20.0,True,False,False
01bf08a1688cf295f96e887ff4e68f6b34b1cfd9,Jan,2020,cool,auto,Woodbridge,687.2926829268292,690.0,690.0,0.0,False,False,False
01bf08a1688cf295f96e887ff4e68f6b34b1cfd9,Jan,2020,heat,auto,Woodbridge,697.6235864297254,694.4103392568659,665.064620355412,0.0,False,False,False
01bf08a1688cf295f96e887ff4e68f6b34b1cfd9,Jan,2020,heat,hold,Woodbridge,706.0038709677419,696.3690322580645,696.3690322580645,0.0,False,False,False
01c79524008229f389634d5edd46f2bc088e6758,Jan,2020,auto,hold,Fairfax,704.5056179775281,775.0,707.2921348314607,60.0,True,False,False
01d0d438db129e9f8cfd480d18d071b2453959f0,Jan,2020,auto,hold,Amherst,721.925925925926,754.2222222222222,707.679012345679,10.0,True,False,True
01d0d438db129e9f8cfd480d18d071b2453959f0,Jan,2020,heat,hold,Amherst,722.1875,703.0,701.0,10.0,True,False,True
01f4d9b8944dc48466f30b09b4f87be4ecf222d5,Jan,2020,auto,auto,Richmond,691.7037037037037,840.0,709.925925925926,40.0,True,False,True
01f4d9b8944dc48466f30b09b4f87be4ecf222d5,Jan,2020,auto,hold,Richmond,671.1666666666666,840.0,712.5,40.0,True,False,True
02116c5e2027cb57ccd02f173c8ec1bab4d3be66,Jan,2020,heat,auto,Hampton,707.5666666666667,759.5666666666667,708.6666666666666,5.0,True,False,False
02116c5e2027cb57ccd02f173c8ec1bab4d3be66,Jan,2020,heat,hold,Hampton,723.5416666666666,730.4583333333334,727.125,5.0,True,False,False
02436b66b29e9db0a27b3b51998acd715aeeae61,Jan,2020,heat,hold,Dumfries,673.4860681114551,683.8080495356037,682.9721362229102,30.0,True,False,True
027485824b2510f4bc679b9cb34e946d5eb3d58f,Jan,2020,heat,hold,Virginia Beach,706.5592203898051,706.5592203898051,706.5592203898051,30.0,False,False,False
