Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
05baf6c0241b635d98e2d73b929c8e0f81a0e025,feb,2021,heat,hold,Hartland,627.2920168067227,650.0,630.0,0.0,False,False,False
08e9d7365bb8f03903827359fb15dc779f0d72c8,feb,2021,heat,hold,Stowe,698.1443899448192,698.5469037400368,698.519313304721,15.0,False,False,False
0ddcca6e74610999ee10239e72330c797274efa8,feb,2021,auto,hold,South Burlington,703.4761904761905,880.0,700.0,5.0,False,False,False
0e51eab7b259c251d7b77f7174b1bee53fb83ff3,feb,2021,heat,hold,westfield,650.6956845238095,650.0,650.0,55.0,False,False,False
10c71a921bd6171381c0ee1080795b3cd0e8299d,feb,2021,heat,hold,Plymouth,691.952380952381,700.0,700.0,70.0,False,False,False
1ab5d6516027bf2645cf937303b886cde871a36e,feb,2021,heat,hold,Hinesburg,685.4337606837607,686.7735042735043,686.525641025641,35.0,False,False,False
1cc2b77c1f9dd8971c8050cb5604220405ec8404,feb,2021,heat,hold,Colchester,704.385428637095,709.3100436681223,709.3100436681223,0.0,True,False,False
274a8034c95dad307aaffa064e9083ef85ce8bbd,feb,2021,heat,hold,Hinesburg,697.59375,700.0,700.0,35.0,True,False,False
27f0ecb02e0966f44199b02555ae4662c9cbf6d2,feb,2021,heat,hold,Essex,651.2586206896551,677.5775862068965,661.9310344827586,50.0,False,False,False
28d93597c65f29cb6ba38d55b2d171fa7f5ab7a7,feb,2021,heat,hold,Shelburne,670.1179775280899,672.8679775280899,669.7612359550562,37.0,False,False,False
2a41fbabce7e2de5b4604808f90017db24700f6e,feb,2021,heat,hold,Waterville,608.8,650.0,624.2833333333333,120.0,False,False,False
2ba5bba25731e900128c57ec9f931dd3ac5dd750,feb,2021,heat,hold,Weston,690.2289156626506,690.0,690.0,15.0,False,False,False
344369e2fd7df48b10e8a25dd6542b84da7ed31f,feb,2021,heat,hold,Derby,668.065934065934,750.0,669.2307692307693,37.0,False,False,False
3875b039ce4a59e5ed0e01c0b77f90623e0963cd,feb,2021,heat,hold,Concord,735.8165810711665,730.0,730.0,0.0,False,False,False
44f002792cd731b1b708b52828cc88fd166bc31f,feb,2021,heat,hold,Braintree,612.4889074926748,655.2348262871494,616.3294265383006,15.0,False,False,False
458606ddf3ff0bd6ec67c35105c72ce8a1f0555a,feb,2021,heat,hold,Essex,683.5625,690.0,690.0,40.0,False,False,False
463e091043b222b3e88af924abd32a8b3e5042e2,feb,2021,heat,hold,Thetford,684.7507692307693,691.276923076923,687.1415384615385,120.0,False,False,False
46f977bf6b32f3c8c3bce774e4fd6eda8d92db21,feb,2021,heat,hold,Peru,673.7,678.0,620.0,5.0,False,False,True
481c5f445984ec8c285535f01a465291ecfb3bd7,feb,2021,heat,hold,Morrisville,707.6666666666666,700.0,700.0,60.0,False,False,False
54277a0672ff56e93b4875b5e29a512ddac4d664,feb,2021,heat,hold,Starksboro,675.329596412556,680.0,680.0,20.0,False,False,False
568ea4ab739671edacf364f79bcecd1c69ae5ce9,feb,2021,heat,hold,Peru,650.44,678.3066666666666,646.1933333333334,5.0,False,False,True
5a23cdc2dba46a7d22776bafa88160bbd0939939,feb,2021,heat,hold,North Springfield,674.7808219178082,800.0,673.2191780821918,0.0,False,False,False
5b7f5dbb625ed5102fc3e91ac27731652483eafd,feb,2021,heat,hold,Newfane,695.875,701.0833333333334,699.7291666666666,0.0,False,False,False
5e6215887d5f3c45b41ba1ef9b53dc0b5bb1ae8b,feb,2021,heat,hold,Chester,706.1944444444445,720.0,720.0,120.0,False,False,False
5f048ceb99823f9ac82c2c9b8e2c13e85b9ac36f,feb,2021,heat,hold,Essex,700.7389078498294,701.4089874857793,701.3873720136519,7.0,False,False,False
647073dd061dfdbda60d6ebe18579d91c09c5323,feb,2021,heat,hold,Milton,680.7916666666666,685.4583333333334,684.8541666666666,15.0,False,False,False
64c3644e0708da17140a8cfff41b6d223c8e8cd8,feb,2021,heat,hold,Alburgh,697.3850267379679,702.2379679144385,702.2754010695187,30.0,False,False,False
6523b6fc085e8cf35bbf6e26d50dedb349511a7b,feb,2021,heat,hold,Colchester,697.0714285714286,707.0,707.0,20.0,True,False,False
662953f85593ffcb52ca9d8569604ec908481b51,feb,2021,heat,hold,South Burlington,677.3621399176955,677.8697824808936,674.7475014697237,0.0,False,False,False
66fcdeb574c61ead0ab09699c500e83aaf249a54,feb,2021,heat,hold,Wilmington,633.8612593383137,665.2187833511206,635.8697972251867,30.0,False,False,False
678fcbe27a947b8f0caf0c655f2c4b5246a87c04,feb,2021,heat,hold,Chittenden,671.7926509186352,680.6358267716536,672.8284120734908,0.0,False,False,False
69bc30e98e74a1816551961486553ee28f672f71,feb,2021,heat,hold,Westford,685.7758620689655,692.0344827586207,691.6896551724138,5.0,False,False,False
6a5c72f744242e0fe1b5c89734fb53e692a08655,feb,2021,heat,hold,Charlotte,695.4375,720.3541666666666,718.75,120.0,False,False,False
6f76dee396823efaa4928dd76539ab3f46489ee6,feb,2021,heat,hold,Bethel,705.3,651.9,642.3857142857142,0.0,False,False,False
71984008b7dff37ff8383f34211aa9764e462a4b,feb,2021,heat,hold,Chester,723.5194174757281,720.0,719.9595469255663,115.0,False,False,False
71d09f2a1e8a31d5a56bc8c8c922ca03554f9d03,feb,2021,heat,hold,South Burlington,684.7647058823529,690.0,690.0,25.0,True,False,False
740b64e1cafcfbc98a8ee89cd0a518eee4163aa1,feb,2021,heat,hold,Peru,695.5454545454545,699.986013986014,699.986013986014,5.0,False,False,True
7469766cdb5151597c2241005da35fa650ad2540,feb,2021,heat,hold,Chittenden,721.3263157894737,729.5157894736842,727.8105263157895,47.0,False,False,False
773b38eea7dbac1116b1e74a3f3765336e67361f,feb,2021,heat,hold,Barre,691.2172447013487,692.944605009634,692.944605009634,40.0,False,False,False
7cf01f9297d88d3d00700bf97cf8051cd99241f8,feb,2021,heat,hold,Woodford,674.65,680.0,680.0,10.0,False,False,True
7dfc051fceb77228f9552c167406edd34cde7c65,feb,2021,heat,hold,Essex,694.1420765027323,696.2295081967213,696.2295081967213,40.0,False,False,False
815fddd0d01101dc284eb0a6233748c50b6bec03,feb,2021,heat,hold,Saint Albans,651.4683544303797,714.6962025316456,712.493670886076,30.0,False,False,False
847c3541c0ffabb075ad4af42185af777b996c2f,feb,2021,heat,hold,Woodbury,627.6986301369863,651.5068493150685,636.3424657534247,0.0,False,False,False
847f79dee1f14d8aba481345bbd8fa0dd0632e6b,feb,2021,heat,hold,Wilmington,678.578947368421,680.0,680.3157894736842,10.0,False,False,False
8b4bd42da72eadfeaeeda62605fde4d7c1dd58aa,feb,2021,heat,hold,Northfield,679.5544554455446,684.9653465346535,683.6039603960396,45.0,False,False,False
8d38fc22cc8239c127bd7cfd190ac40f9940a355,feb,2021,heat,hold,Rutland,694.9666666666667,700.0,700.0,50.0,True,False,False
9254d940b2a53d3e7ccba105c0401793d669278f,feb,2021,heat,hold,Hinesburg,676.9583333333334,684.4166666666666,684.4166666666666,35.0,True,False,False
976d2b5f6b178a1eb7af02790f9ca6a1caa18feb,feb,2021,heat,hold,Essex,727.0,770.0,742.0,7.0,False,False,False
993a60967289b4973387c7bc3b322f447ba725f1,feb,2021,heat,hold,Burlington,692.1547619047619,690.0,690.0,90.0,False,False,False
a03478399f597209ced9babf1f3e635cccb1a0c1,feb,2021,heat,hold,Peru,532.7183098591549,678.0,530.0,5.0,False,False,True
a15664878e8df748d0db2075554b1847eab39bd4,feb,2021,heat,hold,Wilmington,627.3587223587224,665.2088452088452,625.982800982801,30.0,False,False,False
ad9e65de1d383d06355aadcb5728182d32b5f15e,feb,2021,heat,hold,Middlebury,653.6666666666666,681.5555555555555,678.5555555555555,30.0,False,False,False
b8499dce4ad0e8b7441e7f16bed32acb435d233c,feb,2021,heat,hold,Bethel,689.1917591125198,660.0,660.0,0.0,False,False,False
bbe5199cf833df39722e4f7e78091f2d5b945fd5,feb,2021,heat,hold,Williston,677.9619422572179,680.0,680.0,17.0,False,False,False
ca7bd09b630d8b445a2802cc54e5b3610f3faf66,feb,2021,heat,hold,Saint Albans,698.9323308270676,720.3233082706766,718.7593984962406,30.0,True,False,False
ce9afa9969c324965aff98f4ff333a92984459d5,feb,2021,heat,hold,Shrewsbury,681.40589569161,680.0,680.0,117.0,False,False,False
cfa61a674a0241bcf34a0f151ce59558e17b6d93,feb,2021,heat,hold,Chester,711.2516129032258,720.0,719.733870967742,115.0,False,False,False
d331a3fbac5a7c554dc46a4d7bfc2f6ce866bfb1,feb,2021,heat,hold,Burlington,677.8571428571429,690.0,690.0,90.0,False,False,False
d462513f2ab60ff6e7adb3b1856da797689dca90,feb,2021,heat,hold,Burlington,674.3935742971887,670.6907630522088,669.1646586345381,60.0,False,False,False
d63cb3788a6b312df8b48a557b86090dd629263e,feb,2021,auto,hold,South Burlington,698.2792792792793,760.0,700.0,0.0,False,False,False
dbfc0699e02fe09382f1b785e1cf2f0fd3662875,feb,2021,heat,hold,Westford,684.5044247787611,688.20796460177,687.5884955752213,0.0,False,False,False
dfebba5b4c1cef022c6adc295b3ebe6abc3dbc5d,feb,2021,heat,hold,Waterbury Center,667.6654343807763,650.4112754158965,601.097966728281,40.0,False,False,False
dff152b834051b8c400a572af119b26eb79c03c6,feb,2021,heat,hold,Shrewsbury,588.6771428571428,650.0,590.0,120.0,False,False,False
e0e23265d37b59b96750ef2355a86e25695673b7,feb,2021,heat,hold,Woodstock,679.5661157024794,686.095041322314,683.6900826446281,20.0,False,False,False
e44893029fdab02205cf581b038d85c7d63535cc,feb,2021,heat,hold,wilmington,646.6285714285714,650.0,580.0,10.0,False,False,False
e48419f35fca34aa89245f946fa5a6bf0c4f1309,feb,2021,heat,hold,Burlington,679.3920704845815,673.579295154185,673.4449339207049,105.0,False,False,False
ef48201165ee7b066fdd68f2927860cd048658f7,feb,2021,heat,hold,East Montpelier,709.2699386503067,683.361963190184,682.3992449268522,120.0,False,False,False
efeca9f6756a7f8c3aaf97c9fd9f5e54fadd58dd,feb,2021,heat,hold,St. George,667.0277777777778,670.0,670.0,10.0,False,False,False
f0e456d9578ab0c4553079e8c0abdd06d0a24936,feb,2021,heat,hold,Stowe,697.8052516411378,676.0722100656455,674.3041575492341,30.0,False,False,False
f23a83d45499bc989a9f6bf289c0ae1606b4f60c,feb,2021,heat,hold,Hartford,689.6356993736952,684.6375260960334,683.8859603340293,0.0,True,False,False
f69e9d21048336ec727333b796a873b27682eb35,feb,2021,heat,hold,Rutland,706.9661016949152,709.1525423728814,709.1525423728814,45.0,False,False,False
f737e73d0fe1f0e19591956f6a4b1755f4c27f8d,feb,2021,heat,hold,Montpelier,705.6666666666666,682.9166666666666,680.5833333333334,30.0,False,False,False
f8232b98e56379e08de5c2935c29ccd3844f9585,feb,2021,heat,hold,Burlington,771.0,730.0,730.0,60.0,False,False,False
fa08475416235509957094bd28ed79584aee4469,feb,2021,heat,hold,Chester,721.0286677908938,720.0,719.9865092748735,115.0,False,False,False
fae2077e3bd726479b0d4f7381810a11ddfd6945,feb,2021,heat,hold,Concord,695.9961749940235,700.0,700.0,0.0,False,False,False
fb25c89e80abf37ee43b1d4c3b1aa4aaf4e948fb,feb,2021,heat,hold,Underhill Center,648.2785714285715,655.6821428571428,652.7839285714285,30.0,False,False,False
fb5559f697fdfaa37875b00d94ac7a600e0d864c,feb,2021,cool,hold,Brownsville,692.2857142857143,659.0,651.0,99.0,False,False,True
fb5559f697fdfaa37875b00d94ac7a600e0d864c,feb,2021,heat,hold,Brownsville,697.5714285714286,730.4285714285714,721.1428571428571,99.0,False,False,True
fb5f7cfad04c7e8e661e103399b09700809a96fb,feb,2021,heat,hold,Woodstock,676.4974093264249,691.3937823834196,691.1295336787565,20.0,False,False,False
fb9e6433ec69f11def9740170e6b089149814b76,feb,2021,heat,hold,Burlington,664.949740034662,660.3708838821491,656.1871750433276,55.0,False,False,False
