Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
08e5ea6a99f568b84b88969934ce6fd54f4a8359,jul,2017,heat,auto,Bethel,773.9912280701755,680.0,670.0,0.0,False,False,False
0ddcca6e74610999ee10239e72330c797274efa8,jul,2017,auto,auto,South Burlington,742.1923076923077,748.2211538461538,668.9711538461538,5.0,False,False,False
0ddcca6e74610999ee10239e72330c797274efa8,jul,2017,auto,hold,South Burlington,739.4705882352941,765.1176470588235,644.7058823529412,5.0,False,False,False
0ddcca6e74610999ee10239e72330c797274efa8,jul,2017,cool,hold,South Burlington,765.75,730.0,730.0,5.0,False,False,False
0e51eab7b259c251d7b77f7174b1bee53fb83ff3,jul,2017,heat,auto,westfield,758.5177304964539,780.113475177305,649.5673758865248,55.0,False,False,False
13ac09831b625d07ec7e86d8d3961168f6204fe6,jul,2017,auto,hold,South Burlington,735.5,736.5,631.0,5.0,False,False,False
1cc2b77c1f9dd8971c8050cb5604220405ec8404,jul,2017,auto,hold,Colchester,718.23259762309,719.0865874363328,650.0,0.0,True,False,False
202b20f2fdcb124df820af1fd71955548fab26ff,jul,2017,cool,hold,South Burlington,726.2756062767475,730.0,730.0,0.0,True,False,False
344369e2fd7df48b10e8a25dd6542b84da7ed31f,jul,2017,heat,auto,Derby,718.5605326876513,650.0,640.0,37.0,False,False,False
344369e2fd7df48b10e8a25dd6542b84da7ed31f,jul,2017,heat,hold,Derby,709.1108786610879,650.0125523012553,643.2322175732218,37.0,False,False,False
662953f85593ffcb52ca9d8569604ec908481b51,jul,2017,cool,auto,South Burlington,672.6625,669.7375,671.6625,0.0,False,False,False
662953f85593ffcb52ca9d8569604ec908481b51,jul,2017,cool,hold,South Burlington,696.0167158308751,694.8446411012783,694.5290068829892,0.0,False,False,False
6f76dee396823efaa4928dd76539ab3f46489ee6,jul,2017,heat,auto,Bethel,748.3814374646294,660.0,660.0,0.0,False,False,False
773b38eea7dbac1116b1e74a3f3765336e67361f,jul,2017,heat,auto,Barre,731.399416909621,657.2448979591836,638.6763848396502,40.0,False,False,False
7cf01f9297d88d3d00700bf97cf8051cd99241f8,jul,2017,cool,auto,Woodford,699.6190476190476,680.0,670.0,10.0,False,False,True
8de572f3c0cd0e9fbadaff3165dc844a1ef72f5a,jul,2017,cool,hold,South Burlington,754.1095890410959,875.0,790.0,0.0,False,False,False
92a7755d85f209ef9778cefd008c94c23f3a4370,jul,2017,cool,hold,South Burlington,772.4293262879788,874.2324966974901,788.6453104359313,10.0,False,False,False
92ac49a94eafc43db2839c26793fb64729d75d2d,jul,2017,heat,hold,Jericho,708.1855072463768,660.0,660.0,60.0,False,False,False
a1a9fe0e9032274670b0ee43b67a76d3ed18cda5,jul,2017,auto,auto,South Burlington,739.5769230769231,740.0576923076923,668.8461538461538,5.0,False,False,False
a1a9fe0e9032274670b0ee43b67a76d3ed18cda5,jul,2017,auto,hold,South Burlington,732.0434782608696,740.8115942028985,653.0289855072464,5.0,False,False,False
a1a9fe0e9032274670b0ee43b67a76d3ed18cda5,jul,2017,cool,hold,South Burlington,753.4,730.0,730.0,5.0,False,False,False
b1e5ee0e5f54079b59e15528166e6b515e6c597c,jul,2017,cool,auto,Richmond,749.1277330264672,757.3578826237054,695.716915995397,50.0,False,False,False
b1e5ee0e5f54079b59e15528166e6b515e6c597c,jul,2017,cool,hold,Richmond,745.8688340807175,752.8923766816143,747.4747757847533,50.0,False,False,False
b280bb572e020824c1d10ca790031bddad638ddf,jul,2017,cool,hold,Woodford,700.4423076923077,699.6538461538462,699.6538461538462,10.0,False,False,True
b8499dce4ad0e8b7441e7f16bed32acb435d233c,jul,2017,heat,auto,Bethel,762.0704584040747,690.0,670.0,0.0,False,False,False
bac0305837ab995c66aad34153c932023f31d93d,jul,2017,heat,auto,Proctor,708.1460101867572,650.0,620.0,100.0,False,False,False
cfa61a674a0241bcf34a0f151ce59558e17b6d93,jul,2017,heat,hold,Chester,690.3333333333334,650.0,500.0,115.0,False,False,False
dff152b834051b8c400a572af119b26eb79c03c6,jul,2017,heat,hold,Shrewsbury,740.046783625731,656.6666666666666,639.9970760233919,120.0,False,False,False
e36232d3783476e242bd3294bcef683e8818a94b,jul,2017,heat,hold,Montpelier,715.7192131500943,650.0,580.0,55.0,False,False,False
