Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00fb48d1cbd52525aa51333669e22d5eae06f262,Jan,2019,auto,hold,Greenacres,662.64,900.0,659.4,50.0,False,False,False
01a9aa5d26899ac6944be334ccf76d904fb0e03a,Jan,2019,heat,auto,Auburn,662.7297297297297,799.1891891891892,650.4054054054054,15.0,False,False,False
01a9aa5d26899ac6944be334ccf76d904fb0e03a,Jan,2019,heat,hold,Auburn,711.1369863013699,709.8493150684932,703.2602739726027,15.0,False,False,False
01c5f7575df1b1c1654ffe7605050f00b44467a1,Jan,2019,auto,auto,Tenino,676.5478615071283,850.0,601.4663951120162,45.0,True,False,True
01c5f7575df1b1c1654ffe7605050f00b44467a1,Jan,2019,auto,hold,Tenino,694.4872417982989,850.0,569.0157958687728,45.0,True,False,True
022b725ee33a500e3cd6342f65fb7dadca8ca871,Jan,2019,auto,hold,West Richland,701.5230769230769,770.7692307692307,715.5384615384615,27.0,False,False,True
0232fcb7383720194f81e9ed746d72364c2b60b6,Jan,2019,heat,auto,Seattle,684.7307692307693,730.0,660.0,10.0,False,False,False
028359448ae6be25b5f91d024f89b99d0677cdd8,Jan,2019,heat,auto,Snohomish,697.6818181818181,700.0,700.0,10.0,False,False,False
028359448ae6be25b5f91d024f89b99d0677cdd8,Jan,2019,heat,hold,Snohomish,697.7640692640692,699.7164502164502,699.7164502164502,10.0,False,False,False
02890276e16188aa7cdbc5cf916e47185c35da9a,Jan,2019,heat,auto,Lynnwood,725.8811881188119,817.4653465346535,642.5792079207921,5.0,False,False,False
02dda9cf2ffdbff7f5af3cccf5a22ea55842b490,Jan,2019,heat,auto,Maple Valley,683.2365339578454,775.8711943793911,648.5620608899297,20.0,True,False,False
02dda9cf2ffdbff7f5af3cccf5a22ea55842b490,Jan,2019,heat,hold,Maple Valley,697.4655172413793,707.2068965517242,705.4137931034483,20.0,True,False,False
02f68c89b6dfd5538aec1991aad5ebc824d840e2,Jan,2019,heat,auto,Seattle,696.3719943422914,698.0,698.0,65.0,False,False,False
035f0c14a560e0656ad645cfa397bafc8e0b8bce,Jan,2019,heat,auto,sammamish,688.6515151515151,650.0,720.0,5.0,True,False,False
035f0c14a560e0656ad645cfa397bafc8e0b8bce,Jan,2019,heat,hold,sammamish,668.2402890695573,689.6404697380307,670.5618789521228,5.0,True,False,False
03c326b6397b9e117d031da93e02fc44e4233b13,Jan,2019,auto,auto,Chelan,659.2758620689655,730.0,650.0,20.0,True,False,True
041995629337528a4847e62f78dd514a135d7067,Jan,2019,auto,hold,Bothell,688.9060559006211,740.0,690.0,40.0,False,False,False
041995629337528a4847e62f78dd514a135d7067,Jan,2019,heat,hold,Bothell,712.2548148148148,713.5170370370371,713.4874074074074,40.0,False,False,False
0442c7a7b1f414fcd6db8f5556dcd3f11e19dfb8,Jan,2019,heat,auto,Brier,678.5942028985507,814.8985507246376,615.304347826087,30.0,False,False,False
04ac44ac2c0bc506754ad040f112d8f7c7dcda9e,Jan,2019,heat,hold,Seattle,705.154501216545,707.6484184914842,707.4878345498784,60.0,False,False,False
04d3e1652872f4ea3666d8584f88dbaba1df9199,Jan,2019,heat,hold,Shoreline,669.0,689.0,689.0,35.0,False,False,False
05774c9500c4b90fb76d609eaf77cab982c38d01,Jan,2019,heat,auto,Seattle,671.2777777777778,780.0,685.0,5.0,False,False,False
05b595b7f4631d9d07f33c64df896bb0699ce12b,Jan,2019,heat,hold,Bothell,689.35,689.8,689.8,5.0,False,False,False
06069495ddfa64fe44855441e844467e819dc742,Jan,2019,auto,auto,Maple Valley,696.6461538461539,770.0,700.0,15.0,True,False,False
063c5ed87f4d7bc69993dc1784c120b55768c41d,Jan,2019,auto,auto,Leavenworth,689.6590909090909,733.8311688311688,712.7207792207793,0.0,True,False,True
063c5ed87f4d7bc69993dc1784c120b55768c41d,Jan,2019,auxHeatOnly,auto,Leavenworth,641.0,731.0,720.0,0.0,True,False,True
063c5ed87f4d7bc69993dc1784c120b55768c41d,Jan,2019,heat,auto,Leavenworth,661.0470588235294,756.9411764705883,728.4705882352941,0.0,True,False,True
063ea121590044525f8341ad58b59d98e5db1937,Jan,2019,heat,auto,Tacoma,667.2938144329897,718.3711340206186,657.610824742268,7.0,False,False,True
063ea121590044525f8341ad58b59d98e5db1937,Jan,2019,heat,hold,Tacoma,674.7901861252116,676.989847715736,673.9137055837564,7.0,False,False,True
0698977d580d32b800181ba8097dacef69682c3a,Jan,2019,heat,auto,Lakewood,691.645259938838,751.3310397553516,691.6704892966361,0.0,False,False,False
0698977d580d32b800181ba8097dacef69682c3a,Jan,2019,heat,hold,Lakewood,709.9414414414415,706.9099099099099,706.9099099099099,0.0,False,False,False
075d706670c11e6d36f72e2b6d39b10342f49101,Jan,2019,heat,auto,Redmond,669.2234042553191,674.968085106383,670.468085106383,40.0,False,False,False
