Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00e2262b3718ead3246d8133039d71ac11c680cf,jun,2021,auto,hold,Ridgefield,709.2545454545455,738.1818181818181,680.0181818181818,18.0,False,False,False
00e2262b3718ead3246d8133039d71ac11c680cf,jun,2021,cool,hold,Ridgefield,722.3559322033898,720.0,720.0,18.0,False,False,False
00fb48d1cbd52525aa51333669e22d5eae06f262,jun,2021,auto,hold,Greenacres,673.7619047619048,765.2857142857143,666.047619047619,50.0,False,False,False
019a1d7273650d66544a79b146b515ddfa3f0531,jun,2021,auto,hold,Vancouver,709.2307692307693,775.0,675.0,5.0,False,False,True
019a1d7273650d66544a79b146b515ddfa3f0531,jun,2021,cool,hold,Vancouver,705.9755501222494,717.0684596577017,712.9682151589242,5.0,False,False,True
019a1d7273650d66544a79b146b515ddfa3f0531,jun,2021,heat,hold,Vancouver,690.1028037383178,690.6822429906542,690.5514018691589,5.0,False,False,True
022b725ee33a500e3cd6342f65fb7dadca8ca871,jun,2021,auto,hold,West Richland,755.0882352941177,652.6470588235294,602.6470588235294,27.0,False,False,True
022b725ee33a500e3cd6342f65fb7dadca8ca871,jun,2021,cool,hold,West Richland,746.6,710.0,710.0,27.0,False,False,True
023b1c2a1361099e8724d132e2802e31da64d796,jun,2021,cool,hold,Colbert,687.5416666666666,676.875,676.875,29.0,True,False,False
028359448ae6be25b5f91d024f89b99d0677cdd8,jun,2021,auto,hold,Snohomish,670.8416565164433,682.7040194884288,632.7040194884288,10.0,False,False,False
02dda9cf2ffdbff7f5af3cccf5a22ea55842b490,jun,2021,cool,hold,Maple Valley,743.6296296296297,740.0,740.0,20.0,True,False,False
035f0c14a560e0656ad645cfa397bafc8e0b8bce,jun,2021,cool,hold,sammamish,704.0826815642458,710.6100558659218,710.5966480446928,5.0,True,False,False
035f0c14a560e0656ad645cfa397bafc8e0b8bce,jun,2021,heat,hold,sammamish,690.9675925925926,680.0,680.0,5.0,True,False,False
041995629337528a4847e62f78dd514a135d7067,jun,2021,cool,hold,Bothell,787.3125,680.0,680.0,40.0,False,False,False
0442c7a7b1f414fcd6db8f5556dcd3f11e19dfb8,jun,2021,cool,hold,Brier,690.9019073569482,711.4877384196185,711.4877384196185,30.0,False,False,False
04d3e1652872f4ea3666d8584f88dbaba1df9199,jun,2021,heat,hold,Shoreline,746.9345794392524,734.0,626.0,35.0,False,False,False
05774c9500c4b90fb76d609eaf77cab982c38d01,jun,2021,auto,hold,Seattle,690.5652173913044,740.0,700.0,5.0,False,False,False
05b595b7f4631d9d07f33c64df896bb0699ce12b,jun,2021,cool,hold,Bothell,686.5762711864406,715.1949152542373,715.1292372881356,5.0,False,False,False
063c5ed87f4d7bc69993dc1784c120b55768c41d,jun,2021,auto,hold,Leavenworth,718.2341637010676,729.3451957295374,709.3380782918149,0.0,True,False,True
06570c288e8e5175896e5338c445742642733036,jun,2021,auto,hold,Longview,710.3694158075601,725.2955326460481,685.1048109965636,40.0,True,False,True
0817c75ad4f80520f97fe40b2ab7e304ba730b05,jun,2021,auto,hold,Vancouver,721.96,759.12,679.96,25.0,False,False,False
083fdc64a2b010c718be69f82065bc1ccf51ddc1,jun,2021,heat,hold,Puyallup,782.8910256410256,680.0,680.0,20.0,False,False,False
088e25e8887fb38549cb67e3bd51f93ae07d8825,jun,2021,heat,hold,Bellevue,691.25,704.125,704.125,20.0,True,False,False
0926b8c652477466e53d72dcbc58f3292533342e,jun,2021,auto,hold,Fairfeild ,718.0,715.0294117647059,630.8823529411765,30.0,True,False,True
095aa4899da2087c1e4d2a57d8067b5bc4311a2e,jun,2021,auto,hold,Veradale,794.0,760.0,670.0,0.0,True,False,True
096f393155592e2917cecd953d1f677b2da7ea1c,jun,2021,auto,hold,Parkland,695.7469879518072,715.1927710843373,665.1927710843373,45.0,True,False,True
096f393155592e2917cecd953d1f677b2da7ea1c,jun,2021,cool,hold,Parkland,705.0909090909091,717.7121212121212,717.7121212121212,45.0,True,False,True
0a08ab5244f620ee0c77e67b9ffd70690bc43e96,jun,2021,heat,hold,Shelton,680.7619047619048,650.0,650.0,20.0,False,False,False
0a2bad36658c92b554e08bf46f2023d0b1cdd220,jun,2021,cool,hold,Sedro-Woolley,687.0625,680.0,680.0,5.0,True,False,False
0af51571308f108d93665147808bf15ff545357a,jun,2021,heat,hold,Port Orchard,718.9166666666666,650.0,520.0,97.0,False,False,False
0b3a46b20417fb653db6e3d1b7f8d28dfb346708,jun,2021,cool,hold,Vancouver,700.4645232815965,705.6818181818181,705.6818181818181,5.0,False,False,False
0b3a46b20417fb653db6e3d1b7f8d28dfb346708,jun,2021,heat,hold,Vancouver,672.0,768.0,700.0,5.0,False,False,False
0b76c3425ed98e650ecd9103f1c04218bb9b80a6,jun,2021,auto,hold,West Richland,721.8279069767442,718.7325581395348,658.2441860465116,0.0,False,False,True
0b7be396977ef0b8a60e0e4d7ba5a925c9cb7913,jun,2021,heat,hold,Redmond,682.7619047619048,650.0,630.0,10.0,False,False,False
0bc7c6c7f4fc5099c3649fd54b5d158eef26e391,jun,2021,auto,hold,Gig Harbor,722.375,730.0,680.0,28.0,False,False,False
