Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00c3de29f54d18652f1a52917ca911150381b87e,dec,2017,heat,auto,Elroy,670.0,673.175572519084,672.5038167938932,37.0,False,False,False
00c3de29f54d18652f1a52917ca911150381b87e,dec,2017,heat,hold,Elroy,673.7560975609756,676.5121951219512,675.6341463414634,37.0,False,False,False
00c6e6440353848d5f98854b8e0470a8762f7b89,dec,2017,heat,auto,Minocqua,710.6216,717.1056,717.076,40.0,False,False,False
00c6e6440353848d5f98854b8e0470a8762f7b89,dec,2017,heat,hold,Minocqua,605.5,650.0,500.0,40.0,False,False,False
01d210acbcd27062b6c0a9696c19a0e9b774a81d,dec,2017,heat,hold,Madison,652.9714285714285,650.0,650.0,27.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,dec,2017,auto,auto,Madison,682.7371794871794,843.8461538461538,656.2820512820513,55.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,dec,2017,auto,hold,Madison,676.0,770.0,670.0,55.0,False,False,False
02f5bf1d5b14457b354a3784e6292869df5628ea,dec,2017,heat,hold,Milwaukee,702.9681003584229,700.0,700.0,117.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,dec,2017,heat,auto,Janesville,702.0147601476015,704.7011070110701,704.5940959409594,70.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,dec,2017,heat,hold,Janesville,701.7822410147992,704.477801268499,704.46088794926,70.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,dec,2017,heat,auto,Madison,711.5217391304348,717.1739130434783,715.3913043478261,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,dec,2017,heat,auto,Delafield,679.72,650.0,650.0,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,dec,2017,heat,hold,Delafield,692.9562483625884,687.1839140686403,685.4312287136495,45.0,False,False,False
03cc7f4576c64508578fe51242d80e5e2d83432b,dec,2017,heat,hold,Green Bay,659.7777777777778,660.0,660.0,10.0,False,False,False
042ae46ec1ea6310991ced5d7d0616ee6b5d4fad,dec,2017,heat,hold,Janesville,682.6666666666666,720.0,689.2857142857143,30.0,False,False,False
