Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00c3de29f54d18652f1a52917ca911150381b87e,feb,2018,heat,auto,Elroy,674.8848167539267,678.1780104712042,675.8429319371728,37.0,False,False,False
00c3de29f54d18652f1a52917ca911150381b87e,feb,2018,heat,hold,Elroy,677.795918367347,680.0,680.0,37.0,False,False,False
00c6e6440353848d5f98854b8e0470a8762f7b89,feb,2018,heat,auto,Minocqua,680.7209653092006,701.8883861236802,701.6621417797888,40.0,False,False,False
00c6e6440353848d5f98854b8e0470a8762f7b89,feb,2018,heat,hold,Minocqua,501.1060985797828,650.0551378446115,500.1746031746032,40.0,False,False,False
019822d5aa2b17d3e3737a0bed7d2c04ac03b1c0,feb,2018,heat,hold,Neenah,717.8181818181819,707.2727272727273,707.2727272727273,39.0,True,False,False
01c43c92ae2bf2038791831e614db5677d273720,feb,2018,heat,auto,Baldwin,686.4909090909091,690.8727272727273,689.7727272727273,0.0,False,False,False
01c43c92ae2bf2038791831e614db5677d273720,feb,2018,heat,hold,Baldwin,688.6428571428571,699.3333333333334,697.8571428571429,0.0,False,False,False
01d210acbcd27062b6c0a9696c19a0e9b774a81d,feb,2018,heat,hold,Madison,678.9285714285714,680.0,680.0,27.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,feb,2018,auto,auto,Madison,679.3760683760684,819.9145299145299,668.8888888888889,55.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,feb,2018,heat,auto,Janesville,702.9708737864078,708.1699029126214,708.1699029126214,70.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,feb,2018,heat,hold,Janesville,701.7798165137615,704.7706422018349,704.7706422018349,70.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,feb,2018,heat,auto,Madison,694.5119047619048,752.0,698.0,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,feb,2018,heat,auto,Delafield,752.561403508772,680.1754385964912,679.9473684210526,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,feb,2018,heat,hold,Delafield,705.9583588487446,685.5676668707899,685.5584813227189,45.0,False,False,False
03cc7f4576c64508578fe51242d80e5e2d83432b,feb,2018,heat,hold,Green Bay,667.0,680.0,680.0,10.0,False,False,False
045cc1c80e11bd3b2b8f4dad6ccea7ecdf960ffc,feb,2018,heat,auto,Sun Prairie,704.5,720.0,720.0,15.0,False,False,False
045cc1c80e11bd3b2b8f4dad6ccea7ecdf960ffc,feb,2018,heat,hold,Sun Prairie,698.5846994535519,701.5792349726776,701.5792349726776,15.0,False,False,False
0460dbf9ccce69c23f2981ee23cb6bc770deda67,feb,2018,heat,auto,Sauk City,681.6913580246913,680.0,680.0,105.0,False,False,False
0470abdf173136c8d13afc8cd6e7f5af2e9e3ce8,feb,2018,auto,auto,Spring Valley,657.0,760.0,690.0,15.0,False,False,False
0470abdf173136c8d13afc8cd6e7f5af2e9e3ce8,feb,2018,auto,hold,Spring Valley,695.9574247144341,760.1993769470405,690.1848390446521,15.0,False,False,False
04b98681406a47b757d36b1949d042f0594479ab,feb,2018,heat,hold,St. Francis,681.8622754491018,690.4910179640718,689.754491017964,80.0,True,False,False
050276e5053a399ea556540b788902b0eaf22733,feb,2018,heat,hold,White Lake,515.9288770053475,650.0171122994652,504.34705882352944,50.0,False,False,False
065bd7c00873c3cc7b8a0769814470782b8e9802,feb,2018,heat,hold,Kenosha,699.2613636363636,698.2954545454545,698.2954545454545,5.0,False,False,False
069cd5f0cf09d1ac35a647e74cbb64fc502c65d8,feb,2018,auto,auto,McFarland,682.0,770.0,688.0,40.0,True,False,False
069cd5f0cf09d1ac35a647e74cbb64fc502c65d8,feb,2018,auto,hold,McFarland,693.7123287671233,860.0,698.5342465753424,40.0,True,False,False
06f4ba0afa479b6f017ca9098c19e177807b0e22,feb,2018,auto,hold,Waterford town,709.3055555555555,765.0,715.0,10.0,False,False,False
0710290d9b5508c8e5d32d9f4215c95c94735adb,feb,2018,heat,hold,Cedarburg city,632.4,652.5076923076923,514.5576923076923,45.0,False,False,False
