Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00c3de29f54d18652f1a52917ca911150381b87e,jul,2017,auto,hold,Elroy,701.9398496240601,700.0451127819549,510.0,37.0,False,False,False
019822d5aa2b17d3e3737a0bed7d2c04ac03b1c0,jul,2017,cool,hold,Neenah,748.0,740.0,730.0,39.0,True,False,False
01c43c92ae2bf2038791831e614db5677d273720,jul,2017,cool,hold,Baldwin,730.6875,739.5625,738.4375,0.0,False,False,False
025ac253e71fd687111cb40439615119a305d1a4,jul,2017,cool,hold,Madison,789.7,772.1,765.1,40.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,jul,2017,cool,auto,Madison,763.7658227848101,808.0791139240506,662.2373417721519,55.0,False,False,False
027d1ae6b66bece659dd61aadfbd8f7cd43c187a,jul,2017,cool,hold,Madison,761.6739130434783,760.0,760.0,55.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,jul,2017,cool,auto,Janesville,723.4186046511628,718.1757105943152,710.5116279069767,70.0,False,False,False
03049cbda96a4f44aa6a7a317fbbbe7f7f8b4192,jul,2017,cool,hold,Janesville,715.3364928909953,709.1184834123222,709.1184834123222,70.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,jul,2017,cool,auto,Madison,741.7868852459017,736.655737704918,680.0,45.0,False,False,False
0370503bd36c22a98cf31477914ff1c3c0d800f1,jul,2017,cool,hold,Madison,737.3762376237623,734.0,734.0,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,jul,2017,cool,auto,Delafield,733.7608695652174,730.0,730.0,45.0,False,False,False
03745e88650dff906c44cbccdcbb56d420ecc414,jul,2017,cool,hold,Delafield,731.7298812664908,730.1893139841688,730.1952506596306,45.0,False,False,False
042ae46ec1ea6310991ced5d7d0616ee6b5d4fad,jul,2017,cool,hold,Janesville,755.3924418604652,761.7427325581396,744.0901162790698,30.0,False,False,False
045cc1c80e11bd3b2b8f4dad6ccea7ecdf960ffc,jul,2017,cool,hold,Sun Prairie,729.2625,736.5,736.5,15.0,False,False,False
0470abdf173136c8d13afc8cd6e7f5af2e9e3ce8,jul,2017,auto,hold,Spring Valley,733.8450704225352,755.0246478873239,683.2288732394367,15.0,False,False,False
060cf35de35204e8f59bc5b85603ba33027a9ad9,jul,2017,cool,hold,Madison,723.9102564102565,770.0,770.0,50.0,False,False,False
065bd7c00873c3cc7b8a0769814470782b8e9802,jul,2017,auto,auto,Kenosha,733.3053892215569,766.2095808383234,636.5089820359282,5.0,False,False,False
065bd7c00873c3cc7b8a0769814470782b8e9802,jul,2017,auto,hold,Kenosha,736.3333333333334,730.0,660.0,5.0,False,False,False
06dd4630d894ec734793e3fe9d5865bbd044962c,jul,2017,auto,auto,Waukesha,789.4246575342465,787.1232876712329,720.0,10.0,False,False,False
06dd4630d894ec734793e3fe9d5865bbd044962c,jul,2017,auto,hold,Waukesha,783.3188405797101,791.8840579710145,720.0,10.0,False,False,False
06f4ba0afa479b6f017ca9098c19e177807b0e22,jul,2017,auto,hold,Waterford town,730.1830985915493,730.0,670.0,10.0,False,False,False
