Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
015c5b19f842d6361568129bab20f692ecb5ba98,aug,2017,cool,auto,South Charleston,759.7008771929825,778.6666666666666,620.0,10.0,True,False,True
03929acf744f37ee18e539d3a2a04775de903a79,aug,2017,cool,auto,Beckley,681.9583333333334,680.0,640.0,16.0,False,False,False
03929acf744f37ee18e539d3a2a04775de903a79,aug,2017,cool,hold,Beckley,684.3103448275862,700.0172413793103,699.9655172413793,16.0,False,False,False
0bba27d3be343a725816c693e1fb53486f65c7b9,aug,2017,auto,auto,Morgantown,712.46875,710.0,660.0,45.0,False,False,False
0bba27d3be343a725816c693e1fb53486f65c7b9,aug,2017,auto,hold,Morgantown,710.5770392749245,710.0513595166163,660.0211480362537,45.0,False,False,False
1681fb4bfda8b5dc8e0858a217b4edbfb0cb3da2,aug,2017,auto,hold,Charles Town,734.0909090909091,730.0,680.0,10.0,False,False,True
23ea815e8d635bf755b4f45c8594fba04bf97e35,aug,2017,auto,hold,Morgantown,721.7944732297063,720.6908462867012,670.0,0.0,False,False,False
246860e7d957e2c4ba4215019099373118da02e8,aug,2017,auto,hold,Martinsburg,732.527950310559,732.2981366459627,679.9875776397515,15.0,False,False,True
246860e7d957e2c4ba4215019099373118da02e8,aug,2017,cool,hold,Martinsburg,737.3732057416267,733.4880382775119,733.2153110047847,15.0,False,False,True
2a6d52403ea1f70dc88bf0f4e65a55eb79e86307,aug,2017,cool,auto,Valley Head,757.6092896174863,779.9918032786885,711.344262295082,15.0,False,False,False
2a6d52403ea1f70dc88bf0f4e65a55eb79e86307,aug,2017,cool,hold,Valley Head,744.8383084577115,759.5016583747927,719.9684908789386,15.0,False,False,False
2b5e3272f28cb85110dd1e9980407782eac5c7bd,aug,2017,auto,auto,Morgantown,737.3333333333334,750.7,649.5666666666667,5.0,False,False,False
2d5a84e2350dbd03dd8468c69aaa48113ea63a63,aug,2017,cool,hold,Martinsburg,681.7083333333334,682.25,679.25,5.0,False,False,True
2f3143c961461a9a30edf7089ac861b6453b7235,aug,2017,auto,auto,Huntington,757.03125,756.9479166666666,670.0,45.0,True,True,True
2f3143c961461a9a30edf7089ac861b6453b7235,aug,2017,auto,hold,Huntington,740.3031088082902,774.2227979274611,638.9248704663213,45.0,True,True,True
362159cb260bc35da7592691d97629ce9b8889ae,aug,2017,cool,auto,Martinsburg,691.9650023331778,690.4414372375174,670.0,0.0,False,False,True
36a6eea1de28b712fe8c429a3f35722814041d48,aug,2017,cool,hold,Beckley,675.3333333333334,690.0,690.0,16.0,False,False,False
391fffccfe8e6b5c7f9fb78047d1136bdf3abff6,aug,2017,auto,auto,Barboursville,727.9354838709677,710.0,690.0,45.0,False,False,False
391fffccfe8e6b5c7f9fb78047d1136bdf3abff6,aug,2017,auto,hold,Barboursville,705.060606060606,700.0,680.0,45.0,False,False,False
3b074e7845f1ba41db95040d361a0e57ef376561,aug,2017,auto,hold,Charleston,717.9423076923077,715.0,665.0,25.0,False,False,True
4d2d2b09b53a479ced061b0225d0e510345371bc,aug,2017,cool,auto,Huntington,683.7368421052631,719.2631578947369,630.7368421052631,80.0,False,False,False
4d2d2b09b53a479ced061b0225d0e510345371bc,aug,2017,cool,hold,Huntington,677.3795620437957,736.5255474452555,736.1313868613139,80.0,False,False,False
4dce5928bbfcbe0aa3325f543471a41c701d65b2,aug,2017,cool,auto,Morgantown,734.1818181818181,749.8961038961039,739.9480519480519,50.0,False,False,False
4dce5928bbfcbe0aa3325f543471a41c701d65b2,aug,2017,cool,hold,Morgantown,740.0982658959538,758.9306358381502,758.9306358381502,50.0,False,False,False
4e68608b7c1df472353f546a38c2490665f9205e,aug,2017,cool,auto,Huntington,713.8148420279207,712.2358559882439,711.9904481998531,37.0,True,False,True
4e68608b7c1df472353f546a38c2490665f9205e,aug,2017,cool,hold,Huntington,718.2950819672132,719.5901639344262,719.5901639344262,37.0,True,False,True
