Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
015c5b19f842d6361568129bab20f692ecb5ba98,aug,2018,cool,auto,South Charleston,760.5998650472335,766.756072874494,766.756072874494,10.0,True,False,True
015c5b19f842d6361568129bab20f692ecb5ba98,aug,2018,cool,hold,South Charleston,708.5175438596491,700.0,700.0,10.0,True,False,True
01878b6476cf734f4d41081dfd2a989223288eb0,aug,2018,auto,hold,milton,726.609756097561,716.0217534607779,655.0,80.0,False,False,False
01878b6476cf734f4d41081dfd2a989223288eb0,aug,2018,cool,hold,milton,734.827485380117,705.233918128655,655.0,80.0,False,False,False
03929acf744f37ee18e539d3a2a04775de903a79,aug,2018,cool,hold,Beckley,669.280045351474,680.0,680.0,16.0,False,False,False
0a7f75d6e5e9d240f790eab8780e68ffce49e266,aug,2018,auto,hold,Martinsburg,736.125,720.0,680.0,15.0,False,False,True
0ba5fcecda158565bcbf42d734064ea47ce7cf88,aug,2018,auto,auto,Beckley,692.7525252525253,716.0467171717172,610.0,0.0,True,False,False
0ba5fcecda158565bcbf42d734064ea47ce7cf88,aug,2018,auto,hold,Beckley,693.2439628482972,712.5733746130031,610.0,0.0,True,False,False
0bfd795d2689a657b9374023ad053b3e1ec2ffeb,aug,2018,auto,auto,Davisville,698.7936507936508,710.3015873015873,627.6296296296297,10.0,True,False,False
0e4776b12baa2bed797d5c01a14c7c796ccdb3c7,aug,2018,cool,hold,Scott Depot,701.8787878787879,700.0,700.0,0.0,True,False,True
0f606a12afa80283c537ba9a19e7623dec24c331,aug,2018,auxHeatOnly,hold,Letart,750.4285714285714,650.072,630.3085714285714,30.0,True,False,True
1a3c003b7437ef630c5d19c7cc7655441f1847b8,aug,2018,cool,hold,Vienna,734.1621621621622,735.7027027027027,732.2432432432432,10.0,False,False,False
1fd7def9414b33a56954346cad6ad53d4e72558b,aug,2018,auto,hold,Charleston,721.8823529411765,715.0,675.0,25.0,True,False,True
2100e877d252a20482500365ba1f1411d86b0ea0,aug,2018,auto,auto,Farmington,723.7894736842105,732.2727272727273,693.1818181818181,0.0,False,False,False
2100e877d252a20482500365ba1f1411d86b0ea0,aug,2018,auto,hold,Farmington,720.938816449348,724.7843530591775,689.5967903711133,0.0,False,False,False
2100e877d252a20482500365ba1f1411d86b0ea0,aug,2018,cool,auto,Farmington,709.4566929133858,704.4724409448819,704.4724409448819,0.0,False,False,False
2100e877d252a20482500365ba1f1411d86b0ea0,aug,2018,cool,hold,Farmington,728.5294117647059,700.7647058823529,700.7647058823529,0.0,False,False,False
2100e877d252a20482500365ba1f1411d86b0ea0,aug,2018,heat,hold,Farmington,723.0512820512821,725.0,725.0,0.0,False,False,False
23ea815e8d635bf755b4f45c8594fba04bf97e35,aug,2018,auto,auto,Morgantown,731.6867119301648,730.0,650.0,0.0,False,False,False
23ea815e8d635bf755b4f45c8594fba04bf97e35,aug,2018,auto,hold,Morgantown,721.4546553808948,720.0,650.0,0.0,False,False,False
246860e7d957e2c4ba4215019099373118da02e8,aug,2018,auto,hold,Martinsburg,739.1910499139415,736.6506024096385,682.0981067125646,15.0,False,False,True
246860e7d957e2c4ba4215019099373118da02e8,aug,2018,cool,hold,Martinsburg,737.410569105691,739.3048780487804,739.2357723577236,15.0,False,False,True
267f914bee36e78b6c38085ad725378b4d57a389,aug,2018,auto,hold,Martinsburg,721.468,720.0,670.0,10.0,False,False,True
267f914bee36e78b6c38085ad725378b4d57a389,aug,2018,cool,auto,Martinsburg,732.5503355704698,730.0,730.0,10.0,False,False,True
267f914bee36e78b6c38085ad725378b4d57a389,aug,2018,cool,hold,Martinsburg,731.6411170528818,729.2614379084968,729.2614379084968,10.0,False,False,True
27918200f8f80e35dc026ca322c4da6355769341,aug,2018,cool,auto,Morgantown,726.8285714285714,723.0142857142857,722.5142857142857,10.0,False,False,False
2a6d52403ea1f70dc88bf0f4e65a55eb79e86307,aug,2018,cool,auto,Valley Head,774.8305752561072,799.5035460992908,680.661938534279,15.0,False,False,False
2a6d52403ea1f70dc88bf0f4e65a55eb79e86307,aug,2018,cool,hold,Valley Head,742.1454138702461,785.2348993288591,720.0,15.0,False,False,False
2b5e3272f28cb85110dd1e9980407782eac5c7bd,aug,2018,auto,auto,Morgantown,729.84,730.0,680.0,5.0,False,False,False
2b5e3272f28cb85110dd1e9980407782eac5c7bd,aug,2018,auto,hold,Morgantown,729.9583333333334,730.1666666666666,680.1666666666666,5.0,False,False,False
2d5a84e2350dbd03dd8468c69aaa48113ea63a63,aug,2018,cool,hold,Martinsburg,725.8055555555555,710.6111111111111,709.2916666666666,5.0,False,False,True
2f3143c961461a9a30edf7089ac861b6453b7235,aug,2018,auto,auto,Huntington,719.9285714285714,727.5595238095239,670.9166666666666,45.0,True,True,True
2f3143c961461a9a30edf7089ac861b6453b7235,aug,2018,auto,hold,Huntington,720.030487804878,726.7621951219512,671.4634146341464,45.0,True,True,True
362159cb260bc35da7592691d97629ce9b8889ae,aug,2018,cool,hold,Martinsburg,754.3409247757074,722.4354727398205,706.7853692201518,0.0,False,False,True
3a185223bf31e0891e49c6e272610ae3a29a3817,aug,2018,cool,auto,Hedgesville,747.8644140290847,754.5265183917878,754.5265183917878,30.0,False,False,True
3a185223bf31e0891e49c6e272610ae3a29a3817,aug,2018,cool,hold,Hedgesville,746.7641277641278,744.3030303030303,744.2907452907452,30.0,False,False,True
3a38dd3de8441afd6215d6a91bf033c2c646b786,aug,2018,cool,hold,Morgantown,732.9556025369978,733.3284002818887,733.2973925299507,0.0,True,False,True
3b074e7845f1ba41db95040d361a0e57ef376561,aug,2018,cool,auto,Charleston,715.2100840336135,707.0672268907563,707.0672268907563,25.0,False,False,True
3b074e7845f1ba41db95040d361a0e57ef376561,aug,2018,cool,hold,Charleston,727.4404761904761,716.0595238095239,716.0595238095239,25.0,False,False,True
3cb41a954f68899d90414f84c1417147a5fa925c,aug,2018,auto,auto,Kearneysville,742.7714285714286,740.1428571428571,720.0,5.0,False,False,False
3cb41a954f68899d90414f84c1417147a5fa925c,aug,2018,auto,hold,Kearneysville,749.6666666666666,735.25,714.7916666666666,5.0,False,False,False
3eddb198e585c599f80a2cbef3e9135760567c15,aug,2018,cool,hold,Bunker Hill,701.2082949308756,700.0,700.0,10.0,False,False,True
4d2d2b09b53a479ced061b0225d0e510345371bc,aug,2018,cool,hold,Huntington,712.88,680.6,680.6,80.0,False,False,False
4dce5928bbfcbe0aa3325f543471a41c701d65b2,aug,2018,cool,auto,Morgantown,740.9251336898395,738.5026737967914,700.0,50.0,False,False,False
4dce5928bbfcbe0aa3325f543471a41c701d65b2,aug,2018,cool,hold,Morgantown,739.0076335877862,733.6335877862596,733.5190839694657,50.0,False,False,False
4e68608b7c1df472353f546a38c2490665f9205e,aug,2018,cool,hold,Huntington,719.3448275862069,700.0,700.0,37.0,True,False,True
