Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
015c5b19f842d6361568129bab20f692ecb5ba98,dec,2019,heat,auto,South Charleston,624.2776324395029,650.0,620.0,10.0,True,False,True
015c5b19f842d6361568129bab20f692ecb5ba98,dec,2019,heat,hold,South Charleston,683.4375,690.375,689.1666666666666,10.0,True,False,True
01878b6476cf734f4d41081dfd2a989223288eb0,dec,2019,auto,auto,milton,646.2137096774194,702.616935483871,642.5120967741935,80.0,False,False,False
01878b6476cf734f4d41081dfd2a989223288eb0,dec,2019,auto,hold,milton,657.7063423110338,712.5438748913988,654.5682015638575,80.0,False,False,False
03929acf744f37ee18e539d3a2a04775de903a79,dec,2019,heat,auto,Beckley,662.047619047619,701.047619047619,701.047619047619,16.0,False,False,False
03929acf744f37ee18e539d3a2a04775de903a79,dec,2019,heat,hold,Beckley,669.6703980099503,670.7462686567164,670.7462686567164,16.0,False,False,False
06aa059ee123e439072fb8813fdc5e89c4ab8067,dec,2019,heat,auto,Morgantown,696.5,700.0,700.0,60.0,True,False,False
06aa059ee123e439072fb8813fdc5e89c4ab8067,dec,2019,heat,hold,Morgantown,688.6978193146417,691.588785046729,691.588785046729,60.0,True,False,False
0a7f75d6e5e9d240f790eab8780e68ffce49e266,dec,2019,heat,hold,Martinsburg,697.1428571428571,699.1156462585034,698.3265306122449,15.0,False,False,True
0ba5fcecda158565bcbf42d734064ea47ce7cf88,dec,2019,auto,hold,Beckley,667.1607142857143,745.0595238095239,665.0595238095239,0.0,True,False,False
0bfd795d2689a657b9374023ad053b3e1ec2ffeb,dec,2019,auto,hold,Davisville,680.8764705882353,713.5882352941177,663.5882352941177,10.0,True,False,False
0e0cc758daf8f5b436a168d55b7ba6da5493e8b1,dec,2019,cool,hold,Martinsburg,706.25,700.5833333333334,700.4166666666666,9.0,True,False,True
0e0cc758daf8f5b436a168d55b7ba6da5493e8b1,dec,2019,heat,hold,Martinsburg,697.0028689831049,698.8871533312082,698.8871533312082,9.0,True,False,True
0f606a12afa80283c537ba9a19e7623dec24c331,dec,2019,auto,auto,Letart,682.7566371681415,739.2182890855457,678.2168141592921,30.0,True,False,True
0f606a12afa80283c537ba9a19e7623dec24c331,dec,2019,auto,hold,Letart,686.2933333333333,749.3706666666667,671.2266666666667,30.0,True,False,True
1259306b42cd13b71ef004b65593e31f58d7a00f,dec,2019,heat,hold,Grafton,605.3836179633144,650.0,586.9715370018976,29.0,True,False,True
