Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
015c5b19f842d6361568129bab20f692ecb5ba98,feb,2020,heat,auto,South Charleston,621.4026610644257,650.0,620.0,10.0,True,False,True
01878b6476cf734f4d41081dfd2a989223288eb0,feb,2020,auto,auto,milton,652.8567415730337,720.0,645.6994382022472,80.0,False,False,False
01878b6476cf734f4d41081dfd2a989223288eb0,feb,2020,auto,hold,milton,659.96923828125,718.64501953125,661.1123046875,80.0,False,False,False
03929acf744f37ee18e539d3a2a04775de903a79,feb,2020,heat,auto,Beckley,672.461038961039,673.8668831168832,673.8474025974026,16.0,False,False,False
03929acf744f37ee18e539d3a2a04775de903a79,feb,2020,heat,hold,Beckley,673.072463768116,673.0555555555555,673.0048309178744,16.0,False,False,False
06aa059ee123e439072fb8813fdc5e89c4ab8067,feb,2020,heat,auto,Morgantown,692.9016064257028,695.5261044176707,695.5261044176707,60.0,True,False,False
06aa059ee123e439072fb8813fdc5e89c4ab8067,feb,2020,heat,hold,Morgantown,688.4327485380117,693.0877192982456,693.0877192982456,60.0,True,False,False
09328ba9e14cc678079234ead8f5346bc102122f,feb,2020,heat,hold,Glen Dale,685.5633921074727,746.3224181360201,690.0,99.0,True,False,False
0a7f75d6e5e9d240f790eab8780e68ffce49e266,feb,2020,auto,hold,Martinsburg,688.0132625994695,740.0,689.8010610079575,15.0,False,False,True
0bfd795d2689a657b9374023ad053b3e1ec2ffeb,feb,2020,auto,hold,Davisville,698.8811188811189,753.5314685314685,703.5314685314685,10.0,True,False,False
0e0cc758daf8f5b436a168d55b7ba6da5493e8b1,feb,2020,auto,hold,Martinsburg,694.5588235294117,702.0,652.0,9.0,True,False,True
0e0cc758daf8f5b436a168d55b7ba6da5493e8b1,feb,2020,heat,hold,Martinsburg,699.6543209876543,701.5308641975308,701.5308641975308,9.0,True,False,True
0e519efc4973c8757fb15f70f1183ac111109c4c,feb,2020,auto,auto,Buckhannon,677.375,720.0,660.0,29.0,True,False,False
0e519efc4973c8757fb15f70f1183ac111109c4c,feb,2020,auto,hold,Buckhannon,718.6979865771812,764.9261744966443,699.3691275167786,29.0,True,False,False
0f606a12afa80283c537ba9a19e7623dec24c331,feb,2020,auto,auto,Letart,707.6731234866828,773.8299031476997,700.2730024213075,30.0,True,False,True
0f606a12afa80283c537ba9a19e7623dec24c331,feb,2020,auto,hold,Letart,698.1666666666666,790.0,670.0,30.0,True,False,True
10f36a470e108206f485d957e99c48a613633447,feb,2020,auto,hold,Martinsburg,694.21,750.0,700.0,10.0,False,False,False
1259306b42cd13b71ef004b65593e31f58d7a00f,feb,2020,heat,hold,Grafton,656.4503870513722,656.77445460943,656.77445460943,29.0,True,False,True
1681fb4bfda8b5dc8e0858a217b4edbfb0cb3da2,feb,2020,auto,hold,Charles Town,704.925,760.0,710.0,10.0,False,False,True
179e7b68e5ee4f361b7af804ec2f82a0a80e3837,feb,2020,heat,auto,Scott Depot,714.0115321252059,735.8380010982976,719.004942339374,19.0,True,False,False
