Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00098d05dc32580dc5bff640242bfd6d439aaa52,aug,2020,cool,hold,Casper,706.0869565217391,700.0,700.0,40.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2020,cool,auto,Casper,730.5260115606936,732.3294797687861,684.7630057803468,10.0,False,False,False
0c66b3c257332a7615e55763a8a5add2f19a1aaa,aug,2020,cool,hold,Casper,725.625,720.0416666666666,719.9166666666666,10.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2020,cool,auto,Casper,705.9512195121952,770.0,770.0,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,aug,2020,cool,hold,Casper,704.7291666666666,748.3333333333334,748.3333333333334,30.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,aug,2020,auto,hold,Gillette,709.0344827586207,748.2586206896551,610.0,10.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,aug,2020,cool,auto,Gillette,766.5,751.0,710.0,10.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,aug,2020,heat,auto,Gillette,739.4176829268292,729.1829268292682,729.1829268292682,10.0,True,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2020,auto,auto,Laramie,721.4354838709677,720.0645161290323,660.2258064516129,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,aug,2020,auto,hold,Laramie,723.4375,730.0,670.0,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,aug,2020,cool,hold,Gillette,737.6527777777778,730.2638888888889,729.3333333333334,35.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,aug,2020,cool,hold,Green River,733.25,750.375,748.0416666666666,0.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,aug,2020,auto,hold,Laramie,717.0,775.0,705.0,10.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,aug,2020,cool,hold,Laramie,698.0959792477303,738.7431906614786,738.7055771725032,10.0,False,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,aug,2020,cool,auto,Cheyenne,571.0,646.5,619.0,10.0,True,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,aug,2020,cool,hold,Cheyenne,620.7333333333333,609.0,619.0,10.0,True,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,aug,2020,cool,hold,Cheyenne,754.2285115303984,764.7190775681341,760.0859538784067,15.0,False,False,False
4698711909dcaeba4a60bdebf8e6b23a8f77e0d1,aug,2020,cool,hold,Sheridan,706.0277777777778,712.6055555555556,712.6055555555556,5.0,False,False,False
4bbb3af3bf9fa9aad1b6506c83e556860e848321,aug,2020,cool,auto,Cheyenne,707.8333333333334,692.5416666666666,642.5416666666666,0.0,True,False,False
4bbb3af3bf9fa9aad1b6506c83e556860e848321,aug,2020,cool,hold,Cheyenne,718.75,742.0,742.0,0.0,True,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2020,cool,auto,Gillette,698.7301886792453,697.2679245283019,696.795283018868,10.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2020,cool,hold,Gillette,709.96875,675.0,675.0,10.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,aug,2020,heat,auto,Gillette,681.1666666666666,700.0,700.0,10.0,False,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,aug,2020,auto,hold,Gillette,644.4,741.8,691.8,0.0,True,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,aug,2020,cool,hold,Gillette,698.25,720.0,720.0,0.0,True,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,aug,2020,cool,hold,Cheyenne,738.3269230769231,750.0,669.5641025641025,8.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,aug,2020,cool,auto,Cheyenne,709.3037037037037,708.4728395061728,722.2222222222222,0.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,aug,2020,cool,hold,Cheyenne,719.6478658536586,720.0,720.0,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,aug,2020,cool,auto,Casper,753.5184135977337,776.0,637.3031161473087,0.0,False,False,False
759b41e328c1a31c0c37d8ee8ac5f45fdd644a17,aug,2020,cool,hold,Casper,749.8108108108108,747.027027027027,747.027027027027,0.0,False,False,False
7d1f639767fe028c56faaa9e85feab4fdc273206,aug,2020,auto,hold,Cheyenne,712.4029850746268,709.0820895522388,650.0,10.0,False,False,False
7d1f639767fe028c56faaa9e85feab4fdc273206,aug,2020,cool,hold,Cheyenne,706.2677165354331,700.0,675.5905511811023,10.0,False,False,False
845844d0ce166784be286e3eb5d0189cababa2ff,aug,2020,cool,hold,Cheyenne,696.2535211267606,700.0,700.0,9.0,False,False,False
8d5e560068447e6cd095d1a35c4435a1fbf49342,aug,2020,auto,hold,Mills,710.2708333333334,720.0,665.0,5.0,False,False,False
8f3774e0edc69b802bb139e6708e033261622da5,aug,2020,cool,auto,Casper,717.8229007633588,720.012213740458,720.012213740458,10.0,True,False,False
8f3774e0edc69b802bb139e6708e033261622da5,aug,2020,cool,hold,Casper,720.2443609022556,727.4454887218045,727.4454887218045,10.0,True,False,False
90860b7eafc1d1f1c3c554d59ab49bc8ea0bec86,aug,2020,cool,hold,Riverton,689.516187870497,688.9288645690834,688.9288645690834,45.0,True,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,aug,2020,auto,auto,Sundance,792.0,775.0,706.0,5.0,False,False,False
9702c844ff5c002bad15c001c0c0c6890fe63fad,aug,2020,auto,hold,Sundance,758.3302752293578,760.0,710.0,5.0,False,False,False
9dad86d4f2bedcb59aa71c38c6812466cb5395bc,aug,2020,cool,hold,Worland,730.4666666666667,720.0,720.0,5.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2020,auto,auto,Cheyenne,727.5935085007728,730.0,670.0,0.0,False,False,False
a9149145810c584aacd22f8c977f235117275828,aug,2020,auto,hold,Cheyenne,737.5424242424242,740.0,670.0,0.0,False,False,False
ab20bcf291e58402ba42a43560f2f7f7ca72c776,aug,2020,auto,auto,Cheyenne,701.4444444444445,690.0,640.0,29.0,True,False,False
ab20bcf291e58402ba42a43560f2f7f7ca72c776,aug,2020,auto,hold,Cheyenne,698.6481481481482,736.2407407407408,656.7962962962963,29.0,True,False,False
ac5c31c183e97a89e95aa36919974932b29b341b,aug,2020,heat,auto,Casper,735.3636363636364,817.2727272727273,643.3636363636364,45.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2020,cool,auto,Rock Springs,746.0815217391304,721.320652173913,716.6032608695652,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2020,cool,hold,Rock Springs,740.8973607038123,721.9868035190616,721.9545454545455,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2020,heat,auto,Rock Springs,740.25,714.7765957446809,731.468085106383,25.0,False,False,False
ac76fecdaa287fefcce1e1e9d8a04222a05f127f,aug,2020,heat,hold,Rock Springs,743.7132867132867,749.4055944055945,749.4055944055945,25.0,False,False,False
b1ab05cfc5e253a7dbb44754bc3b0da3067fee99,aug,2020,cool,hold,Sheridan,695.9859943977591,709.0252100840336,709.0252100840336,10.0,True,False,False
b68cd409bcc737b83dc2c52e21c19c9480638fd9,aug,2020,cool,auto,Gillette,682.0,702.0,693.6666666666666,7.0,False,False,False
b68cd409bcc737b83dc2c52e21c19c9480638fd9,aug,2020,cool,hold,Gillette,743.0,740.0,740.0,7.0,False,False,False
d47cc2218ecd2b265d190fe1eeb96582e0255951,aug,2020,auto,hold,Cheyenne,714.5964912280701,733.9824561403509,673.0701754385965,0.0,False,False,False
d975b1ad1272e42f9eb089583ef55bb8891c93c8,aug,2020,cool,auto,Cheyenne,760.0,840.0,677.0,30.0,False,False,False
d975b1ad1272e42f9eb089583ef55bb8891c93c8,aug,2020,cool,hold,Cheyenne,667.5,733.1851851851852,733.1851851851852,30.0,False,False,False
db3d168d1ad94da910a56cc7efd5a591dbe48ca3,aug,2020,auto,hold,Powell,729.9714285714285,725.5714285714286,668.5142857142857,10.0,True,False,False
db3d168d1ad94da910a56cc7efd5a591dbe48ca3,aug,2020,cool,auto,Powell,739.0,724.0,700.0,10.0,True,False,False
e00072f1ac4d3038b053e069b7dd787b96c6ee5b,aug,2020,auto,auto,Powell,705.5555555555555,749.75,699.75,70.0,False,False,False
e00072f1ac4d3038b053e069b7dd787b96c6ee5b,aug,2020,cool,auto,Powell,742.5,719.8333333333334,714.3333333333334,70.0,False,False,False
f045e632eb732cd0703e069e70aef34bb8b50ad0,aug,2020,cool,auto,Evanston,715.0,703.2142857142857,703.2142857142857,10.0,False,False,False
f045e632eb732cd0703e069e70aef34bb8b50ad0,aug,2020,cool,hold,Evanston,718.7379679144385,739.0802139037434,738.6684491978609,10.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2020,cool,auto,Casper,705.6404199475065,734.7349081364829,678.2125984251968,40.0,False,False,False
f3bd7952d2fbb216345ea8b272cbdee983b34ae6,aug,2020,cool,hold,Casper,724.9281767955802,734.3812154696133,690.7845303867404,40.0,False,False,False
f5be20356f7cafa6712707b496d91af1ddbdabe0,aug,2020,auto,auto,Gillette,664.7440476190476,660.0,630.0,10.0,True,False,False
f5be20356f7cafa6712707b496d91af1ddbdabe0,aug,2020,auto,hold,Gillette,696.3181818181819,715.0,655.0,10.0,True,False,False
f766ec9ff77cacb6b7c07ef6ac6a6f039c751748,aug,2020,auto,auto,Cheyenne,711.280701754386,760.0,710.0,5.0,False,False,False
fd6f912f4a2d7719632507d63c67bab631ea3732,aug,2020,cool,hold,Buffalo,739.4,746.6,732.8,45.0,True,False,False
