Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
0d3e37e5491571879cac5a29d991fc0693ac416b,dec,2018,auto,hold,Evansville,681.09375,750.0,680.0,80.0,False,False,False
1106923a29a547265ce04105011ffbc681bff796,dec,2018,heat,auto,Cheyenne,698.5592105263158,720.0,700.0,5.0,False,False,False
120fb1335b23613f696e612433d9fc4a8b87edfa,dec,2018,heat,hold,Pine Haven,686.7567567567568,656.4864864864865,656.4864864864865,5.0,False,False,False
16913980a67e1faa9fb0fe491f8d36b4477f965a,dec,2018,heat,hold,Cheyenne,647.2333333333333,650.0,650.0,10.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,dec,2018,heat,auto,Casper,622.8235294117648,656.3823529411765,639.8235294117648,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,dec,2018,heat,hold,Casper,625.3396226415094,652.5471698113207,628.7735849056604,30.0,True,False,False
1d00854c03d26e989b137715f96f49c087b12e6b,dec,2018,heat,auto,Casper,656.719298245614,668.8421052631579,668.0526315789474,0.0,False,False,False
1d00854c03d26e989b137715f96f49c087b12e6b,dec,2018,heat,hold,Casper,622.6758893280632,655.8201581027668,629.6561264822135,0.0,False,False,False
246bdf148da698b1fb58d453c0059dcc85c88a1b,dec,2018,heat,auto,Cheyenne,695.1666666666666,700.0,700.0,10.0,False,False,False
246bdf148da698b1fb58d453c0059dcc85c88a1b,dec,2018,heat,hold,Cheyenne,686.8716417910448,692.334328358209,692.3074626865672,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,dec,2018,heat,auto,Laramie,687.625,691.3125,689.125,10.0,False,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,dec,2018,heat,hold,Laramie,687.8194444444445,690.0,690.0,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,dec,2018,heat,hold,Gillette,678.7142857142857,690.0,690.0,35.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,dec,2018,heat,auto,Green River,706.8260869565217,710.8695652173913,708.0869565217391,0.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,dec,2018,heat,hold,Green River,698.6979166666666,692.765625,692.0572916666666,0.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,dec,2018,auto,auto,Laramie,662.285175879397,760.0,663.5381072026801,10.0,False,False,False
3f04cb50110e414b14944a34de26133900b1d5ef,dec,2018,auto,auto,Cheyenne,681.3,740.0,640.6,10.0,True,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,dec,2018,heat,auto,Cheyenne,711.2282608695652,719.4565217391304,718.9130434782609,15.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,dec,2018,heat,hold,Cheyenne,715.1917293233083,723.7699248120301,723.7699248120301,15.0,False,False,False
4698711909dcaeba4a60bdebf8e6b23a8f77e0d1,dec,2018,heat,auto,Sheridan,697.8461538461538,720.0,700.0,5.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,dec,2018,heat,auto,Gillette,689.3726315789473,690.1221052631579,690.0757894736843,10.0,False,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,dec,2018,heat,auto,Cheyenne,668.3333333333334,743.0710784313726,667.7156862745098,8.0,False,False,False
5ec6580adf42b467f21b502112c59efb3530f1cc,dec,2018,heat,hold,Cheyenne,674.448275862069,740.080459770115,679.6091954022988,8.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,dec,2018,heat,auto,Cheyenne,674.0271528316524,760.0,670.0,0.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,dec,2018,heat,hold,Cheyenne,674.525641025641,670.0,670.0,0.0,False,False,False
6ab01ca06ae6a5674643e112395b2c684aef14f9,dec,2018,heat,auto,Cheyenne,721.25,743.625,743.1875,55.0,False,False,False
6ab01ca06ae6a5674643e112395b2c684aef14f9,dec,2018,heat,hold,Cheyenne,718.328125,720.65625,719.734375,55.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,dec,2018,heat,auto,Casper,618.0,650.0,621.5,0.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,dec,2018,heat,hold,Casper,622.0694444444445,650.0,622.9027777777778,0.0,False,False,False
