Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
00098d05dc32580dc5bff640242bfd6d439aaa52,Jan,2020,heat,auto,Casper,696.8666666666667,700.0,700.0,40.0,False,False,False
00098d05dc32580dc5bff640242bfd6d439aaa52,Jan,2020,heat,hold,Casper,691.8333333333334,694.5454545454545,694.5454545454545,40.0,False,False,False
0d3e37e5491571879cac5a29d991fc0693ac416b,Jan,2020,heat,auto,Evansville,688.3636363636364,690.3181818181819,679.0909090909091,80.0,False,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,Jan,2020,heat,auto,Casper,651.7957746478874,662.0,660.0633802816901,30.0,True,False,False
1af93c740d9d394407a734476ba8bcaf41c2f2dd,Jan,2020,heat,hold,Casper,653.8207547169811,666.3867924528302,663.622641509434,30.0,True,False,False
1d00854c03d26e989b137715f96f49c087b12e6b,Jan,2020,heat,hold,Casper,623.5128205128206,653.6153846153846,629.2692307692307,0.0,False,False,False
246bdf148da698b1fb58d453c0059dcc85c88a1b,Jan,2020,heat,auto,Cheyenne,657.7596479350034,660.0074475287745,660.0074475287745,10.0,False,False,False
246bdf148da698b1fb58d453c0059dcc85c88a1b,Jan,2020,heat,hold,Cheyenne,696.1343537414966,699.3078231292517,699.1649659863946,10.0,False,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,Jan,2020,heat,auto,Gillette,679.25,723.25,715.5,10.0,True,False,False
26956f7054af3cbd1c6945b87a40be93f68123bb,Jan,2020,heat,hold,Gillette,699.5681818181819,709.1590909090909,708.3636363636364,10.0,True,False,False
2cc2736dfecd12ede0f334d504dacc109edfa726,Jan,2020,heat,hold,Laramie,687.6183206106871,690.2748091603054,689.9083969465648,10.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,Jan,2020,heat,auto,Gillette,693.3484848484849,750.0,696.5151515151515,35.0,False,False,False
31af9764717cc87207aca52dabacb0bb1e2b8b95,Jan,2020,heat,hold,Gillette,673.48,750.64,679.32,35.0,False,False,False
338d0307f8579900d1f54af0c7475fd0e3a6af35,Jan,2020,heat,hold,Green River,687.8571428571429,682.9642857142857,679.25,0.0,False,False,False
346d6a205129b9d881a6f6b4d15f12a6836eb41a,Jan,2020,heat,hold,Laramie,665.2422018348624,671.4678899082569,665.7798165137615,10.0,False,False,False
44788b127929a7bbc4a79d2b17a215fd5460cdc1,Jan,2020,heat,hold,Cheyenne,717.5602791878173,725.2829949238578,725.2290609137056,15.0,False,False,False
4bbb3af3bf9fa9aad1b6506c83e556860e848321,Jan,2020,heat,hold,Cheyenne,697.4117647058823,705.5701357466063,704.5475113122172,0.0,True,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,Jan,2020,heat,auto,Gillette,697.8579234972677,704.2295081967213,703.7049180327868,10.0,False,False,False
5c3385a5b08903ef32083aacfc000fe752b78fdc,Jan,2020,heat,hold,Gillette,685.4413793103448,690.5448275862069,690.1931034482759,10.0,False,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,Jan,2020,heat,auto,Gillette,713.8571428571429,710.0,715.0,0.0,True,False,False
5e37ac02a37fe85e838f75af25a2e05a1df84da1,Jan,2020,heat,hold,Gillette,710.9528706083976,712.6478149100257,712.6478149100257,0.0,True,False,False
64914792287007003436e1e8a61fcc099d4542d2,Jan,2020,heat,auto,Cheyenne,700.1066176470588,700.0,700.0,0.0,False,False,False
64914792287007003436e1e8a61fcc099d4542d2,Jan,2020,heat,hold,Cheyenne,680.1730769230769,680.0,680.0,0.0,False,False,False
6492de6ba9999c61bafb641775ddecba6f16f4c6,Jan,2020,heat,auto,Burns,689.7297297297297,696.6486486486486,695.5675675675676,10.0,True,False,False
6492de6ba9999c61bafb641775ddecba6f16f4c6,Jan,2020,heat,hold,Burns,642.5,653.8095238095239,644.7619047619048,10.0,True,False,False
6ab01ca06ae6a5674643e112395b2c684aef14f9,Jan,2020,heat,auto,Cheyenne,747.412213740458,755.8015267175573,755.8015267175573,55.0,False,False,False
74345f495365ac5a65c267f410df97fac944a148,Jan,2020,heat,auto,Casper,637.0,655.0,609.5,0.0,False,False,False
