Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
00bf49f4054401422e49a040a2ca12b50029d5f3,aug,2017,cool,auto,Montgomery,749.0157303,748.7258427,706.9758427,10,FALSE,FALSE,FALSE,AL
00bf49f4054401422e49a040a2ca12b50029d5f3,aug,2017,cool,hold,Montgomery,749.3745353,748.0167286,748.0167286,10,FALSE,FALSE,FALSE,AL
018375b6043c8c22642b47291bea64e83fe67b21,aug,2017,cool,hold,Orange Beach,772.08,775,775,10,FALSE,FALSE,TRUE,AL
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,aug,2017,cool,auto,Prattville,742.7395161,741.4370968,748.8596774,0,TRUE,FALSE,TRUE,AL
01d4384fb6e0bc8f9d2d347ac245408fed66e25a,aug,2017,cool,hold,Prattville,740.2942131,737.8555976,737.766901,0,TRUE,FALSE,TRUE,AL
01ec1e5fd26dfeb9bfc4d7e12b404f49c745aaee,aug,2017,cool,auto,Birmingham,755.6411709,757.9929178,746.3305005,0,FALSE,FALSE,TRUE,AL
01ec1e5fd26dfeb9bfc4d7e12b404f49c745aaee,aug,2017,cool,hold,Birmingham,761.0144092,762.5072046,762.518732,0,FALSE,FALSE,TRUE,AL
021baec9b58f9b39e05a352598cee2e117528734,aug,2017,auto,auto,Huntsville  AL,745.8424242,742.6363636,722.0909091,20,FALSE,FALSE,FALSE,AL
021baec9b58f9b39e05a352598cee2e117528734,aug,2017,auto,hold,Huntsville  AL,755.9796905,759.1702128,735.8665377,20,FALSE,FALSE,FALSE,AL
03f009c0fc37c740d0bc69e681e3f8f49b4740c8,aug,2017,auto,auto,Huntsville,771.9,800,668,25,TRUE,FALSE,TRUE,AL
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,aug,2017,cool,auto,Huntsville,720.3333333,710,660,25,FALSE,FALSE,TRUE,AL
05d10cee53e4ac6ecb7adbfe4a8b0e7f49768120,aug,2017,cool,hold,Huntsville,707.625,710,710,25,FALSE,FALSE,TRUE,AL
06549613bcc9fa56063881935c8ced2283096e45,aug,2017,cool,hold,Wellington,713.2691577,710,710,5,FALSE,FALSE,TRUE,AL
06b5b8a28f0677ba5d00887851f625d9607458cb,aug,2017,cool,hold,Jacksons Gap,764.396328,764.2516619,757.8689459,50,FALSE,FALSE,TRUE,AL
06ff618bb4e4d196f6624284ec219c41d8853b36,aug,2017,cool,auto,Homewood,734.6885965,744.622807,707.4649123,10,FALSE,FALSE,TRUE,AL
06ff618bb4e4d196f6624284ec219c41d8853b36,aug,2017,cool,hold,Homewood,743.254386,742.5438596,742.5438596,10,FALSE,FALSE,TRUE,AL
0765f298b4910b9c89470382747af07d3dde646e,aug,2017,cool,auto,Huntsville,768.6,758.8,773.2,60,FALSE,FALSE,FALSE,AL
0765f298b4910b9c89470382747af07d3dde646e,aug,2017,cool,hold,Huntsville,775,816.625,790,60,FALSE,FALSE,FALSE,AL
0878e356c5e1e1331f5f04d4b858e2ad7cba67b1,aug,2017,cool,auto,Birmingham,723.2058824,721.7058824,719,0,FALSE,FALSE,TRUE,AL
0878e356c5e1e1331f5f04d4b858e2ad7cba67b1,aug,2017,cool,hold,Birmingham,696.1386667,696.6826667,695.5546667,0,FALSE,FALSE,TRUE,AL
0a9c1bb3132f8dba152d9c388c599c1016f8949c,aug,2017,auto,auto,Montgomery,829.5616438,840,630,100,FALSE,FALSE,TRUE,AL
0b16f455f504cab29bf3ac7e6578aa975e237f0d,aug,2017,cool,auto,Vestavia Hills,682.6721311,680.557377,650,46,FALSE,FALSE,TRUE,AL
0b16f455f504cab29bf3ac7e6578aa975e237f0d,aug,2017,cool,hold,Vestavia Hills,703.5074627,701.641791,700.119403,46,FALSE,FALSE,TRUE,AL
0b1edbed87b151aa50d30851e18096fe64a8b760,aug,2017,auto,auto,Northport,750.9333333,747.9462963,682.5555556,30,FALSE,FALSE,TRUE,AL
0b1edbed87b151aa50d30851e18096fe64a8b760,aug,2017,auto,hold,Northport,755.6895833,760.6767361,688.2291667,30,FALSE,FALSE,TRUE,AL
0b85fd46b26c16bf2e6d0a5187dab0f54527b88f,aug,2017,auto,hold,Birmingham,754.1111111,740,680,0,TRUE,FALSE,TRUE,AL
0b98264382f67ed3cd84485664aa995f99582963,aug,2017,cool,hold,Pelham,727.238478,726.3612004,726.3612004,27,FALSE,FALSE,TRUE,AL
0ba2f5b1cfd493a3f13dfef7fa4aabb02c0b601b,aug,2017,cool,auto,Madison,734.9655388,729.2857143,702.1428571,25,FALSE,FALSE,FALSE,AL
