Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
070839ef58c74b72d673dd533e6f35aec7ce8f27,aug,2017,cool,auto,Houston,776.1145833,750,750,15,TRUE,FALSE,TRUE,DE
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,auto,auto,Wilmington,799,780,690,57,FALSE,FALSE,FALSE,DE
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,auto,hold,Wilmington,766.7692308,810,690,57,FALSE,FALSE,FALSE,DE
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,cool,auto,Wilmington,756.2209241,801.5454063,661.9495486,57,FALSE,FALSE,FALSE,DE
11d84820d97292fd2ac228b5170ac611815a10b3,aug,2017,cool,hold,Wilmington,768.3350384,789.915601,783.3171355,57,FALSE,FALSE,FALSE,DE
18f7ccf6b435622cb968d6da44cda99f382171bf,aug,2017,cool,auto,Camden Wyoming,747.9077253,779.5686695,660.2832618,27,FALSE,FALSE,TRUE,DE
21928216c72d02f4395d9585af619b190c11ed47,aug,2017,cool,auto,Claymont ,744.2715484,740,730,115,FALSE,FALSE,TRUE,DE
21928216c72d02f4395d9585af619b190c11ed47,aug,2017,cool,hold,Claymont ,734.5592105,730,730,115,FALSE,FALSE,TRUE,DE
21a8021fbd2bc2e837a130d42a96082c5b166d78,aug,2017,cool,hold,Middletown,718.1235741,715.1102662,715.081749,30,FALSE,FALSE,FALSE,DE
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,aug,2017,cool,auto,Camden Wyoming,774.2189349,767.9704142,689.4674556,10,FALSE,FALSE,FALSE,DE
2a56b6a9368fcce30b408077c4ac2287cc8ba96b,aug,2017,cool,hold,Camden Wyoming,771.6595745,766.8723404,767.0212766,10,FALSE,FALSE,FALSE,DE
2def1e7802bce77e54325f0fea8af43d6a73f830,aug,2017,cool,hold,Selbyville,739.7872106,742.5920617,742.4035281,5,FALSE,FALSE,FALSE,DE
321ba24265dfd2afb6e168f39f5d428954b286c9,aug,2017,cool,auto,Townsend,709.5,719.75,669.5,5,FALSE,FALSE,FALSE,DE
321ba24265dfd2afb6e168f39f5d428954b286c9,aug,2017,cool,hold,Townsend,721.7708333,726.5972222,726.5972222,5,FALSE,FALSE,FALSE,DE
3528ce1a3af5153bd73944decb2974512a40fc78,aug,2017,cool,auto,Townsend,752.7419937,763.1488498,763.263419,67,FALSE,FALSE,TRUE,DE
3528ce1a3af5153bd73944decb2974512a40fc78,aug,2017,cool,hold,Townsend,734.6956522,750.0869565,750.4347826,67,FALSE,FALSE,TRUE,DE
3565d7bb056bf002f140d29767967102159b869c,aug,2017,auto,auto,Middletown,798.3764706,811.4449827,649.999308,0,FALSE,FALSE,FALSE,DE
3565d7bb056bf002f140d29767967102159b869c,aug,2017,auto,hold,Middletown,799.3995394,809.2751871,650,0,FALSE,FALSE,FALSE,DE
35b56a84063caa816fc10756456f40b63b8ba7b6,aug,2017,cool,hold,Middletown,751.2727273,750,669.4545455,16,FALSE,FALSE,FALSE,DE
369031a5f936602e3708bd570c23c589f8f2e40b,aug,2017,cool,hold,Rehoboth Beach,738.7774481,745.768546,745.768546,0,TRUE,FALSE,TRUE,DE
4076535ffffd3cbff0257d6e4d073570cb6975f5,aug,2017,cool,hold,Bear,727.3206019,724.8125,724.8125,15,FALSE,FALSE,FALSE,DE
4228fa99f653c336280a15a438be7cc17a035794,aug,2017,auto,auto,Middletown,720.4885057,720,670,10,FALSE,FALSE,FALSE,DE
452ccc6abbdb5b30c8fead0da0898a06eff18cff,aug,2017,cool,auto,Frankford,790.5204678,800,770,5,TRUE,FALSE,TRUE,DE
4a1a35f94f9565f8dc8bee275c25bd6fee8c06b8,aug,2017,auto,auto,Rehoboth Beach,780,800.6666667,656,15,FALSE,FALSE,TRUE,DE
