Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
00105867bef9463f0a62d5257d0e91b8c8d19dee,aug,2017,cool,hold,Southgate,728.2857143,700,700,75,FALSE,FALSE,FALSE,KY
008cfa92481086d7def321eeabb85c0d3eb846de,aug,2017,cool,auto,Campbellsville,702.3352941,699.2235294,680,5,TRUE,FALSE,TRUE,KY
008cfa92481086d7def321eeabb85c0d3eb846de,aug,2017,cool,hold,Campbellsville,706.8091603,700.0916031,699.9083969,5,TRUE,FALSE,TRUE,KY
06e700cffb486061579c6d328729f3a60e9092a3,aug,2017,cool,auto,louisville,719,740,690,30,FALSE,TRUE,TRUE,KY
06e700cffb486061579c6d328729f3a60e9092a3,aug,2017,cool,hold,louisville,725.25,750,750,30,FALSE,TRUE,TRUE,KY
09d5232886f2e0473072631466ab77d04f7301a8,aug,2017,auto,hold,Campbellsville,737.8361345,737.5714286,687.5714286,60,TRUE,FALSE,TRUE,KY
0a5e6539744299b6a7a331b3950959cd0867bc20,aug,2017,cool,auto,Paducah,750.7476167,749.995986,739.9974912,15,TRUE,FALSE,FALSE,KY
0a5e6539744299b6a7a331b3950959cd0867bc20,aug,2017,cool,hold,Paducah,751.209772,750.6208469,750.6208469,15,TRUE,FALSE,FALSE,KY
0afaaf27fcec84653a86ca6af3ce4f177ed5d797,aug,2017,cool,hold,Glasgow,748.859116,750.3214779,749.7548343,60,TRUE,TRUE,TRUE,KY
0d1996e60b5b6d7e2de621500af5fda1f76ceab3,aug,2017,auto,auto,Louisville,749.5384615,750,700,45,FALSE,FALSE,TRUE,KY
0d1996e60b5b6d7e2de621500af5fda1f76ceab3,aug,2017,auto,hold,Louisville,736.88,736.36,686.36,45,FALSE,FALSE,TRUE,KY
0e29e5be7db3fedee78555e5b2bbdaabc2ae6dc2,aug,2017,cool,auto,Crestwood,809.5686275,754.3137255,754.3137255,20,FALSE,FALSE,FALSE,KY
0e29e5be7db3fedee78555e5b2bbdaabc2ae6dc2,aug,2017,cool,hold,Crestwood,790.48,740,740,20,FALSE,FALSE,FALSE,KY
0e7d7b63c870b13059e78de67bb71fd9303dbbf4,aug,2017,auto,hold,Independence,727.125,720.25,690.25,16,TRUE,FALSE,TRUE,KY
0ff91054f43c5fe863b800b1a8949979a93d2363,aug,2017,auto,hold,Lexington,742,720,670,0,TRUE,FALSE,TRUE,KY
16f2dbd8ffef1773791d626a1a98ca05c6e59729,aug,2017,cool,auto,Lexington,681.3284314,703.7254902,654.2647059,0,FALSE,FALSE,FALSE,KY
16f2dbd8ffef1773791d626a1a98ca05c6e59729,aug,2017,cool,hold,Lexington,691.7383886,701.8218009,701.8218009,0,FALSE,FALSE,FALSE,KY
187a8e395a1f0f2387eda8f70f3b4b3ff770b1b6,aug,2017,cool,auto,Louisville,728.96,700,670,15,FALSE,FALSE,FALSE,KY
187a8e395a1f0f2387eda8f70f3b4b3ff770b1b6,aug,2017,cool,hold,Louisville,760.8571429,700,700,15,FALSE,FALSE,FALSE,KY
1b9d39d1672359f33b95cfb55cc84eb3b1fd7087,aug,2017,auto,auto,Lexington,719.1660281,719.9885057,650,25,FALSE,FALSE,FALSE,KY
1b9d39d1672359f33b95cfb55cc84eb3b1fd7087,aug,2017,auto,hold,Lexington,696.2468193,695.8560523,645.8560523,25,FALSE,FALSE,FALSE,KY
1d683c032b4567929f948cc905e9d495bf2e9802,aug,2017,cool,hold,Glasgow,702.5,700.075,700.075,30,FALSE,FALSE,FALSE,KY
1df57b67d6ea7c7551d64b20b4e2307a16bff64a,aug,2017,cool,auto,Richmond,700.3188406,700,680,50,TRUE,TRUE,TRUE,KY
1df57b67d6ea7c7551d64b20b4e2307a16bff64a,aug,2017,cool,hold,Richmond,705.3846154,704.2197802,700,50,TRUE,TRUE,TRUE,KY
1e5db527ffe34998258276945f64efc1ba3d37da,aug,2017,cool,auto,Lexington,725.2234513,713.8871681,710.5287611,60,FALSE,FALSE,FALSE,KY
1e5db527ffe34998258276945f64efc1ba3d37da,aug,2017,cool,hold,Lexington,731.4188679,727.7358491,727.8886792,60,FALSE,FALSE,FALSE,KY
2008e2a02930e3d02854ce3710bfddc53781f5f4,aug,2017,cool,auto,Louisville,726.6236559,747.2903226,689.0215054,47,FALSE,FALSE,FALSE,KY
2008e2a02930e3d02854ce3710bfddc53781f5f4,aug,2017,cool,hold,Louisville,736.0413793,734.0413793,727.5931034,47,FALSE,FALSE,FALSE,KY
2197fda4219c4e993ce96a6eabc3562f492b474e,aug,2017,cool,auto,Fort Thomas,779,780,670,30,FALSE,FALSE,FALSE,KY
2308fd0c70a577a90fa17ebf4d0fb5cf01ed4bd3,aug,2017,auto,auto,Shelbyville,710.4328622,709.9240283,678.090106,25,TRUE,FALSE,TRUE,KY
2308fd0c70a577a90fa17ebf4d0fb5cf01ed4bd3,aug,2017,auto,hold,Shelbyville,719.4784652,719.0383712,685.293657,25,TRUE,FALSE,TRUE,KY
24dff848e988e7ec2d821b9bf2241c0b9163e4f4,aug,2017,cool,auto,Louisville,738.5333333,740,720,10,FALSE,FALSE,FALSE,KY
24dff848e988e7ec2d821b9bf2241c0b9163e4f4,aug,2017,cool,hold,Louisville,750.247619,750,750,10,FALSE,FALSE,FALSE,KY
262931e1c7c7aea8333f422c13b3d9d67343918c,aug,2017,auto,auto,Louisville,732.1481481,730,640,20,TRUE,FALSE,FALSE,KY
262931e1c7c7aea8333f422c13b3d9d67343918c,aug,2017,auto,hold,Louisville,723,720,680,20,TRUE,FALSE,FALSE,KY
262c461792e30453d14b0e95ebe729512187b0f4,aug,2017,cool,auto,Louisville,744.2573099,750,750,90,FALSE,FALSE,FALSE,KY
262c461792e30453d14b0e95ebe729512187b0f4,aug,2017,cool,hold,Louisville,732.8534929,735.8386158,735.8120957,90,FALSE,FALSE,FALSE,KY
262d0028bc676a683863e8d2231c4589e6888dbb,aug,2017,cool,auto,Belfry,714.6414182,709.1007252,707.5987107,0,FALSE,FALSE,FALSE,KY
262d0028bc676a683863e8d2231c4589e6888dbb,aug,2017,cool,hold,Belfry,712.6094727,706.7605004,706.7605004,0,FALSE,FALSE,FALSE,KY
27023a540581cb89272d854e895f591c76701f2e,aug,2017,auto,auto,Burlington,694.4810017,690,640,15,FALSE,FALSE,FALSE,KY
27023a540581cb89272d854e895f591c76701f2e,aug,2017,cool,auto,Burlington,692.4942764,690,670,15,FALSE,FALSE,FALSE,KY
27dcea2b407c0dbcace5fea851594e4e1a5bb7d7,aug,2017,cool,auto,Louisville,722.1794393,730.3626168,677.8728972,30,FALSE,FALSE,FALSE,KY
27dcea2b407c0dbcace5fea851594e4e1a5bb7d7,aug,2017,cool,hold,Louisville,734.5090909,753.7662338,753.7662338,30,FALSE,FALSE,FALSE,KY
28d6271d3458374fdb2745db2b0610832c656e5c,aug,2017,cool,auto,Lexington,727.4462139,729.8326322,724.9408053,30,FALSE,FALSE,FALSE,KY
28d6271d3458374fdb2745db2b0610832c656e5c,aug,2017,cool,hold,Lexington,727.0136986,728.8972603,728.7671233,30,FALSE,FALSE,FALSE,KY
2bea50e57def36d1b7d063fcaa22b8e03f0637de,aug,2017,auto,auto,Union,752.1309524,749.8571429,680,0,FALSE,FALSE,FALSE,KY
2bea50e57def36d1b7d063fcaa22b8e03f0637de,aug,2017,auto,hold,Union,740.5970636,740.7063622,688.8417618,0,FALSE,FALSE,FALSE,KY
2bea50e57def36d1b7d063fcaa22b8e03f0637de,aug,2017,cool,hold,Union,727.7982456,730,680,0,FALSE,FALSE,FALSE,KY
2c1794ece3f8928532d842ae5cb982a0f44b931e,aug,2017,auto,hold,Benton,712.447323,749.7962003,663.3540587,25,FALSE,FALSE,FALSE,KY
2d3f1ac40a6396708711afb8807fb17ac2b9de6f,aug,2017,cool,hold,Louisville,698.8552632,690,690,15,FALSE,FALSE,FALSE,KY
2da72a839e4fcc479f423664e4e8481f02c2402c,aug,2017,cool,auto,Georgetown,730.1870293,734.8748954,719.6129707,10,TRUE,FALSE,TRUE,KY
2e2bba2eb8f031cec05133401a9a8d0eca6aed39,aug,2017,cool,auto,Lexington,738.1076389,737.90625,690,5,FALSE,FALSE,FALSE,KY
2e2bba2eb8f031cec05133401a9a8d0eca6aed39,aug,2017,cool,hold,Lexington,745.1302083,750,750,5,FALSE,FALSE,FALSE,KY
2fa0b46a4ac1c37d3ff787af941a69d927241765,aug,2017,cool,auto,Shepherdsville,752,760,680,5,TRUE,FALSE,TRUE,KY
2fa0b46a4ac1c37d3ff787af941a69d927241765,aug,2017,cool,hold,Shepherdsville,759.4187192,757.1921182,754.8374384,5,TRUE,FALSE,TRUE,KY
31119c5dd5503e0bb72e0a6f819398a07caa7929,aug,2017,cool,auto,LOUISVILLE,720.6985019,720,684.6067416,0,FALSE,FALSE,FALSE,KY
322eb84337faf7743f0f6d9d1f4ce508bfe66605,aug,2017,cool,auto,Louisville,782.375,808.25,657,50,FALSE,FALSE,FALSE,KY
33b4a4c6380228f9bb83ca0206c9c93173ffc5bc,aug,2017,auto,auto,La Grange,713.1818182,710,670,15,FALSE,FALSE,FALSE,KY
350bedf215bd01d705ef0204ec9fbcab9b94a524,aug,2017,auto,hold,Union,729.1609091,728.7972727,678.7954545,0,FALSE,FALSE,FALSE,KY
356ee091d3ebf9bebb7c4a5d7c50bedd1f16418b,aug,2017,auto,hold,Louisville,716.7326733,715.2574257,664.5148515,16,FALSE,FALSE,FALSE,KY
