Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl_ave,TemperatureExpectedCool_ave,TemperatureExpectedHeat_ave,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump,State
01194744830da7bbc9603d51735c58faef66f72e,aug,2017,cool,auto,Ocean Springs,760.1756757,767.1405405,746.3918919,0,FALSE,FALSE,TRUE,MS
01194744830da7bbc9603d51735c58faef66f72e,aug,2017,cool,hold,Ocean Springs,744.3966324,740.3816651,740.3648269,0,FALSE,FALSE,TRUE,MS
022c67a9cc7538740068f7248330a614c0ddb96f,aug,2017,auto,auto,Biloxi,706,739,670,5,TRUE,FALSE,TRUE,MS
0442aded7dc2237382d8074027fe1db6823268d0,aug,2017,auto,hold,Oxford,702.3808664,703.1070999,640,26,FALSE,FALSE,FALSE,MS
04e9b5167752b184a42353cfbf667d3e89d98f33,aug,2017,cool,auto,Long Beach,741.4437086,746.6247241,680,5,FALSE,FALSE,FALSE,MS
04e9b5167752b184a42353cfbf667d3e89d98f33,aug,2017,cool,hold,Long Beach,743.8051948,751.6883117,751.6883117,5,FALSE,FALSE,FALSE,MS
0542fc867fd8a7ca00eef107c2f90288c7a36994,aug,2017,cool,hold,Summit,705.6518219,705.3765182,705.3765182,15,FALSE,FALSE,TRUE,MS
068092e8c3efc2d64afe32c00e867a0b3bd43e0f,aug,2017,cool,hold,Columbus,722.1376812,720,720,10,FALSE,FALSE,TRUE,MS
07856023311460446739df2a319fc5146ac6e1b4,aug,2017,cool,hold,Summit,723.7426901,716.6491228,716.6491228,10,FALSE,FALSE,TRUE,MS
0a2d42d14bce879d830493ae56833cdbadab701b,aug,2017,cool,auto,Jackson,721.8400447,723.9541387,720.909396,20,FALSE,FALSE,FALSE,MS
0a2d42d14bce879d830493ae56833cdbadab701b,aug,2017,cool,hold,Jackson,722.8164794,724.0758427,724.0702247,20,FALSE,FALSE,FALSE,MS
0cc861d81926d70c036828385eb0e61b6e98dfaa,aug,2017,auto,hold,Madison,735.5,735,685,10,FALSE,FALSE,FALSE,MS
0cc861d81926d70c036828385eb0e61b6e98dfaa,aug,2017,cool,auto,Madison,737.9166667,810,700,10,FALSE,FALSE,FALSE,MS
0cc861d81926d70c036828385eb0e61b6e98dfaa,aug,2017,cool,hold,Madison,738.3333333,759.6666667,696.6666667,10,FALSE,FALSE,FALSE,MS
19668e0aac20d504aac1eaf7ae7c21e5bdc71f76,aug,2017,cool,auto,Brandon,763.8175182,762.8029197,678.6861314,30,FALSE,FALSE,FALSE,MS
19668e0aac20d504aac1eaf7ae7c21e5bdc71f76,aug,2017,cool,hold,Brandon,773.6615385,743.6307692,741.7692308,30,FALSE,FALSE,FALSE,MS
1bd4536ffa0d178eade84cf210bfe13c3c383cb3,aug,2017,auto,auto,Gautier,742.7287582,740,643.3333333,47,FALSE,FALSE,FALSE,MS
1bd4536ffa0d178eade84cf210bfe13c3c383cb3,aug,2017,auto,hold,Gautier,741.7647059,740,640,47,FALSE,FALSE,FALSE,MS
2185b8c26725cbbe15a37357dfd1e210a118ff9a,aug,2017,auto,auto,Byhalia,725.1073171,723.5463415,660,15,FALSE,FALSE,FALSE,MS
2185b8c26725cbbe15a37357dfd1e210a118ff9a,aug,2017,auto,hold,Byhalia,724.9959418,722.9824146,660,15,FALSE,FALSE,FALSE,MS
22bb4d85ac19f25ec081e494857ca94dc84f13c8,aug,2017,cool,auto,Tupelo,676.1948052,664.9651712,674.1918536,10,FALSE,FALSE,FALSE,MS
22bb4d85ac19f25ec081e494857ca94dc84f13c8,aug,2017,cool,hold,Tupelo,668.1408451,658.8474178,658.8826291,10,FALSE,FALSE,FALSE,MS
22bb4d85ac19f25ec081e494857ca94dc84f13c8,aug,2017,heat,auto,Tupelo,679.0898345,682.0898345,679.6028369,10,FALSE,FALSE,FALSE,MS
22bb4d85ac19f25ec081e494857ca94dc84f13c8,aug,2017,heat,hold,Tupelo,653,668,668,10,FALSE,FALSE,FALSE,MS
26851c35a72dc67eeebe3c9d26f5499381cd4669,aug,2017,cool,auto,Starkville,756.6454248,750,650,0,FALSE,FALSE,TRUE,MS
26851c35a72dc67eeebe3c9d26f5499381cd4669,aug,2017,cool,hold,Starkville,745.6725207,746.8951446,746.8951446,0,FALSE,FALSE,TRUE,MS
28dc8bda032e154be397fdb4bb698a38b7ff86f3,aug,2017,cool,auto,Fulton,736.7308585,735.2737819,695.3665893,5,TRUE,FALSE,TRUE,MS
28dc8bda032e154be397fdb4bb698a38b7ff86f3,aug,2017,cool,hold,Fulton,716.7307692,720,720,5,TRUE,FALSE,TRUE,MS
298aabd83d7f30a614e33b24d5dc6e285d3cfbfe,aug,2017,auto,hold,Petal,742.2972973,740,670,15,FALSE,FALSE,FALSE,MS
2af5e4d89b58d85e8107653763306ae0111578d6,aug,2017,auto,auto,Olive Branch,776.173913,782.6956522,695.173913,10,FALSE,FALSE,FALSE,MS
2af5e4d89b58d85e8107653763306ae0111578d6,aug,2017,auto,hold,Olive Branch,751.0465116,751.9069767,681.3953488,10,FALSE,FALSE,FALSE,MS
332b655e0254a01c22d4a03fd0c8d34973bdcc3d,aug,2017,cool,auto,Vicksburg,697.3181818,697.0971074,673.5123967,37,FALSE,FALSE,FALSE,MS
332b655e0254a01c22d4a03fd0c8d34973bdcc3d,aug,2017,cool,hold,Vicksburg,680.4473684,678.3289474,677.5789474,37,FALSE,FALSE,FALSE,MS
348f67658269c0c28e23e234c66eb11891eef614,aug,2017,cool,hold,Madison,736.1215403,735.1419976,734.977136,0,FALSE,FALSE,FALSE,MS
34d5bbd22cce39d6dcef7eaa01680f3baa5c0d19,aug,2017,auto,hold,Hattiesburg,718.7997998,722.2942943,653.1011011,5,TRUE,FALSE,TRUE,MS
39363befb29c5e3ffa7db2685d0ef5e5b6893567,aug,2017,cool,auto,Jackson,729.3192182,728.3387622,717.4592834,30,FALSE,FALSE,FALSE,MS
39363befb29c5e3ffa7db2685d0ef5e5b6893567,aug,2017,cool,hold,Jackson,717.3673469,716.8567504,716.8547881,30,FALSE,FALSE,FALSE,MS
